名前,年月,チーム,背番号,月,出場数,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
桑田鎮典,2009-04,サントリーサンバーズ,9,4,1,0.0,0.0,3,0,2,0.0,-66.7,1,0,1,0,3,0,0,1,4,1,0,0,0.0,0.0,0.0,8.3,25.0
森田亜貴斗,2009-04,パナソニックパンサーズ,12,4,3,0.0,0.0,10,3,1,30.0,20.0,0,0,0,0,10,0,1,2,0,0,0,3,,1.0,0.0,2.5,
永野健,2009-04,パナソニックパンサーズ,17,4,3,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,9,6,0,0,,0.0,0.0,,66.7
津曲勝利,2009-04,サントリーサンバーズ,11,4,3,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,14,8,0,0,,0.0,0.0,,57.1
清水邦広,2009-04,パナソニックパンサーズ,1,4,3,0.0,0.0,24,12,2,50.0,41.7,10,4,1,1,11,0,3,5,0,0,0,13,40.0,4.0,0.33,4.5,
田辺修,2009-04,東レアローズ,2,4,3,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,20,17,0,0,,0.0,0.0,,85.0
白澤健児,2009-04,パナソニックパンサーズ,6,4,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
相澤寿,2009-04,東レアローズ,7,4,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
石島雄介,2009-04,堺ブレイザーズ,3,4,3,0.0,0.0,18,5,3,27.8,11.1,1,0,1,2,8,0,2,2,10,5,0,7,0.0,1.67,0.67,0.0,50.0
福澤達哉,2009-04,パナソニックパンサーズ,15,4,3,0.0,0.0,15,6,1,40.0,33.3,0,0,0,2,12,1,4,6,26,14,0,9,,2.0,0.67,12.5,53.8
篠田歩,2009-04,東レアローズ,17,4,3,0.0,0.0,11,7,1,63.6,54.5,0,0,0,2,16,0,1,9,0,0,0,9,,2.33,0.67,12.5,
米山裕太,2009-04,東レアローズ,5,4,3,0.0,0.0,16,6,0,37.5,37.5,0,0,0,1,12,0,1,2,28,21,0,7,,2.0,0.33,2.1,75.0
米山達也,2009-04,サントリーサンバーズ,20,4,1,0.0,0.0,3,1,1,33.3,0.0,1,0,1,0,1,0,1,0,2,1,0,1,0.0,1.0,0.0,-25.0,50.0
荻野正二,2009-04,サントリーサンバーズ,10,4,1,0.0,0.0,4,2,0,50.0,50.0,0,0,0,1,2,0,0,0,5,0,0,3,,2.0,1.0,0.0,0.0
西尾太作,2009-04,堺ブレイザーズ,16,4,1,0.0,0.0,3,1,0,33.3,33.3,0,0,0,0,2,0,0,0,0,0,0,1,,1.0,0.0,0.0,
角田辰徳,2009-04,東レアローズ,16,4,2,0.0,0.0,0,0,0,,,0,0,0,0,2,0,1,0,0,0,0,0,,0.0,0.0,-12.5,
谷村孝,2009-04,パナソニックパンサーズ,18,4,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
越川優,2009-04,サントリーサンバーズ,7,4,3,0.0,0.0,24,15,1,62.5,58.3,4,2,1,0,14,2,3,6,5,1,0,17,50.0,5.0,0.0,19.6,20.0
越谷章,2009-04,東レアローズ,10,4,3,0.0,0.0,3,0,0,0.0,0.0,0,0,0,1,3,0,0,0,6,4,0,1,,0.0,0.33,0.0,66.7
近藤茂,2009-04,東レアローズ,4,4,1,0.0,0.0,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,0,,0.0,0.0,25.0,
金井修也,2009-04,堺ブレイザーズ,8,4,3,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
鈴木寛史,2009-04,サントリーサンバーズ,2,4,3,0.0,0.0,12,6,0,50.0,50.0,2,1,0,1,10,0,4,2,0,0,0,7,50.0,2.0,0.33,-5.0,
阿部裕太,2009-04,東レアローズ,9,4,3,0.0,0.0,3,3,0,100.0,100.0,0,0,0,2,11,0,1,2,1,0,0,5,,1.0,0.67,2.3,0.0
高杉洋平,2009-04,東レアローズ,8,4,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
