名前,年月,チーム,背番号,出場数,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
冨田寧寧,2008-04,東レアローズ,4,4,0.0,9,2,2,22.2,0.0,0,0,0,2,5,0,1,0,0,0,0,4,,0.5,0.5,-5.0,
吉田みなみ,2008-04,岡山シーガルズ,1,2,0.0,0,0,0,,,0,0,0,0,3,0,0,0,3,0,0,0,,0.0,0.0,0.0,0.0
向井久子,2008-04,東レアローズ,1,2,0.0,2,1,0,50.0,50.0,0,0,0,0,2,0,1,1,2,1,0,1,,0.5,0.0,0.0,50.0
堀田理恵,2008-04,岡山シーガルズ,55,3,0.0,1,0,0,0.0,0.0,0,0,0,0,4,0,0,2,6,4,0,0,,0.0,0.0,12.5,66.7
大山未希,2008-04,東レアローズ,9,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
大村加奈子,2008-04,久光製薬スプリングス,8,4,0.0,11,2,1,18.2,9.1,0,0,0,1,14,1,0,9,0,0,0,4,,0.5,0.25,23.2,
小菅真弓,2008-04,岡山シーガルズ,41,3,0.0,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
山口舞,2008-04,岡山シーガルズ,2,4,0.0,20,11,1,55.0,50.0,1,0,0,0,17,0,1,3,19,13,0,11,0.0,2.75,0.0,2.9,68.4
岡野弘子,2008-04,岡山シーガルズ,15,4,0.0,0,0,0,,,0,0,0,1,14,0,0,7,0,0,0,1,,0.0,0.25,12.5,
岡野知子,2008-04,デンソーエアリービーズ,5,4,0.0,25,11,0,44.0,44.0,0,0,0,2,9,0,1,4,28,18,0,13,,2.75,0.5,8.3,64.3
平井香菜子,2008-04,久光製薬スプリングス,9,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
木村智香子,2008-04,デンソーエアリービーズ,10,1,0.0,5,0,1,0.0,-20.0,0,0,0,0,0,0,0,0,1,0,0,0,,0.0,0.0,,0.0
木村沙織,2008-04,東レアローズ,11,4,0.0,31,7,1,22.6,19.4,1,0,0,2,12,2,0,2,24,17,0,11,0.0,1.75,0.5,20.8,70.8
村田奈都美,2008-04,岡山シーガルズ,12,2,0.0,16,3,2,18.8,6.2,1,0,0,0,6,0,0,0,2,1,0,3,0.0,1.5,0.0,0.0,50.0
森和代,2008-04,岡山シーガルズ,21,4,0.0,30,11,2,36.7,30.0,0,0,0,5,12,0,1,5,14,6,0,16,,2.75,1.25,8.3,42.9
榛澤舞子,2008-04,久光製薬スプリングス,2,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
横山雅美,2008-04,デンソーエアリービーズ,6,4,0.0,3,2,0,66.7,66.7,0,0,0,1,12,0,1,2,0,0,0,3,,0.5,0.25,2.1,
橋本直子,2008-04,久光製薬スプリングス,17,4,0.0,5,4,0,80.0,80.0,0,0,0,0,10,0,0,5,0,0,0,4,,1.0,0.0,12.5,
櫻井由香,2008-04,デンソーエアリービーズ,9,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,17,8,0,0,,0.0,0.0,,47.1
渡辺真由美,2008-04,久光製薬スプリングス,12,1,0.0,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,0,,0.0,0.0,25.0,
濱口華菜里,2008-04,東レアローズ,7,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,26,18,0,0,,0.0,0.0,,69.2
片下恭子,2008-04,デンソーエアリービーズ,16,3,0.0,0,0,0,,,0,0,0,0,5,0,0,2,6,4,0,0,,0.0,0.0,10.0,66.7
狩野美雪,2008-04,久光製薬スプリングス,7,4,0.0,34,12,2,35.3,29.4,0,0,0,0,17,0,1,6,29,21,0,12,,3.0,0.0,7.4,72.4
眞恵子,2008-04,デンソーエアリービーズ,1,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
矢野美子,2008-04,デンソーエアリービーズ,2,4,0.0,8,5,1,62.5,50.0,0,0,0,1,19,1,2,5,0,0,0,7,,1.25,0.25,9.2,
石田さやか,2008-04,デンソーエアリービーズ,7,2,0.0,0,0,0,,,0,0,0,0,3,0,0,1,1,0,0,0,,0.0,0.0,8.3,0.0
神田千絵,2008-04,岡山シーガルズ,7,2,0.0,5,1,1,20.0,0.0,0,0,0,1,1,0,0,0,0,0,0,2,,0.5,0.5,0.0,
福田舞,2008-04,デンソーエアリービーズ,3,1,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
筒井視穂子,2008-04,久光製薬スプリングス,18,4,0.0,0,0,0,,,0,0,0,0,7,0,0,2,0,0,0,0,,0.0,0.0,7.1,
米村信子,2008-04,岡山シーガルズ,3,4,0.0,29,7,2,24.1,17.2,0,0,0,0,7,0,0,2,10,7,0,7,,1.75,0.0,7.1,70.0
細田絵理,2008-04,デンソーエアリービーズ,4,4,0.0,36,7,0,19.4,19.4,0,0,0,2,17,1,0,5,29,14,0,10,,1.75,0.5,13.2,48.3
芝田安希,2008-04,東レアローズ,2,4,0.0,22,7,0,31.8,31.8,0,0,0,3,10,0,0,5,24,16,0,10,,1.75,0.75,12.5,66.7
若浦貴子,2008-04,岡山シーガルズ,33,4,0.0,45,16,2,35.6,31.1,0,0,0,1,8,0,0,1,8,4,0,17,,4.0,0.25,3.1,50.0
荒木絵里香,2008-04,東レアローズ,6,4,0.0,19,10,1,52.6,47.4,0,0,0,4,12,1,1,5,0,0,0,15,,2.5,1.0,16.7,
西脇万里子,2008-04,東レアローズ,3,1,0.0,5,2,1,40.0,20.0,0,0,0,0,9,0,0,6,0,0,0,2,,2.0,0.0,16.7,
野村まり,2008-04,岡山シーガルズ,4,4,0.0,11,2,0,18.2,18.2,0,0,0,2,8,0,0,2,2,1,0,4,,0.5,0.5,6.2,50.0
金森純子,2008-04,岡山シーガルズ,18,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,20,10,0,0,,0.0,0.0,,50.0
高田ありさ,2008-04,東レアローズ,13,2,0.0,0,0,0,,,0,0,0,0,3,1,0,1,0,0,0,1,,0.0,0.0,41.7,
