名前,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
森谷史佳,久光製薬スプリングス,14,57,19,18,23,56,19,3,33.9,28.6,0,0,0,6,59,1,10,16,3,0,0,26,,0.83,0.26,4.2,0.0
椎名真子,埼玉上尾メディックス,27,14,15,4,8,23,4,0,17.4,17.4,0,0,0,0,9,0,2,2,13,1,3,4,,0.5,0.0,0.0,19.2
楢崎慈恵,岡山シーガルズ,27,41,38,10,50,0,0,0,,,0,0,0,0,29,0,0,4,76,42,18,0,,0.0,0.0,3.4,67.1
榊原美沙都,トヨタ車体クインシーズ,8,43,28,13,71,0,0,0,,,0,0,0,0,0,0,0,0,220,120,54,0,,0.0,0.0,,66.8
橋本梨紗,JTマーヴェラス,18,31,18,9,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
橘井友香,JTマーヴェラス,4,52,31,14,79,21,5,3,23.8,9.5,3,0,0,1,143,10,11,61,22,9,5,16,0.0,0.06,0.01,15.7,52.3
正里菜,PFUブルーキャッツ,9,6,21,0,27,11,5,0,45.5,45.5,1,0,0,1,88,3,2,18,0,0,0,9,0.0,0.19,0.04,8.0,
比金みなみ,久光製薬スプリングス,23,3,1,1,3,0,0,0,,,0,0,0,0,3,0,0,2,0,0,0,0,,0.0,0.0,16.7,
比金桃子,トヨタ車体クインシーズ,4,43,28,13,49,10,7,0,70.0,70.0,0,0,0,4,175,5,4,50,3,0,1,16,,0.14,0.08,9.4,16.7
水杉玲奈,東レアローズ,15,18,10,5,23,0,0,0,,,0,0,0,0,31,0,2,12,19,8,4,0,,0.0,0.0,8.1,52.6
永間香奈子,岡山シーガルズ,16,26,15,8,40,0,0,0,,,0,0,0,0,0,0,0,0,150,81,28,0,,0.0,0.0,,63.3
江畑幸子,PFUブルーキャッツ,5,9,36,0,38,372,111,23,29.8,23.7,49,9,8,6,113,2,3,32,0,0,0,119,18.4,2.92,0.16,8.2,
津賀菜緒,PFUブルーキャッツ,13,16,60,0,31,97,29,5,29.9,24.7,6,4,0,7,26,1,0,6,2,1,0,37,66.7,0.94,0.23,9.6,50.0
浮島杏加子,KUROBEアクアフェアリーズ,12,13,55,2,24,123,51,11,41.5,32.5,6,0,4,2,49,3,4,18,1,1,0,56,0.0,2.12,0.08,13.3,100.0
深萱知代,JTマーヴェラス,12,19,10,5,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
