名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
山口舞,11,岡山シーガルズ,2,13,59,26,2,44.1,40.7,0,0,0,4,33,0,1,3,2,1,1,,2.0,0.3,1.5,75.0
山口舞,12,岡山シーガルズ,2,10,25,11,0,44.0,44.0,0,0,0,2,23,0,0,0,0,0,0,,1.1,0.2,0.0,
山岸あかね,01,埼玉上尾メディックス,7,28,0,0,0,,,0,0,0,0,0,0,0,0,80,41,20,,0.0,0.0,,63.8
山岸あかね,02,埼玉上尾メディックス,7,16,0,0,0,,,0,0,0,0,0,0,0,0,65,33,11,,0.0,0.0,,59.2
山岸あかね,11,埼玉上尾メディックス,7,18,0,0,0,,,0,0,0,0,0,0,0,0,69,38,14,,0.0,0.0,,65.2
山岸あかね,12,埼玉上尾メディックス,7,15,0,0,0,,,0,0,0,0,0,0,0,0,47,19,15,,0.0,0.0,,56.4
山崎のの花,01,埼玉上尾メディックス,25,10,0,0,0,,,0,0,0,1,5,0,2,0,0,0,0,,0.0,0.1,-10.0,
山崎のの花,02,埼玉上尾メディックス,25,9,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
山崎のの花,11,埼玉上尾メディックス,25,14,2,0,0,0.0,0.0,0,0,0,2,9,0,1,1,1,0,0,,0.0,0.1,0.0,0.0
山崎のの花,12,埼玉上尾メディックス,25,7,1,1,0,100.0,100.0,0,0,0,0,7,0,0,4,0,0,0,,0.1,0.0,14.3,
山形理沙子,01,トヨタ車体クインシーズ,20,2,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,,0.0,0.0,0.0,
山本美沙,01,JTマーヴェラス,16,7,0,0,0,,,0,0,0,0,14,2,0,2,0,0,0,,0.0,0.0,17.9,
山本美沙,02,JTマーヴェラス,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
山本美沙,11,JTマーヴェラス,16,4,0,0,0,,,0,0,0,0,4,0,1,0,0,0,0,,0.0,0.0,-6.2,
山本美沙,12,JTマーヴェラス,16,2,0,0,0,,,0,0,0,0,3,0,0,1,0,0,0,,0.0,0.0,8.3,
山田二千華,01,NECレッドロケッツ,13,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
山田二千華,11,NECレッドロケッツ,13,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
山田二千華,12,NECレッドロケッツ,13,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
山田美花,02,デンソーエアリービーズ,11,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
山田美花,11,デンソーエアリービーズ,11,4,0,0,0,,,0,0,0,0,1,0,1,0,1,1,0,,0.0,0.0,-25.0,100.0
山田美花,12,デンソーエアリービーズ,11,2,0,0,0,,,0,0,0,0,0,0,0,0,3,1,0,,0.0,0.0,,33.3
岩坂名奈,01,久光製薬スプリングス,4,31,92,39,5,42.4,37.0,0,0,0,24,100,4,4,28,1,0,0,,1.3,0.8,10.0,0.0
岩坂名奈,02,久光製薬スプリングス,4,13,46,20,4,43.5,34.8,0,0,0,7,28,0,1,4,0,0,0,,1.5,0.5,2.7,
岩坂名奈,11,久光製薬スプリングス,4,14,52,22,1,42.3,40.4,0,0,0,15,40,2,2,10,2,0,0,,1.6,1.1,10.0,0.0
岩坂名奈,12,久光製薬スプリングス,4,15,55,25,2,45.5,41.8,0,0,0,12,39,0,1,13,1,1,0,,1.7,0.8,7.7,100.0
岩崎紗也加,01,NECレッドロケッツ,10,18,0,0,0,,,0,0,0,0,0,0,0,0,70,32,23,,0.0,0.0,,62.1
岩崎紗也加,02,NECレッドロケッツ,10,22,0,0,0,,,0,0,0,0,0,0,0,0,95,41,21,,0.0,0.0,,54.2
岩崎紗也加,11,NECレッドロケッツ,10,24,0,0,0,,,0,0,0,0,0,0,0,0,102,52,27,,0.0,0.0,,64.2
岩崎紗也加,12,NECレッドロケッツ,10,14,0,0,0,,,0,0,0,0,0,0,0,0,52,18,17,,0.0,0.0,,51.0
岩澤実育,01,埼玉上尾メディックス,28,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
岩澤実育,02,埼玉上尾メディックス,28,4,0,0,0,,,0,0,0,0,0,0,0,0,4,2,1,,0.0,0.0,,62.5
岩澤実育,11,埼玉上尾メディックス,28,3,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
峯村沙紀,01,NECレッドロケッツ,17,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
峯村沙紀,11,NECレッドロケッツ,17,1,0,0,0,,,0,0,0,0,2,0,1,0,0,0,0,,0.0,0.0,-12.5,
島村春世,01,NECレッドロケッツ,1,15,83,38,1,45.8,44.6,0,0,0,4,49,1,2,7,3,3,0,,2.5,0.3,4.6,100.0
島村春世,02,NECレッドロケッツ,1,22,139,62,3,44.6,42.4,1,0,0,7,53,1,4,10,1,0,1,0.0,2.8,0.3,4.7,50.0
島村春世,11,NECレッドロケッツ,1,9,49,16,1,32.7,30.6,0,0,0,3,24,0,2,5,0,0,0,,1.8,0.3,3.1,
島村春世,12,NECレッドロケッツ,1,15,90,36,1,40.0,38.9,1,0,0,10,52,2,2,12,7,2,1,0.0,2.4,0.7,8.7,35.7
島畑奈緒子,01,PFUブルーキャッツ,14,17,6,1,1,16.7,0.0,0,0,0,3,38,3,7,14,0,0,0,,0.1,0.2,12.5,
島畑奈緒子,02,PFUブルーキャッツ,14,8,0,0,0,,,0,0,0,0,7,1,1,4,0,0,0,,0.0,0.0,25.0,
島畑奈緒子,11,PFUブルーキャッツ,14,13,2,1,0,50.0,50.0,0,0,0,0,20,1,4,7,0,0,0,,0.1,0.0,8.8,
島畑奈緒子,12,PFUブルーキャッツ,14,11,9,3,0,33.3,33.3,0,0,0,3,36,3,1,10,0,0,0,,0.3,0.3,14.6,
川島亜依美,01,岡山シーガルズ,28,2,6,1,0,16.7,16.7,0,0,0,1,2,0,0,0,0,0,0,,0.5,0.5,0.0,
川島亜依美,02,岡山シーガルズ,28,4,13,4,0,30.8,30.8,0,0,0,2,12,1,1,6,0,0,0,,1.0,0.5,18.8,
川島亜依美,11,岡山シーガルズ,28,22,101,33,1,32.7,31.7,1,0,1,13,66,1,1,23,3,3,0,0.0,1.5,0.6,9.8,100.0
川島亜依美,12,岡山シーガルズ,28,12,54,26,0,48.1,48.1,0,0,0,7,39,1,3,10,0,0,0,,2.2,0.6,7.1,
工藤嶺,01,デンソーエアリービーズ,21,11,97,31,3,32.0,28.9,9,3,1,3,38,1,4,10,81,32,21,33.3,2.8,0.3,6.6,52.5
工藤嶺,02,デンソーエアリービーズ,21,11,49,13,5,26.5,16.3,7,1,0,2,20,0,2,6,85,37,14,14.3,1.2,0.2,5.0,51.8
工藤嶺,11,デンソーエアリービーズ,21,18,192,62,12,32.3,26.0,13,3,2,2,53,1,4,8,139,57,40,23.1,3.4,0.1,3.8,55.4
工藤嶺,12,デンソーエアリービーズ,21,8,72,21,4,29.2,23.6,7,1,1,1,20,0,1,3,64,28,10,14.3,2.6,0.1,2.5,51.6
巻口明日香,01,日立リヴァーレ,21,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
巻口明日香,11,日立リヴァーレ,21,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
巻口明日香,12,日立リヴァーレ,21,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
帯川きよら,02,久光製薬スプリングス,13,3,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
平谷里奈,01,KUROBEアクアフェアリーズ,11,16,170,43,9,25.3,20.0,11,2,1,4,41,1,2,9,176,67,47,18.2,2.7,0.2,6.7,51.4
平谷里奈,02,KUROBEアクアフェアリーズ,11,16,182,59,13,32.4,25.3,13,1,5,4,44,1,5,8,136,56,27,7.7,3.7,0.2,4.0,51.1
平谷里奈,11,KUROBEアクアフェアリーズ,11,25,272,85,12,31.2,26.8,21,5,1,4,66,1,3,21,216,96,60,23.8,3.4,0.2,8.3,58.3
平谷里奈,12,KUROBEアクアフェアリーズ,11,10,131,45,5,34.4,30.5,11,1,0,3,32,1,0,17,100,46,19,9.1,4.5,0.3,16.4,55.5
座安琴希,01,久光製薬スプリングス,10,6,0,0,0,,,0,0,0,0,0,0,0,0,16,7,4,,0.0,0.0,,56.2
座安琴希,02,久光製薬スプリングス,10,0,0,0,0,,,0,0,0,0,0,0,0,0,1,1,0,,,,,100.0
座安琴希,11,久光製薬スプリングス,10,4,0,0,0,,,0,0,0,0,0,0,0,0,7,3,0,,0.0,0.0,,42.9
座安琴希,12,久光製薬スプリングス,10,4,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
廣瀬七海,11,NECレッドロケッツ,9,20,236,90,22,38.1,28.8,53,17,8,2,68,9,14,19,0,0,0,32.1,4.5,0.1,15.1,
廣瀬七海,12,NECレッドロケッツ,9,5,49,18,3,36.7,30.6,14,3,1,1,20,3,6,5,0,0,0,21.4,3.6,0.2,13.8,
志智真梨奈,01,トヨタ車体クインシーズ,7,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,
志智真梨奈,02,トヨタ車体クインシーズ,7,2,0,0,0,,,0,0,0,0,2,0,0,1,1,0,0,,0.0,0.0,12.5,0.0
戸江真奈,01,久光製薬スプリングス,18,25,0,0,0,,,0,0,0,0,0,0,0,0,83,44,24,,0.0,0.0,,67.5
