名前,チーム,背番号,月,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
榊原菜那,JTマーヴェラス,9,143,40,15,12,17,38,17,2,44.7,39.5,0,0,0,3,78,0,3,26,0,0,0,20,,1.0,0.18,7.4,
権田寛奈,埼玉上尾メディックス,18,31,3,7,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
横田真未,デンソーエアリービーズ,16,143,35,19,10,43,184,81,5,44.0,41.3,0,0,0,16,143,10,15,50,6,4,0,107,,1.88,0.37,13.1,66.7
橋本梨紗,JTマーヴェラス,18,35,9,0,3,1,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,0,,0.0,0.0,25.0,
橘井友香,JTマーヴェラス,4,143,40,15,12,53,183,64,10,35.0,29.5,1,0,0,4,72,9,8,29,10,5,2,77,0.0,1.21,0.08,19.8,60.0
櫻井美樹,ヴィクトリーナ姫路,2,147,21,50,3,71,18,8,0,44.4,44.4,0,0,0,1,195,2,7,53,0,0,0,11,,0.11,0.01,6.9,
水杉玲奈,東レアローズ,11,145,51,10,17,39,0,0,0,,,0,0,0,0,0,0,0,0,144,80,31,0,,0.0,0.0,,66.3
池谷優佳,久光スプリングス,15,66,13,16,3,4,0,0,0,,,0,0,0,0,0,0,0,0,12,5,3,0,,0.0,0.0,,54.2
津賀菜緒,PFUブルーキャッツ,13,145,12,42,2,35,193,52,14,26.9,19.7,17,4,3,4,51,0,11,12,0,0,0,56,23.5,1.49,0.11,0.5,
浮島杏加子,KUROBEアクアフェアリーズ,12,144,22,43,4,29,142,57,7,40.1,35.2,6,1,1,1,24,1,5,3,1,0,0,59,16.7,1.97,0.03,2.1,0.0
