名前,年月,チーム,背番号,月,出場数,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
枩田優介,2009-04,パナソニックパンサーズ,13,12,11,0.0,26,10,0,38.5,38.5,0,0,0,8,31,0,2,4,0,0,0,18,,0.91,0.73,1.6,
柴田恭平,2009-04,東レアローズ,3,4,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
栗原圭介,2009-04,サントリーサンバーズ,6,12,10,0.0,2,1,0,50.0,50.0,0,0,0,0,41,1,2,11,0,0,0,2,,0.1,0.0,7.9,
桑田鎮典,2009-04,サントリーサンバーズ,9,12,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
永野健,2009-04,パナソニックパンサーズ,17,12,11,0.0,0,0,0,,,0,0,0,0,0,0,0,0,48,32,0,0,,0.0,0.0,,66.7
津曲勝利,2009-04,サントリーサンバーズ,11,12,10,0.0,0,0,0,,,0,0,0,0,0,0,0,0,46,32,0,0,,0.0,0.0,,69.6
清水邦広,2009-04,パナソニックパンサーズ,1,12,8,0.0,60,32,8,53.3,40.0,16,7,3,0,21,1,6,6,0,0,0,33,43.8,4.0,0.0,4.8,
田辺修,2009-04,東レアローズ,2,12,11,0.0,0,0,0,,,0,0,0,0,0,0,0,0,63,51,0,0,,0.0,0.0,,81.0
白澤健児,2009-04,パナソニックパンサーズ,6,12,9,0.0,10,0,1,0.0,-10.0,0,0,0,2,25,0,0,5,0,0,0,2,,0.0,0.22,5.0,
相澤寿,2009-04,東レアローズ,7,12,1,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
石島雄介,2009-04,堺ブレイザーズ,3,12,10,0.0,59,28,5,47.5,39.0,9,5,2,4,39,3,7,13,51,33,0,35,55.6,2.8,0.4,11.5,64.7
福澤達哉,2009-04,パナソニックパンサーズ,15,12,9,0.0,50,33,5,66.0,56.0,7,3,2,3,27,4,5,6,69,41,0,40,42.9,3.67,0.33,15.7,59.4
篠田歩,2009-04,東レアローズ,17,12,11,0.0,23,15,2,65.2,56.5,0,0,0,5,45,0,3,6,3,1,0,20,,1.36,0.45,1.7,33.3
米山裕太,2009-04,東レアローズ,5,12,11,0.0,58,19,3,32.8,27.6,3,1,0,5,45,1,5,5,74,48,0,25,33.3,1.73,0.45,2.2,64.9
米山達也,2009-04,サントリーサンバーズ,20,12,10,0.0,65,32,5,49.2,41.5,9,3,0,0,39,6,9,15,82,57,0,38,33.3,3.2,0.0,19.2,69.5
荻野正二,2009-04,サントリーサンバーズ,10,12,3,0.0,9,3,1,33.3,22.2,2,1,0,0,5,0,1,0,13,4,0,3,50.0,1.0,0.0,-5.0,30.8
西尾太作,2009-04,堺ブレイザーズ,16,12,2,0.0,11,5,0,45.5,45.5,2,1,0,2,6,0,1,1,0,0,0,7,50.0,2.5,1.0,0.0,
角田辰徳,2009-04,東レアローズ,16,12,6,0.0,8,2,1,25.0,12.5,3,1,0,0,17,1,1,8,5,3,0,3,33.3,0.33,0.0,16.2,60.0
谷村孝,2009-04,パナソニックパンサーズ,18,12,3,0.0,3,0,0,0.0,0.0,0,0,0,1,3,0,1,0,6,1,0,1,,0.0,0.33,-8.3,16.7
越川優,2009-04,サントリーサンバーズ,7,12,10,0.0,91,39,11,42.9,30.8,32,9,7,4,45,5,13,14,20,15,0,48,28.1,3.9,0.4,11.7,75.0
越谷章,2009-04,東レアローズ,10,12,10,0.0,30,18,1,60.0,56.7,0,0,0,2,26,0,3,9,39,26,0,20,,1.8,0.2,5.8,66.7
近藤茂,2009-04,東レアローズ,4,12,2,0.0,0,0,0,,,0,0,0,0,4,0,0,0,0,0,0,0,,0.0,0.0,0.0,
金井修也,2009-04,堺ブレイザーズ,8,12,10,0.0,3,1,0,33.3,33.3,0,0,0,1,3,0,0,0,0,0,0,2,,0.1,0.1,0.0,
鈴木寛史,2009-04,サントリーサンバーズ,2,12,7,0.0,4,2,1,50.0,25.0,0,0,0,0,4,0,2,1,0,0,0,2,,0.29,0.0,-6.2,
阿部裕太,2009-04,東レアローズ,9,12,11,0.0,5,1,1,20.0,0.0,0,0,0,4,33,0,0,4,2,0,0,5,,0.09,0.36,3.0,0.0
高杉洋平,2009-04,東レアローズ,8,12,4,0.0,0,0,0,,,0,0,0,0,7,0,2,2,0,0,0,0,,0.0,0.0,0.0,
