名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率
北田陽季,ヴィアティン三重,23,18,72,34,8,47.2,36.1,16,7,3,3,34,4,10,6,7,3,1,43.8,1.9,0.2,8.8
南本大貴,奈良ドリーマーズ,18,68,13,6,0,46.2,46.2,1,0,0,2,246,14,35,79,5,0,0,0.0,0.1,0.0,10.2
古家康隆,千葉ZELVA,13,1,0,0,0,,,0,0,0,0,2,0,0,1,0,0,0,,0.0,0.0,12.5
古牧佑太,奈良ドリーマーズ,12,25,13,2,1,15.4,7.7,0,0,0,6,8,0,1,0,0,0,0,,0.1,0.2,-3.1
古田史郎,ヴォレアス北海道,4,30,199,106,17,53.3,44.7,59,30,10,18,119,12,30,38,0,0,0,50.8,3.5,0.6,11.8
吉岡佳徳,千葉ZELVA,10,34,1,1,0,100.0,100.0,0,0,0,0,64,0,4,7,1,0,0,,0.0,0.0,1.2
吉田大輝,ヴィアティン三重,13,2,4,1,0,25.0,25.0,0,0,0,0,3,0,0,0,0,0,0,,0.5,0.0,0.0
吉田裕哉,近畿クラブスフィーダ,21,12,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,
和治裕太,きんでんトリニティーブリッツ,17,64,519,226,77,43.5,28.7,168,65,42,20,233,17,57,59,4,1,0,38.7,3.5,0.3,7.5
土倉進太郎,長野GaRons,13,5,0,0,0,,,0,0,0,0,5,0,2,0,0,0,0,,0.0,0.0,-10.0
坂口舜,長野GaRons,10,12,0,0,0,,,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.1,
塩大地,きんでんトリニティーブリッツ,6,54,206,116,20,56.3,46.6,1,0,1,30,120,7,24,26,9,8,0,0.0,2.1,0.6,6.2
壇亮太,兵庫デルフィーノ,3,55,218,86,39,39.4,21.6,33,11,12,16,112,1,30,18,6,3,1,33.3,1.6,0.3,-1.8
夏目真吾,長野GaRons,5,59,0,0,0,,,0,0,0,0,0,0,0,0,312,168,91,,0.0,0.0,
大井手脩輔,千葉ZELVA,9,42,81,29,3,35.8,32.1,0,0,0,2,67,1,13,11,143,63,36,,0.7,0.0,0.7
大原悠,近畿クラブスフィーダ,16,42,9,1,3,11.1,-22.2,0,0,0,0,16,1,0,6,230,121,53,,0.0,0.0,15.6
大楽祥生,東京トヨペットグリーンスパークル,9,62,414,154,42,37.2,27.1,59,20,12,11,195,7,24,34,336,117,97,33.9,2.5,0.2,4.9
大浦坂健太,ヴィアティン三重,24,8,0,0,0,,,0,0,0,0,0,0,0,0,54,42,5,,0.0,0.0,
大町和幸,千葉ZELVA,12,62,334,142,19,42.5,36.8,8,2,0,7,253,12,28,65,320,133,84,25.0,2.3,0.1,8.4
大谷充寛,兵庫デルフィーノ,4,15,15,5,1,33.3,26.7,0,0,0,2,39,2,5,13,1,0,0,,0.3,0.1,10.3
大貫智博,東京トヨペットグリーンスパークル,6,32,92,34,3,37.0,33.7,0,0,0,19,89,2,3,9,5,2,1,,1.1,0.6,3.9
大賀惠介,きんでんトリニティーブリッツ,5,11,0,0,0,,,0,0,0,0,0,0,0,0,38,25,8,,0.0,0.0,
太田友広,兵庫デルフィーノ,12,29,60,12,6,20.0,10.0,2,1,0,2,41,1,5,6,32,10,6,50.0,0.4,0.1,3.0
奥田晃,東京ヴェルディ,11,35,14,9,1,64.3,57.1,0,0,0,5,57,0,0,12,1,0,0,,0.3,0.1,5.3
奥長勝之,兵庫デルフィーノ,10,62,140,49,10,35.0,27.9,5,1,0,3,76,2,13,13,344,163,85,20.0,0.8,0.0,2.6
宇野佑樹,東京トヨペットグリーンスパークル,4,14,18,4,1,22.2,16.7,0,0,0,3,27,0,2,3,0,0,0,,0.3,0.2,0.9
宮田航輔,東京ヴェルディ,4,19,0,0,0,,,0,0,0,0,25,0,1,6,0,0,0,,0.0,0.0,5.0
家近滉一,ヴォレアス北海道,5,64,324,140,36,43.2,32.1,52,23,8,20,251,23,47,63,301,152,55,44.2,2.2,0.3,10.8
小寺秀哉,奈良ドリーマーズ,16,68,0,0,0,,,0,0,0,0,0,0,0,0,79,32,21,,0.0,0.0,
小林洸,近畿クラブスフィーダ,8,21,99,31,6,31.3,25.3,8,4,2,5,44,0,11,10,75,47,18,50.0,1.5,0.2,-0.6
小林空,近畿クラブスフィーダ,24,39,407,203,33,49.9,41.8,135,62,20,15,143,12,21,51,18,5,1,45.9,5.2,0.4,13.6
小野義隆,きんでんトリニティーブリッツ,15,2,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0
尾松航洋,きんでんトリニティーブリッツ,2,37,7,3,0,42.9,42.9,2,1,0,0,55,4,15,16,0,0,0,50.0,0.1,0.0,7.7
山下道生,東京ヴェルディ,14,14,38,18,4,47.4,36.8,0,0,0,10,38,0,5,4,0,0,0,,1.3,0.7,-0.7
山口功太郎,ヴォレアス北海道,2,46,6,2,0,33.3,33.3,0,0,0,1,129,2,14,21,2,1,0,,0.0,0.0,2.9
山口純平,ヴィアティン三重,10,14,26,11,4,42.3,26.9,0,0,0,2,3,0,0,1,0,0,0,,0.8,0.1,8.3
山崎幸一郎,長野GaRons,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
山本大希,ヴォレアス北海道,12,31,7,3,1,42.9,28.6,2,1,0,0,35,3,16,4,9,6,1,50.0,0.1,0.0,0.0
山本寛生,きんでんトリニティーブリッツ,16,30,45,14,5,31.1,20.0,3,0,0,0,47,3,8,9,18,7,5,0.0,0.5,0.0,6.9
山本慎人,近畿クラブスフィーダ,15,6,0,0,0,,,0,0,0,0,14,0,0,3,0,0,0,,0.0,0.0,5.4
山本映樹,近畿クラブスフィーダ,1,40,173,72,7,41.6,37.6,12,3,0,7,134,8,24,37,4,1,2,25.0,1.8,0.2,8.4
山本翔耶,兵庫デルフィーノ,8,59,271,99,29,36.5,25.8,17,5,4,5,165,3,27,35,394,177,104,29.4,1.7,0.1,3.0
岡本侑,きんでんトリニティーブリッツ,1,32,227,108,22,47.6,37.9,52,28,8,6,152,14,28,39,230,125,53,53.8,3.4,0.2,11.0
岩井克樹,長野GaRons,8,49,65,25,8,38.5,26.2,1,0,0,0,104,4,6,17,2,2,0,0.0,0.5,0.0,6.5
岩本正吾,兵庫デルフィーノ,33,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
岩本雄喜,近畿クラブスフィーダ,18,17,41,12,2,29.3,24.4,0,0,0,5,44,1,2,10,5,3,0,,0.7,0.3,6.8
岩田晃祐,奈良ドリーマーズ,6,39,0,0,0,,,0,0,0,0,51,0,10,14,0,0,0,,0.0,0.0,2.0
岩阪健太郎,東京トヨペットグリーンスパークル,5,64,203,93,8,45.8,41.9,1,1,0,30,204,1,16,28,1,0,1,100.0,1.5,0.5,2.0
岸康太,ヴィアティン三重,5,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,
川口喬,近畿クラブスフィーダ,22,23,89,36,3,40.4,37.1,1,0,0,9,49,2,5,18,1,0,0,0.0,1.6,0.4,10.7
工藤巧,東京ヴェルディ,15,46,434,202,31,46.5,39.4,149,65,13,8,155,7,28,40,7,1,1,43.6,4.4,0.2,6.5
市川一樹,千葉ZELVA,2,63,87,32,8,36.8,27.6,0,0,0,1,66,2,4,11,320,154,75,,0.5,0.0,5.7
帖佐力弥,近畿クラブスフィーダ,17,11,1,0,1,0.0,-100.0,1,0,1,0,2,0,0,0,32,21,1,0.0,0.0,0.0,0.0
平田英貴,きんでんトリニティーブリッツ,13,16,35,14,3,40.0,31.4,0,0,0,5,45,1,4,11,1,0,0,,0.9,0.3,6.1
庄司練,近畿クラブスフィーダ,33,25,47,26,0,55.3,55.3,0,0,0,14,45,0,5,11,1,1,0,,1.0,0.6,3.3
打田淑人,ヴィアティン三重,9,42,0,0,0,,,0,0,0,0,0,0,0,0,13,5,1,,0.0,0.0,
持冨光一,東京トヨペットグリーンスパークル,15,66,76,18,15,23.7,3.9,9,0,3,11,226,8,20,27,20,3,7,0.0,0.3,0.2,4.3
新谷俊揮,きんでんトリニティーブリッツ,12,60,225,93,26,41.3,29.8,32,10,5,11,182,16,53,46,300,140,78,31.2,1.6,0.2,7.8
早川紘司,東京トヨペットグリーンスパークル,2,6,21,1,2,4.8,-4.8,0,0,0,0,18,1,2,5,10,5,0,,0.2,0.0,9.7
早瀬省吾,東京ヴェルディ,3,35,0,0,0,,,0,0,0,0,3,0,0,1,213,103,35,,0.0,0.0,8.3
星宗洋輔,奈良ドリーマーズ,11,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
春日椋,長野GaRons,14,65,5,1,0,20.0,20.0,1,0,0,4,204,5,19,38,7,0,0,0.0,0.0,0.1,4.8
有津翔太,奈良ドリーマーズ,2,16,87,32,7,36.8,28.7,3,1,0,3,43,1,4,7,49,7,26,33.3,2.0,0.2,4.1
有薗亮平,近畿クラブスフィーダ,14,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
本多駿,近畿クラブスフィーダ,9,44,374,168,42,44.9,33.7,71,36,10,20,175,4,20,47,135,58,28,50.7,3.8,0.5,6.1
杉谷祐磨,ヴォレアス北海道,16,19,61,18,6,29.5,19.7,3,0,2,2,41,4,12,11,91,39,15,0.0,0.9,0.1,9.1
村元和人,奈良ドリーマーズ,13,6,0,0,0,,,0,0,0,0,11,1,1,3,0,0,0,,0.0,0.0,13.6
村松俊輔,千葉ZELVA,8,57,549,226,52,41.2,31.7,164,68,25,18,208,10,51,42,6,3,0,41.5,4.0,0.3,3.7
東野朋慶,近畿クラブスフィーダ,19,31,102,55,5,53.9,49.0,0,0,0,7,85,2,9,6,127,70,24,,1.8,0.2,1.5
松井孝介,兵庫デルフィーノ,18,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
松本敬三,東京トヨペットグリーンスパークル,16,65,402,145,27,36.1,29.4,56,15,6,10,199,5,14,22,419,198,108,26.8,2.2,0.2,3.5
松橋拓也,長野GaRons,2,65,422,163,21,38.6,33.6,4,0,1,16,254,15,30,63,301,102,90,0.0,2.5,0.2,9.2
松田祐和,きんでんトリニティーブリッツ,18,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
柳澤利樹,千葉ZELVA,19,25,23,10,1,43.5,39.1,0,0,0,1,20,1,9,3,0,0,0,,0.4,0.0,-2.5
柿木秀人,近畿クラブスフィーダ,6,12,0,0,0,,,0,0,0,0,18,2,3,6,0,0,0,,0.0,0.0,15.3
桑原瑠星,近畿クラブスフィーダ,11,23,86,30,6,34.9,27.9,0,0,0,1,50,1,8,14,116,41,28,,1.3,0.0,5.0
梶野喜宏,近畿クラブスフィーダ,2,19,3,2,0,66.7,66.7,0,0,0,1,36,1,1,2,1,0,0,,0.1,0.1,3.5
森愛樹,近畿クラブスフィーダ,20,33,0,0,0,,,0,0,0,0,0,0,0,0,200,122,39,,0.0,0.0,
森本寛司,兵庫デルフィーノ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
榎本京祐,東京ヴェルディ,12,54,189,85,13,45.0,38.1,13,6,4,25,152,9,25,34,5,1,2,46.2,1.6,0.5,7.4
槌尾健,東京トヨペットグリーンスパークル,14,9,0,0,0,,,0,0,0,0,9,0,0,1,0,0,0,,0.0,0.0,2.8
毛利光生,きんでんトリニティーブリッツ,11,67,33,14,2,42.4,36.4,3,1,0,26,284,9,26,74,2,0,1,33.3,0.2,0.4,7.4
河戸俊亮,近畿クラブスフィーダ,3,40,124,70,8,56.5,50.0,0,0,0,36,114,2,7,30,2,1,1,,1.8,0.9,6.8
河田浩忠,奈良ドリーマーズ,9,3,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,,0.0,0.0,25.0
浅岡一志,長野GaRons,6,54,133,49,19,36.8,22.6,6,2,2,9,128,9,38,39,5,1,1,33.3,0.9,0.2,7.2
浅岡真太,長野GaRons,12,47,0,0,0,,,0,0,0,0,0,0,0,0,81,39,15,,0.0,0.0,
浅岡遥太,東京ヴェルディ,2,65,0,0,0,,,0,0,0,0,0,0,0,0,254,132,74,,0.0,0.0,
浅野晶,千葉ZELVA,1,73,704,298,50,42.3,35.2,124,54,15,28,239,9,36,50,304,149,59,43.5,4.1,0.4,5.2
清水一生,長野GaRons,7,60,423,200,44,47.3,36.9,119,52,25,35,260,8,22,48,76,37,19,43.7,3.3,0.6,5.6
清水久雄,東京ヴェルディ,8,47,7,3,0,42.9,42.9,0,0,0,1,102,4,9,14,0,0,0,,0.1,0.0,5.1
渡邉稜,長野GaRons,1,63,226,107,13,47.3,41.6,0,0,0,26,169,3,20,34,3,0,2,,1.7,0.4,3.8
渡邊徹,奈良ドリーマーズ,1,2,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0
濱田翔,長野GaRons,18,11,32,13,3,40.6,31.2,0,0,0,1,30,0,10,3,1,0,1,,1.2,0.1,-5.8
瀧元一彰,近畿クラブスフィーダ,35,21,0,0,0,,,0,0,0,0,42,0,2,11,4,3,0,,0.0,0.0,5.4
片ノ坂亮太,兵庫デルフィーノ,23,7,0,0,0,,,0,0,0,1,13,1,0,3,0,0,0,,0.0,0.1,13.5
片岡飛雄吾,近畿クラブスフィーダ,28,5,0,0,0,,,0,0,0,0,5,0,0,2,0,0,0,,0.0,0.0,10.0
玉嶋佑樹,兵庫デルフィーノ,22,31,60,18,4,30.0,23.3,7,2,1,1,64,6,18,15,47,14,12,28.6,0.6,0.0,8.2
田中一彰,ヴィアティン三重,1,67,299,139,32,46.5,35.8,9,2,2,14,278,11,32,74,362,166,88,22.2,2.1,0.2,7.7
田中優羽,長野GaRons,17,15,0,0,0,,,0,0,0,0,19,0,2,4,0,0,0,,0.0,0.0,2.6
田中寛人,兵庫デルフィーノ,7,68,248,130,16,52.4,46.0,0,0,0,46,173,2,25,35,4,0,3,,1.9,0.7,2.6
田中絢人,近畿クラブスフィーダ,27,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
田城貴之,ヴォレアス北海道,3,52,109,57,8,52.3,45.0,0,0,0,28,136,9,49,44,6,1,3,,1.1,0.5,5.7
田尻信太郎,東京ヴェルディ,5,47,61,27,3,44.3,39.3,2,0,1,7,184,10,30,41,1,0,0,0.0,0.6,0.1,6.9
田畑翔伍,きんでんトリニティーブリッツ,7,64,287,105,32,36.6,25.4,30,11,6,27,148,10,34,44,299,126,79,36.7,1.6,0.4,8.4
白川佑樹,兵庫デルフィーノ,2,52,217,79,17,36.4,28.6,50,17,6,6,132,10,30,30,25,4,3,34.0,1.5,0.1,7.6
白川雅貴,兵庫デルフィーノ,20,12,4,3,0,75.0,75.0,0,0,0,2,28,1,1,8,0,0,0,,0.2,0.2,9.8
白石啓丈,ヴォレアス北海道,10,64,0,0,0,,,0,0,0,0,0,0,0,0,342,217,62,,0.0,0.0,
石原二生,東京トヨペットグリーンスパークル,3,30,72,34,7,47.2,37.5,0,0,0,11,104,5,7,24,7,2,0,,1.1,0.4,8.9
石川和樹,ヴィアティン三重,4,44,9,1,1,11.1,0.0,3,1,1,0,70,2,12,23,3,0,1,33.3,0.0,0.0,6.8
石渡瑛法,奈良ドリーマーズ,5,59,309,106,34,34.3,23.3,8,1,1,12,200,10,51,46,275,128,77,12.5,1.8,0.2,4.4
石田康祐,近畿クラブスフィーダ,7,11,0,0,0,,,0,0,0,0,17,0,6,4,0,0,0,,0.0,0.0,-2.9
碩幸輝,奈良ドリーマーズ,17,65,316,146,23,46.2,38.9,3,0,0,12,216,4,9,57,10,4,4,0.0,2.2,0.2,7.4
福吉慎也,きんでんトリニティーブリッツ,10,17,39,12,5,30.8,17.9,13,3,2,3,36,4,6,8,0,0,0,23.1,0.7,0.2,12.5
秦惇平,兵庫デルフィーノ,24,15,73,29,5,39.7,32.9,7,2,1,1,44,2,9,16,12,5,1,28.6,1.9,0.1,8.5
竹内敦彦,兵庫デルフィーノ,19,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
篠田学,千葉ZELVA,16,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,
米山蒼野,長野GaRons,9,7,18,5,2,27.8,16.7,0,0,0,5,17,1,0,6,0,0,0,,0.7,0.7,14.7
米澤寛武,近畿クラブスフィーダ,23,35,202,94,13,46.5,40.1,2,1,0,17,131,5,20,35,205,94,46,50.0,2.7,0.5,6.7
米澤晃希,近畿クラブスフィーダ,29,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
納庄皓仁,兵庫デルフィーノ,6,48,238,110,23,46.2,36.6,18,4,7,17,160,28,42,50,9,3,4,22.2,2.3,0.4,18.8
繁田康平,近畿クラブスフィーダ,10,14,31,11,1,35.5,32.3,0,0,0,6,20,0,2,1,0,0,0,,0.8,0.4,-1.2
與崎風人,東京ヴェルディ,25,41,265,103,19,38.9,31.7,47,17,5,10,143,2,26,33,84,39,18,36.2,2.5,0.2,2.6
茶屋道康輔,ヴィアティン三重,15,29,138,57,13,41.3,31.9,0,0,0,14,86,2,7,33,1,0,0,,2.0,0.5,9.9
草間圭祐,東京トヨペットグリーンスパークル,13,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
荒木優,千葉ZELVA,5,71,46,27,2,58.7,54.3,0,0,0,21,209,9,38,53,3,1,1,,0.4,0.3,6.1
荻野翼,東京ヴェルディ,18,29,92,35,7,38.0,30.4,0,0,0,12,59,3,6,18,0,0,0,,1.2,0.4,10.2
落合一輝,ヴィアティン三重,20,68,366,160,35,43.7,34.2,21,5,4,22,222,12,25,59,289,127,79,23.8,2.4,0.3,9.2
藤井和輝,東京トヨペットグリーンスパークル,12,26,0,0,0,,,0,0,0,0,20,0,1,5,60,20,17,,0.0,0.0,5.0
藤井啓太,長野GaRons,20,65,580,269,50,46.4,37.8,56,21,8,20,257,18,54,69,459,218,133,37.5,4.1,0.3,8.5
藤原裕和,千葉ZELVA,3,46,72,31,7,43.1,33.3,0,0,0,22,150,5,15,27,2,0,1,,0.7,0.5,5.3
藤村昇太,ヴォレアス北海道,11,13,0,0,0,,,0,0,0,0,0,0,0,0,8,3,2,,0.0,0.0,
藤田昴大,兵庫デルフィーノ,9,2,0,0,0,,,0,0,0,0,3,0,0,1,0,0,0,,0.0,0.0,8.3
西原康平,奈良ドリーマーズ,3,67,504,213,26,42.3,37.1,36,10,3,12,258,9,40,55,594,234,184,27.8,3.2,0.2,4.9
西片圭佑,東京トヨペットグリーンスパークル,8,14,42,11,3,26.2,19.0,1,0,0,0,27,2,4,3,10,1,5,0.0,0.8,0.0,6.5
谷口和也,近畿クラブスフィーダ,34,27,11,6,0,54.5,54.5,0,0,0,8,105,5,3,26,1,0,0,,0.2,0.3,10.2
足立龍,奈良ドリーマーズ,10,66,0,0,0,,,0,0,0,0,0,0,0,0,285,130,85,,0.0,0.0,
那須野裕進,近畿クラブスフィーダ,13,28,87,34,6,39.1,32.2,0,0,0,19,68,0,3,5,0,0,0,,1.2,0.7,0.7
野坂尚哉,ヴォレアス北海道,8,24,36,16,2,44.4,38.9,4,0,0,1,10,0,3,3,0,0,0,0.0,0.7,0.0,0.0
野垣昂大,ヴィアティン三重,3,70,30,10,1,33.3,30.0,0,0,0,9,205,5,26,45,4,0,0,,0.1,0.1,4.8
野里正幸,兵庫デルフィーノ,11,7,0,0,0,,,0,0,0,0,0,0,0,0,37,12,9,,0.0,0.0,
長屋裕介,ヴィアティン三重,7,26,97,48,2,49.5,47.4,0,0,0,10,65,1,2,6,1,0,0,,1.8,0.4,3.1
長澤朔,東京ヴェルディ,16,32,94,36,6,38.3,31.9,0,0,0,8,89,1,4,19,5,1,2,,1.1,0.2,5.3
長濱裕,きんでんトリニティーブリッツ,3,64,0,0,0,,,0,0,0,0,0,0,0,0,294,150,74,,0.0,0.0,
長谷川博紀,ヴィアティン三重,8,68,274,147,13,53.6,48.9,1,1,0,43,207,3,27,43,2,2,0,100.0,2.2,0.6,3.4
関根俊哉,ヴォレアス北海道,7,19,44,22,4,50.0,40.9,0,0,0,10,63,1,10,14,0,0,0,,1.2,0.5,3.2
関根翔太,千葉ZELVA,11,22,6,1,1,16.7,0.0,0,0,0,0,28,2,7,5,0,0,0,,0.0,0.0,5.4
陳建禎,ヴォレアス北海道,19,67,493,287,41,58.2,49.9,153,90,16,42,261,19,54,70,161,100,27,58.8,4.3,0.6,8.8
青木宏門,長野GaRons,11,10,0,0,0,,,0,0,0,0,13,1,2,2,0,0,0,,0.0,0.0,7.7
高木裕史,東京トヨペットグリーンスパークル,19,63,36,11,3,30.6,22.2,1,0,0,2,25,0,1,1,451,205,122,0.0,0.2,0.0,0.0
高野和弥,長野GaRons,3,4,13,5,3,38.5,15.4,0,0,0,1,13,1,0,5,0,0,0,,1.2,0.2,17.3
高野悠真,ヴィアティン三重,17,60,0,0,0,,,0,0,0,0,6,1,0,2,293,100,74,,0.0,0.0,25.0
黒木隆生,きんでんトリニティーブリッツ,19,67,263,147,8,55.9,52.9,0,0,0,48,203,14,28,33,4,3,0,,2.2,0.7,7.5
齋藤貴紀,千葉ZELVA,7,43,60,18,8,30.0,16.7,1,1,0,16,103,2,27,13,1,0,0,100.0,0.4,0.4,-1.5
