試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2010-03-20,KUROBEアクアフェアリーズ,11,,村上菜央,4,■,■,■,■,nan,28,7,1,0.25,0.21428571428571427,1.75,0,0,0,-,4,1.00,5,0,0,3,15.0,1,0,0,0.0
2010-03-20,KUROBEアクアフェアリーズ,12,,熊谷更紗,3,□,□,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,6,0,0,2,8.3,0,0,0,-
2010-03-20,KUROBEアクアフェアリーズ,13,,吉川ひかる,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2010-03-20,KUROBEアクアフェアリーズ,14,L,小島愛実,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,16,12,0,75.0
2010-03-20,KUROBEアクアフェアリーズ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,155,56,11,0.36129032258064514,0.2903225806451613,14.00,0,0,0,-,9,2.25,97,9,6,34,16.6,72,49,0,68.1
2010-03-21,三洋電機レッドソア,1,,木村有希,3,■,■,■,nan,nan,20,7,2,0.35,0.25,2.33,0,0,0,-,0,-,7,1,1,1,15.0,20,9,0,45.0
2010-03-21,三洋電機レッドソア,3,,佐々木侑,3,■,■,■,nan,nan,21,7,1,0.3333333333333333,0.2857142857142857,2.33,1,0,1,0.0,1,0.33,9,1,0,3,17.2,7,5,0,71.4
2010-03-21,三洋電機レッドソア,4,,天野ゆかり,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2010-03-21,三洋電機レッドソア,5,L,山田友香,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2010-03-21,三洋電機レッドソア,7,,徳川恵理,3,■,■,■,nan,nan,12,6,0,0.5,0.5,2.00,0,0,0,-,0,-,5,0,0,2,10.0,0,0,0,-
2010-03-21,三洋電機レッドソア,8,,中野清香,3,■,■,■,nan,nan,26,9,1,0.34615384615384615,0.3076923076923077,3.00,0,0,0,-,0,-,8,0,2,2,6.2,6,4,0,66.7
2010-03-21,三洋電機レッドソア,9,,寺沢美香,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2010-03-21,三洋電機レッドソア,11,,星美由紀,3,■,■,■,nan,nan,7,2,0,0.2857142857142857,0.2857142857142857,0.67,0,0,0,-,1,0.33,9,0,1,2,5.6,11,5,0,45.5
2010-03-21,三洋電機レッドソア,12,,星亜矢子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2010-03-21,三洋電機レッドソア,13,,黒川朝加,2,nan,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,0,0,0.0,0,0,0,-
2010-03-21,三洋電機レッドソア,14,,林蓉子,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,12,7,0,58.3
2010-03-21,三洋電機レッドソア,15,L,横江千秋,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,14,8,0,57.1
2010-03-21,三洋電機レッドソア,16,,松野由香,3,■,■,■,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,7,0,0,1,3.6,0,0,0,-
2010-03-21,三洋電機レッドソア,17,,新城友美,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2010-03-21,三洋電機レッドソア,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,87,31,4,0.3563218390804598,0.3103448275862069,10.33,1,0,1,0.0,2,0.67,48,2,4,11,9.1,70,38,0,54.3
2010-03-21,日立リヴァーレ,3,,吉田あい,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,2,1,0,50.0
2010-03-21,日立リヴァーレ,5,,松浦麻琴,3,■,■,■,nan,nan,2,2,0,1.0,1.0,0.67,0,0,0,-,2,0.67,12,0,1,5,10.4,0,0,0,-
2010-03-21,日立リヴァーレ,6,,石田小枝,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2010-03-21,日立リヴァーレ,9,,藤崎朱里,3,■,■,■,nan,nan,10,5,1,0.5,0.4,1.67,0,0,0,-,3,1.00,16,1,2,6,14.4,11,7,0,63.6
