名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
山下遥香,03,PFUブルーキャッツ,18,5,0,0,0,,,0,0,0,1,12,0,1,1,0,0,0,1,,0.0,0.2,0.0,
山口舞,03,岡山シーガルズ,2,3,1,1,0,100.0,100.0,0,0,0,0,3,0,0,0,0,0,0,1,,0.3,0.0,0.0,
島畑奈緒子,03,PFUブルーキャッツ,14,5,1,0,0,0.0,0.0,0,0,0,1,8,0,0,4,0,0,0,1,,0.0,0.2,12.5,
川島亜依美,03,岡山シーガルズ,28,6,15,8,0,53.3,53.3,0,0,0,3,26,2,0,9,1,0,1,13,,1.3,0.5,16.3,50.0
平谷里奈,03,KUROBEアクアフェアリーズ,11,7,93,27,8,29.0,20.4,5,1,1,2,23,2,2,12,69,43,9,31,20.0,3.9,0.3,19.6,68.8
星加輝,03,KUROBEアクアフェアリーズ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
村上華澄,03,PFUブルーキャッツ,6,7,20,4,3,20.0,5.0,0,0,0,3,31,0,3,7,2,2,0,7,,0.6,0.4,3.2,100.0
松下紗也,03,PFUブルーキャッツ,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
楢崎慈恵,03,岡山シーガルズ,27,1,0,0,0,,,0,0,0,0,2,1,0,0,0,0,0,1,,0.0,0.0,50.0,
永間香奈子,03,岡山シーガルズ,16,6,0,0,0,,,0,0,0,0,0,0,0,0,11,8,1,0,,0.0,0.0,,77.3
江畑幸子,03,PFUブルーキャッツ,5,7,80,27,3,33.8,30.0,13,2,0,1,19,0,3,8,0,0,0,28,15.4,3.9,0.1,6.6,
津賀菜緒,03,PFUブルーキャッツ,13,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
浮島杏加子,03,KUROBEアクアフェアリーズ,12,7,77,33,7,42.9,33.8,8,2,1,0,19,2,1,8,2,1,1,35,25.0,4.7,0.0,19.7,75.0
清水眞衣,03,PFUブルーキャッツ,12,5,20,6,2,30.0,20.0,0,0,0,1,5,0,0,1,1,1,0,7,,1.2,0.2,5.0,100.0
渡邊真恵,03,岡山シーガルズ,6,6,35,14,1,40.0,37.1,0,0,0,0,24,3,0,2,10,3,0,17,,2.3,0.0,14.6,30.0
白岩蘭奈,03,KUROBEアクアフェアリーズ,17,3,0,0,0,,,0,0,0,0,3,0,2,0,0,0,0,0,,0.0,0.0,-16.7,
白崎麻友香,03,KUROBEアクアフェアリーズ,5,5,1,1,0,100.0,100.0,0,0,0,0,16,1,0,5,3,1,0,2,,0.2,0.0,14.1,33.3
秋山愛海,03,PFUブルーキャッツ,10,5,32,7,3,21.9,12.5,1,0,1,1,10,0,0,6,24,11,4,8,0.0,1.4,0.2,15.0,54.2
綿引菜都美,03,KUROBEアクアフェアリーズ,6,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
舛田紗淑,03,KUROBEアクアフェアリーズ,9,2,0,0,0,,,0,0,0,0,4,0,0,4,0,0,0,0,,0.0,0.0,25.0,
谷七海,03,PFUブルーキャッツ,7,7,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
金田修佳,03,岡山シーガルズ,18,6,76,31,1,40.8,39.5,1,1,0,1,20,2,2,3,44,18,8,34,100.0,5.2,0.2,11.2,50.0
雪丸梢,03,KUROBEアクアフェアリーズ,7,7,25,8,3,32.0,20.0,1,0,0,1,25,0,2,6,2,2,0,9,0.0,1.1,0.1,4.0,100.0
馬場ゆりか,03,KUROBEアクアフェアリーズ,4,7,0,0,0,,,0,0,0,0,0,0,0,0,33,20,8,0,,0.0,0.0,,72.7
高相みな実,03,PFUブルーキャッツ,17,2,6,4,0,66.7,66.7,0,0,0,0,1,0,0,0,4,1,1,4,,2.0,0.0,0.0,37.5
高野由里加,03,岡山シーガルズ,21,4,13,4,0,30.8,30.8,0,0,0,2,10,0,0,1,0,0,0,6,,1.0,0.5,2.5,
