名前,年月,チーム,背番号,月,出場数,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
勝野裕士,2010-04,東レアローズ,15,4,3,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,24,17,0,0,,0.0,0.0,,70.8
北島武,2010-04,堺ブレイザーズ,4,4,3,0.0,0.0,21,8,1,38.1,33.3,2,2,0,2,9,0,3,2,31,24,0,10,100.0,2.67,0.67,-2.8,77.4
北川祐介,2010-04,豊田合成トレフェルサ,2,4,3,0.0,0.0,12,6,2,50.0,33.3,0,0,0,0,7,0,0,0,3,3,0,6,,2.0,0.0,0.0,100.0
古田史郎,2010-04,東レアローズ,3,4,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
古賀幸一郎,2010-04,豊田合成トレフェルサ,7,4,2,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,21,13,0,0,,0.0,0.0,,61.9
名田篤史,2010-04,堺ブレイザーズ,9,4,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
坂梨朋彦,2010-04,堺ブレイザーズ,14,4,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
大竹貴久,2010-04,パナソニックパンサーズ,16,4,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
大道大輔,2010-04,堺ブレイザーズ,18,4,3,0.0,0.0,6,4,0,66.7,66.7,0,0,0,0,9,0,0,0,2,1,0,4,,1.33,0.0,0.0,50.0
宇佐美大輔,2010-04,パナソニックパンサーズ,2,4,3,0.0,0.0,0,0,0,,,0,0,0,2,10,0,0,1,0,0,0,2,,0.0,0.67,2.5,
富松崇彰,2010-04,東レアローズ,1,4,3,0.0,0.0,3,2,0,66.7,66.7,0,0,0,3,8,0,2,3,0,0,0,5,,0.67,1.0,3.1,
小糸敬夫,2010-04,パナソニックパンサーズ,14,4,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小西健太,2010-04,パナソニックパンサーズ,10,4,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
山本隆弘,2010-04,パナソニックパンサーズ,5,4,2,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
岡本秀明,2010-04,豊田合成トレフェルサ,13,4,3,0.0,0.0,2,0,0,0.0,0.0,0,0,0,0,3,1,1,0,3,3,0,1,,0.0,0.0,25.0,100.0
川村慎二,2010-04,パナソニックパンサーズ,8,4,3,0.0,0.0,0,0,0,,,0,0,0,0,5,0,1,1,0,0,0,0,,0.0,0.0,0.0,
川浦博昭,2010-04,豊田合成トレフェルサ,9,4,1,0.0,0.0,1,1,0,100.0,100.0,0,0,0,0,3,0,0,0,0,0,0,1,,1.0,0.0,0.0,
木内学,2010-04,堺ブレイザーズ,10,4,3,0.0,0.0,0,0,0,,,0,0,0,0,3,0,0,0,0,0,0,0,,0.0,0.0,0.0,
松本慶彦,2010-04,堺ブレイザーズ,1,4,3,0.0,0.0,7,2,2,28.6,0.0,0,0,0,1,6,0,1,3,0,0,0,3,,0.67,0.33,8.3,
枩田優介,2010-04,パナソニックパンサーズ,13,4,3,0.0,0.0,6,3,0,50.0,50.0,0,0,0,0,14,2,0,3,0,0,0,5,,1.0,0.0,19.6,
森佑之,2010-04,豊田合成トレフェルサ,11,4,1,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,9,6,0,0,,0.0,0.0,,66.7
森田亜貴斗,2010-04,パナソニックパンサーズ,12,4,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
横田一義,2010-04,堺ブレイザーズ,12,4,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
永野健,2010-04,パナソニックパンサーズ,17,4,3,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,15,12,0,0,,0.0,0.0,,80.0
河雲栄樹,2010-04,東レアローズ,19,4,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
清水邦広,2010-04,パナソニックパンサーズ,1,4,3,0.0,0.0,26,14,4,53.8,38.5,14,8,1,2,13,0,3,4,1,1,0,16,57.1,4.67,0.67,1.9,100.0
白澤健児,2010-04,パナソニックパンサーズ,6,4,3,0.0,0.0,8,3,1,37.5,25.0,0,0,0,4,5,0,0,1,0,0,0,7,,1.0,1.33,5.0,
盛重龍,2010-04,豊田合成トレフェルサ,1,4,2,0.0,0.0,4,3,0,75.0,75.0,1,0,0,1,4,1,0,1,7,3,0,5,0.0,1.5,0.5,31.2,42.9
相澤寿,2010-04,東レアローズ,7,4,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
石島雄介,2010-04,堺ブレイザーズ,3,4,3,0.0,0.0,17,6,2,35.3,23.5,4,1,1,2,12,1,2,3,19,12,0,9,25.0,2.0,0.67,10.4,63.2
福島政則,2010-04,豊田合成トレフェルサ,5,4,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
福澤達哉,2010-04,パナソニックパンサーズ,15,4,3,0.0,0.0,21,10,2,47.6,38.1,9,4,2,1,17,0,3,6,21,14,0,11,44.4,3.33,0.33,4.4,66.7
篠田歩,2010-04,東レアローズ,17,4,3,0.0,0.0,9,6,0,66.7,66.7,0,0,0,4,13,1,1,4,0,0,0,11,,2.0,1.33,13.5,
米山裕太,2010-04,東レアローズ,5,4,3,0.0,0.0,19,8,0,42.1,42.1,0,0,0,1,12,0,0,5,7,6,0,9,,2.67,0.33,10.4,85.7
西尾太作,2010-04,堺ブレイザーズ,16,4,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
角田辰徳,2010-04,東レアローズ,16,4,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
谷村孝,2010-04,パナソニックパンサーズ,18,4,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
越谷章,2010-04,東レアローズ,10,4,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
近藤茂,2010-04,東レアローズ,4,4,1,0.0,0.0,0,0,0,,,0,0,0,0,7,0,0,1,0,0,0,0,,0.0,0.0,3.6,
近裕崇,2010-04,豊田合成トレフェルサ,6,4,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
重村健太,2010-04,豊田合成トレフェルサ,3,4,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
金井修也,2010-04,堺ブレイザーズ,8,4,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
鈴木悠二,2010-04,東レアローズ,18,4,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
阿部裕太,2010-04,東レアローズ,9,4,3,0.0,0.0,1,1,0,100.0,100.0,0,0,0,2,8,0,0,0,0,0,0,3,,0.33,0.67,0.0,
高橋和人,2010-04,豊田合成トレフェルサ,15,4,2,0.0,0.0,8,2,2,25.0,0.0,3,1,2,0,3,0,0,1,14,8,0,2,33.3,1.0,0.0,8.3,57.1
高橋幸造,2010-04,豊田合成トレフェルサ,21,4,3,0.0,0.0,1,1,0,100.0,100.0,0,0,0,1,10,0,2,3,0,0,0,2,,0.33,0.33,2.5,
