名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
山口舞,2004-11,シーガルズ,2,26,173,62,12,35.8,28.9,0,0,0,9,112,2,2,27,124,88,0,73,,2.38,0.35,7.4,71.0
山口舞,2004-12,シーガルズ,2,33,234,80,11,34.2,29.5,1,1,0,10,133,2,4,30,161,107,0,92,100.0,2.42,0.3,6.4,66.5
山口舞,2005-01,シーガルズ,2,28,172,62,7,36.0,32.0,2,0,1,12,128,5,2,37,125,75,0,79,0.0,2.21,0.43,10.7,60.0
山口舞,2005-02,シーガルズ,2,18,110,49,4,44.5,40.9,0,0,0,6,74,1,1,16,67,47,0,56,,2.72,0.33,6.4,70.1
山城未沙,2004-11,日立リヴァーレ,10,4,8,3,1,37.5,25.0,0,0,0,0,7,0,2,2,4,2,0,3,,0.75,0.0,0.0,50.0
山城未沙,2004-12,日立リヴァーレ,10,6,32,10,2,31.2,25.0,0,0,0,1,10,0,0,3,5,3,0,11,,1.67,0.17,7.5,60.0
山城未沙,2005-01,日立リヴァーレ,10,7,17,3,1,17.6,11.8,0,0,0,0,7,0,1,2,8,3,0,3,,0.43,0.0,3.6,37.5
山本愛,2004-11,NECレッドロケッツ,5,35,280,119,17,42.5,36.4,48,19,7,25,123,9,14,32,24,16,0,153,39.6,3.4,0.71,11.0,66.7
山本愛,2004-12,NECレッドロケッツ,5,21,154,52,14,33.8,24.7,24,6,9,14,77,3,8,21,22,16,0,69,25.0,2.48,0.67,8.1,72.7
山本愛,2005-01,NECレッドロケッツ,5,19,114,55,5,48.2,43.9,12,5,2,14,74,6,7,28,22,8,0,75,41.7,2.89,0.74,15.2,36.4
山本愛,2005-02,NECレッドロケッツ,5,30,172,65,21,37.8,25.6,21,6,6,23,122,6,18,38,12,7,0,94,28.6,2.17,0.77,9.0,58.3
岡野弘子,2004-11,シーガルズ,15,25,11,2,0,18.2,18.2,0,0,0,5,81,3,2,19,0,0,0,10,,0.08,0.2,9.0,
岡野弘子,2004-12,シーガルズ,15,32,8,6,0,75.0,75.0,0,0,0,1,70,1,5,20,0,0,0,8,,0.19,0.03,6.8,
岡野弘子,2005-01,シーガルズ,15,28,12,5,1,41.7,33.3,0,0,0,2,80,4,2,27,0,0,0,11,,0.18,0.07,12.8,
岡野弘子,2005-02,シーガルズ,15,18,8,4,0,50.0,50.0,1,0,0,4,49,0,1,10,0,0,0,8,0.0,0.22,0.22,4.6,
岡野知子,2004-11,デンソーエアリービーズ,14,37,350,107,22,30.6,24.3,3,1,0,10,118,4,5,33,198,134,0,121,33.3,2.89,0.27,9.3,67.7
岡野知子,2004-12,デンソーエアリービーズ,14,20,196,76,9,38.8,34.2,3,1,0,4,72,1,2,21,127,89,0,81,33.3,3.8,0.2,8.0,70.1
岡野知子,2005-01,デンソーエアリービーズ,14,34,330,106,19,32.1,26.4,3,0,0,12,129,4,2,36,272,192,0,122,0.0,3.12,0.35,9.7,70.6
岡野知子,2005-02,デンソーエアリービーズ,14,19,173,54,5,31.2,28.3,1,0,0,5,60,2,3,12,170,114,0,61,0.0,2.84,0.26,7.1,67.1
島崎みゆき,2004-11,パイオニアレッドウィングス,6,29,71,26,7,36.6,26.8,0,0,0,16,102,6,4,19,62,37,0,48,,0.9,0.55,9.6,59.7
島崎みゆき,2004-12,パイオニアレッドウィングス,6,19,27,9,2,33.3,25.9,0,0,0,4,22,1,0,5,26,14,0,14,,0.47,0.21,10.2,53.8
島崎みゆき,2005-01,パイオニアレッドウィングス,6,13,3,2,0,66.7,66.7,0,0,0,2,1,0,0,1,0,0,0,4,,0.15,0.15,25.0,
島崎みゆき,2005-02,パイオニアレッドウィングス,6,13,15,5,1,33.3,26.7,0,0,0,1,18,0,0,7,8,7,0,6,,0.38,0.08,9.7,87.5
川井梅香,2004-11,シーガルズ,25,23,229,73,8,31.9,28.4,0,0,0,9,69,1,2,12,83,52,0,83,,3.17,0.39,5.1,62.7
川井梅香,2004-12,シーガルズ,25,29,306,92,3,30.1,29.1,3,1,0,12,108,2,4,16,86,49,0,106,33.3,3.17,0.41,4.6,57.0
川井梅香,2005-01,シーガルズ,25,28,232,68,4,29.3,27.6,3,0,0,2,90,2,2,12,87,47,0,72,0.0,2.43,0.07,5.0,54.0
川井梅香,2005-02,シーガルズ,25,11,86,22,4,25.6,20.9,0,0,0,2,44,2,0,4,28,19,0,26,,2.0,0.18,6.8,67.9
平下亜矢,2004-12,久光製薬スプリングス,9,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
平山恵,2004-12,JTマーヴェラス,15,8,0,0,0,,,0,0,0,0,0,0,0,0,15,13,0,0,,0.0,0.0,,86.7
平山恵,2005-01,JTマーヴェラス,15,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
庄司夕起,2004-11,パイオニアレッドウィングス,4,8,10,3,1,30.0,20.0,0,0,0,5,16,0,2,2,0,0,0,8,,0.38,0.62,0.0,
庄司夕起,2004-12,パイオニアレッドウィングス,4,2,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
庄司夕起,2005-01,パイオニアレッドウィングス,4,5,1,1,0,100.0,100.0,0,0,0,0,7,1,1,1,0,0,0,2,,0.2,0.0,14.3,
庄司夕起,2005-02,パイオニアレッドウィングス,4,1,2,1,0,50.0,50.0,0,0,0,1,1,0,0,0,0,0,0,2,,1.0,1.0,0.0,
後藤恵里,2004-11,武富士バンブー,18,11,43,7,6,16.3,2.3,0,0,0,0,26,3,6,11,6,5,0,10,,0.64,0.0,16.3,83.3
後藤恵里,2004-12,武富士バンブー,18,3,5,3,0,60.0,60.0,0,0,0,0,5,0,1,1,0,0,0,3,,1.0,0.0,0.0,
