名前,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
堀川真理,東レアローズ,7,36,41,10,65,465,175,24,37.6,32.5,91,29,5,17,137,8,24,40,11,5,0,200,31.9,2.69,0.26,8.8,45.5
大保早耶加,PFUブルーキャッツ,15,16,49,2,39,0,0,0,,,0,0,0,0,51,1,7,20,0,0,0,1,,0.0,0.0,8.3,
大升知春,岡山シーガルズ,25,26,51,5,43,301,96,19,31.9,25.6,5,0,4,5,88,0,6,27,130,81,0,101,0.0,2.23,0.12,6.0,62.3
大楠鼓雪,岡山シーガルズ,22,25,45,5,39,105,25,1,23.8,22.9,0,0,0,7,99,5,9,34,58,38,0,37,,0.64,0.18,11.4,65.5
大野果奈,NECレッドロケッツ,5,48,27,15,75,367,149,7,40.6,38.7,0,0,0,27,243,18,32,57,28,21,0,194,,1.99,0.36,10.0,75.0
大野果歩,東レアローズ,8,36,41,10,49,108,32,8,29.6,22.2,1,0,0,24,160,4,15,44,12,9,0,60,0.0,0.65,0.49,7.0,75.0
奥村麻依,JTマーヴェラス,3,45,33,13,78,429,188,8,43.8,42.0,0,0,0,47,195,4,3,64,18,9,0,239,,2.41,0.6,9.9,50.0
宇田沙織,PFUブルーキャッツ,16,19,56,3,67,99,37,6,37.4,31.3,0,0,0,3,149,4,8,55,126,79,0,44,,0.55,0.04,10.6,62.7
宇賀神みずき,岡山シーガルズ,5,19,32,4,20,2,1,0,50.0,50.0,0,0,0,2,18,0,0,3,0,0,0,3,,0.05,0.1,4.2,
安井由香子,トヨタ車体クインシーズ,19,10,15,2,1,0,0,0,,,0,0,0,0,0,0,0,0,1,1,0,0,,0.0,0.0,,100.0
安藤典莉子,JTマーヴェラス,12,37,29,11,6,6,2,0,33.3,33.3,0,0,0,0,2,0,0,1,0,0,0,2,,0.33,0.0,12.5,
宮下遥,岡山シーガルズ,14,26,51,5,76,34,16,0,47.1,47.1,0,0,0,21,313,5,10,125,3,1,0,42,,0.21,0.28,10.8,33.3
家高七央子,NECレッドロケッツ,13,41,21,13,16,41,16,3,39.0,31.7,0,0,0,3,29,1,5,6,1,0,0,20,,1.0,0.19,4.3,0.0
寺井有美,JTマーヴェラス,8,45,33,13,72,231,92,12,39.8,34.6,0,0,0,37,211,4,9,76,5,3,0,133,,1.28,0.51,9.8,60.0
小山綾菜,NECレッドロケッツ,12,48,27,15,6,2,0,0,0.0,0.0,0,0,0,0,8,0,0,2,1,0,0,0,,0.0,0.0,6.2,0.0
小川杏奈,JTマーヴェラス,13,39,29,11,9,23,5,2,21.7,13.0,0,0,0,2,18,0,6,4,0,0,0,7,,0.56,0.22,-2.8,
小幡真子,JTマーヴェラス,15,31,25,9,35,0,0,0,,,0,0,0,0,0,0,0,0,234,169,0,0,,0.0,0.0,,72.2
小池杏菜,日立リヴァーレ,18,51,32,14,25,0,0,0,,,0,0,0,0,0,0,0,0,25,14,0,0,,0.0,0.0,,56.0
小田桃香,トヨタ車体クインシーズ,10,36,43,10,77,387,118,16,30.5,26.4,10,1,0,8,252,5,16,59,516,312,0,131,10.0,1.53,0.1,6.2,60.5
小野寺友香,日立リヴァーレ,2,6,1,2,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
居村杏奈,岡山シーガルズ,12,16,37,3,35,84,38,1,45.2,44.0,0,0,0,4,64,1,1,20,3,2,0,43,,1.09,0.11,9.0,66.7
山上有紀,トヨタ車体クインシーズ,18,3,4,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
山内美咲,NECレッドロケッツ,19,1,3,0,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
山口かなめ,NECレッドロケッツ,4,48,27,15,75,51,28,0,54.9,54.9,0,0,0,11,296,4,14,83,2,0,0,43,,0.37,0.15,7.2,0.0
山口舞,岡山シーガルズ,2,26,51,5,60,264,105,5,39.8,37.9,0,0,0,17,112,0,6,20,1,1,0,122,,1.75,0.28,3.1,100.0
山本美沙,JTマーヴェラス,16,45,33,13,10,1,0,0,0.0,0.0,0,0,0,0,9,1,1,3,0,0,0,1,,0.0,0.0,16.7,
山田真里,トヨタ車体クインシーズ,12,36,43,10,10,2,0,0,0.0,0.0,0,0,0,0,2,0,1,0,7,5,0,0,,0.0,0.0,-12.5,71.4
岩坂名奈,久光製薬スプリングス,4,31,13,9,33,134,63,2,47.0,45.5,0,0,0,32,99,2,8,21,5,3,0,97,,1.91,0.97,5.3,60.0
岩崎紗也加,NECレッドロケッツ,10,48,27,15,29,0,0,0,,,0,0,0,0,0,0,0,0,26,7,0,0,,0.0,0.0,,26.9
峯村沙紀,東レアローズ,4,17,29,4,40,182,53,7,29.1,25.3,5,0,1,4,100,2,7,29,260,173,0,59,0.0,1.32,0.1,7.5,66.5
島村春世,NECレッドロケッツ,7,48,27,15,66,407,168,13,41.3,38.1,2,1,0,16,184,3,17,68,15,9,0,187,50.0,2.55,0.24,8.6,60.0
島畑奈緒子,PFUブルーキャッツ,19,7,22,1,8,3,1,0,33.3,33.3,0,0,0,0,10,0,1,5,0,0,0,1,,0.12,0.0,10.0,
川島亜依美,岡山シーガルズ,28,26,51,5,71,297,108,11,36.4,32.7,0,0,0,24,201,4,20,69,5,3,0,136,,1.52,0.34,8.1,60.0
川畑愛希,岡山シーガルズ,8,25,48,5,30,148,41,6,27.7,23.6,0,0,0,1,44,2,1,13,54,18,0,44,,1.37,0.03,11.4,33.3
平松美有紀,トヨタ車体クインシーズ,5,36,43,10,25,61,23,5,37.7,29.5,0,0,0,7,71,1,8,16,2,2,0,31,,0.92,0.28,4.2,100.0
廣瀬七海,NECレッドロケッツ,18,48,27,15,40,2,1,0,50.0,50.0,1,1,0,0,62,3,7,28,0,0,0,4,100.0,0.02,0.0,13.3,
引地舞,日立リヴァーレ,6,40,26,11,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
志智真梨奈,トヨタ車体クインシーズ,7,23,24,7,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
戸江真奈,久光製薬スプリングス,18,52,30,14,45,0,0,0,,,0,0,0,0,0,0,0,0,5,4,0,0,,0.0,0.0,,80.0
斎田杏,日立リヴァーレ,17,51,32,14,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
新井祐喜子,PFUブルーキャッツ,18,19,44,3,36,0,0,0,,,0,0,0,0,0,0,0,0,78,49,0,0,,0.0,0.0,,62.8
新鍋理沙,久光製薬スプリングス,3,52,30,14,82,793,284,23,35.8,32.9,16,0,0,26,319,8,32,81,285,198,0,318,0.0,3.46,0.32,6.3,69.5
木村沙織,東レアローズ,2,36,41,10,77,739,226,48,30.6,24.1,23,3,2,27,253,4,25,69,552,402,0,257,13.0,2.94,0.35,5.9,72.8
木村美里,東レアローズ,6,36,41,10,77,0,0,0,,,0,0,0,0,0,0,0,0,524,354,0,0,,0.0,0.0,,67.6
杉原若葉,東レアローズ,11,35,38,10,4,6,2,0,33.3,33.3,0,0,0,1,5,0,2,0,0,0,0,3,,0.5,0.25,-10.0,
村上華澄,PFUブルーキャッツ,6,17,44,3,13,23,8,1,34.8,30.4,0,0,0,1,26,1,2,5,3,0,0,10,,0.62,0.08,6.7,0.0
村永奈央,トヨタ車体クインシーズ,13,36,43,10,45,240,75,9,31.2,27.5,16,1,1,3,95,2,5,16,227,113,0,80,6.2,1.67,0.07,5.0,49.8
東原枝里,日立リヴァーレ,16,6,4,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
松浦寛子,PFUブルーキャッツ,9,19,56,3,73,14,6,1,42.9,35.7,0,0,0,19,237,2,12,56,3,1,0,27,,0.08,0.26,5.5,33.3
林日向子,岡山シーガルズ,17,12,29,2,18,66,19,3,28.8,24.2,4,0,0,4,25,0,3,7,28,15,0,23,0.0,1.06,0.22,4.0,53.6
林有紀奈,東レアローズ,13,21,15,6,3,4,1,0,25.0,25.0,0,0,0,0,7,0,1,0,0,0,0,1,,0.33,0.0,-3.6,
柳田光綺,NECレッドロケッツ,15,48,27,15,69,521,179,22,34.4,30.1,91,24,11,13,203,17,21,93,8,7,0,209,26.4,2.59,0.19,17.2,87.5
柴田真果,JTマーヴェラス,19,6,4,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
栄絵里香,久光製薬スプリングス,11,52,30,14,19,0,0,0,,,0,0,0,0,30,1,2,5,0,0,0,1,,0.0,0.0,5.8,
栗原恵,日立リヴァーレ,11,16,14,4,19,165,48,10,29.1,23.0,14,3,0,3,65,5,3,22,8,4,0,56,21.4,2.53,0.16,15.0,50.0
森田夕貴,岡山シーガルズ,19,20,39,4,47,0,0,0,,,0,0,0,0,0,0,0,0,104,56,0,0,,0.0,0.0,,53.8
森谷史佳,久光製薬スプリングス,14,32,16,9,23,0,0,0,,,0,0,0,0,33,1,4,12,0,0,0,1,,0.0,0.0,9.1,
楢崎慈恵,岡山シーガルズ,27,8,19,1,15,0,0,0,,,0,0,0,0,6,0,0,2,17,12,0,0,,0.0,0.0,8.3,70.6
榊原美沙都,トヨタ車体クインシーズ,8,36,43,10,79,0,0,0,,,0,0,0,0,0,0,0,0,423,292,0,0,,0.0,0.0,,69.0
槇田莉乃,PFUブルーキャッツ,20,10,16,2,2,0,0,0,,,0,0,0,0,5,0,1,2,0,0,0,0,,0.0,0.0,5.0,
橘井友香,JTマーヴェラス,14,45,33,13,23,29,9,2,31.0,24.1,0,0,0,0,21,0,3,8,60,29,0,9,,0.39,0.0,6.0,48.3
正里菜,NECレッドロケッツ,9,35,21,11,15,2,1,0,50.0,50.0,0,0,0,0,5,0,1,3,0,0,0,1,,0.07,0.0,10.0,
比金桃子,トヨタ車体クインシーズ,4,36,43,10,78,25,10,0,40.0,40.0,0,0,0,2,298,1,15,75,3,0,0,13,,0.13,0.03,5.4,0.0
水田祐未,久光製薬スプリングス,5,52,30,14,49,162,63,4,38.9,36.4,0,0,0,16,142,2,8,24,6,3,0,81,,1.29,0.33,4.2,50.0
江畑幸子,PFUブルーキャッツ,5,19,53,3,71,838,271,69,32.3,24.1,126,38,13,21,212,6,23,60,1,1,0,298,30.2,3.82,0.3,7.2,100.0
泉夏子,岡山シーガルズ,55,26,51,5,70,470,176,21,37.4,33.0,29,3,1,9,253,12,28,79,237,148,0,197,10.3,2.51,0.13,9.8,62.4
清水まどか,PFUブルーキャッツ,14,1,6,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
清水眞衣,PFUブルーキャッツ,12,19,56,3,70,211,78,15,37.0,29.9,0,0,0,11,159,0,4,34,12,10,0,89,,1.11,0.16,4.7,83.3
渡邊久惠,日立リヴァーレ,9,43,26,12,63,880,325,47,36.9,31.6,165,50,20,5,228,13,27,72,3,1,0,343,30.3,5.16,0.08,10.6,33.3
渡邊真恵,岡山シーガルズ,6,5,9,1,10,54,16,5,29.6,20.4,1,0,1,2,20,0,1,5,4,3,0,18,0.0,1.6,0.2,5.0,75.0
狩野舞子,PFUブルーキャッツ,7,16,50,3,57,166,49,9,29.5,24.1,5,0,1,5,123,6,14,49,163,106,0,60,0.0,0.86,0.09,12.0,65.0
田中瑞稀,JTマーヴェラス,11,45,33,13,77,814,287,27,35.3,31.9,106,39,5,13,265,10,25,88,255,145,0,310,36.8,3.73,0.17,9.7,56.9
田中美咲,JTマーヴェラス,7,45,33,13,78,34,14,1,41.2,38.2,1,1,0,9,301,6,22,93,4,0,0,29,100.0,0.18,0.12,7.9,0.0
田代佳奈美,東レアローズ,5,36,41,10,77,31,20,0,64.5,64.5,0,0,0,16,246,5,22,65,1,0,0,41,,0.26,0.21,6.4,0.0
白井美沙紀,東レアローズ,14,17,29,4,35,1,1,0,100.0,100.0,0,0,0,0,48,2,8,12,0,0,0,3,,0.03,0.0,6.2,
石井優希,久光製薬スプリングス,6,52,30,14,78,731,241,33,33.0,28.5,28,6,6,17,323,10,25,117,743,493,0,268,21.4,3.09,0.22,10.2,66.4
石橋朋美,PFUブルーキャッツ,4,18,53,3,15,2,0,0,0.0,0.0,0,0,0,4,24,1,1,4,0,0,0,5,,0.0,0.27,7.3,
石橋里紗,久光製薬スプリングス,23,46,27,12,26,4,0,1,0.0,-25.0,0,0,0,3,40,0,5,17,0,0,0,3,,0.0,0.12,7.5,
磯部光里,岡山シーガルズ,13,10,10,2,8,18,6,0,33.3,33.3,0,0,0,0,8,0,0,2,2,0,0,6,,0.75,0.0,6.2,0.0
神田さくら,PFUブルーキャッツ,13,2,18,0,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
竹内あか里,トヨタ車体クインシーズ,11,26,31,8,40,53,20,3,37.7,32.1,0,0,0,6,142,4,13,39,5,3,0,30,,0.5,0.15,7.4,60.0
竹田沙希,トヨタ車体クインシーズ,1,36,43,10,6,33,7,1,21.2,18.2,0,0,0,1,23,1,1,4,53,31,0,9,,1.17,0.17,7.6,58.5
筒井さやか,久光製薬スプリングス,20,52,30,14,81,0,0,0,,,0,0,0,0,0,0,0,0,420,296,0,0,,0.0,0.0,,70.5
篠原沙耶香,NECレッドロケッツ,17,22,14,7,9,1,1,0,100.0,100.0,1,1,0,0,1,0,0,0,0,0,0,1,100.0,0.11,0.0,0.0,
細川絢加,トヨタ車体クインシーズ,15,36,43,10,13,2,1,0,50.0,50.0,0,0,0,1,14,2,1,7,0,0,0,4,,0.08,0.08,25.0,
芳賀舞波,日立リヴァーレ,19,51,29,14,70,77,33,2,42.9,40.3,0,0,0,8,145,5,11,63,2,0,0,46,,0.47,0.11,12.4,0.0
荒木絵里香,トヨタ車体クインシーズ,6,36,43,10,79,379,167,29,44.1,36.4,0,0,0,74,279,11,28,86,14,11,0,252,,2.11,0.94,9.1,78.6
谷七海,PFUブルーキャッツ,22,12,34,2,46,0,0,0,,,0,0,0,0,0,0,0,0,238,160,0,0,,0.0,0.0,,67.2
辻彩乃,トヨタ車体クインシーズ,9,36,43,10,28,59,23,7,39.0,27.1,1,0,0,5,82,7,19,23,6,2,0,35,0.0,0.82,0.18,9.8,33.3
近江あかり,NECレッドロケッツ,6,48,27,15,75,563,199,33,35.3,29.5,34,3,5,15,260,4,13,74,309,209,0,218,8.8,2.65,0.2,7.4,67.6
迫田さおり,東レアローズ,3,36,41,10,76,763,276,49,36.2,29.8,139,59,19,31,243,7,6,80,6,2,0,314,42.4,3.63,0.41,10.5,33.3
遠井萌仁,日立リヴァーレ,12,51,32,14,80,569,244,20,42.9,39.4,34,14,1,11,257,4,25,69,563,384,0,259,41.2,3.05,0.14,5.8,68.2
野本梨佳,久光製薬スプリングス,8,52,30,14,70,248,81,14,32.7,27.0,21,6,5,16,60,2,4,17,70,41,0,99,28.6,1.16,0.23,8.8,58.6
野村明日香,東レアローズ,9,36,41,10,57,154,41,10,26.6,20.1,0,0,0,4,121,1,8,41,164,94,0,46,,0.72,0.07,7.6,57.3
金杉由香,JTマーヴェラス,9,22,12,6,11,0,0,0,,,0,0,0,0,15,0,2,9,0,0,0,0,,0.0,0.0,11.7,
金森晴香,久光製薬スプリングス,21,9,6,2,2,0,0,0,,,0,0,0,0,3,0,0,0,0,0,0,0,,0.0,0.0,0.0,
金田修佳,岡山シーガルズ,18,26,51,5,68,669,212,19,31.7,28.8,12,2,0,10,196,3,6,67,391,215,0,225,16.7,3.12,0.15,9.3,55.0
長内美和子,日立リヴァーレ,21,51,32,14,21,100,33,4,33.0,29.0,2,0,0,3,41,1,9,14,16,5,0,37,0.0,1.57,0.14,5.5,31.2
長岡望悠,久光製薬スプリングス,1,46,29,12,71,770,355,41,46.1,40.8,227,90,18,22,245,12,15,86,8,4,0,389,39.6,5.0,0.31,12.1,50.0
間橋香織,日立リヴァーレ,1,48,29,13,8,27,6,1,22.2,18.5,0,0,0,0,4,0,2,2,2,0,0,6,,0.75,0.0,0.0,0.0
高橋千晶,PFUブルーキャッツ,17,19,56,3,36,27,3,3,11.1,0.0,3,0,0,0,40,3,3,11,28,16,0,6,0.0,0.08,0.0,12.5,57.1
高橋昌美,JTマーヴェラス,2,45,33,13,46,0,0,0,,,0,0,0,0,71,1,2,16,0,0,0,1,,0.0,0.0,6.3,
高橋沙織,トヨタ車体クインシーズ,3,36,43,10,61,480,168,30,35.0,28.7,77,24,5,11,154,0,13,38,367,220,0,179,31.2,2.75,0.18,4.1,59.9
高田茉優,岡山シーガルズ,15,3,15,0,10,1,0,0,0.0,0.0,0,0,0,0,3,0,0,1,0,0,0,0,,0.0,0.0,8.3,
高野由里加,岡山シーガルズ,21,7,8,2,5,8,2,0,25.0,25.0,0,0,0,0,12,0,1,6,0,0,0,2,,0.4,0.0,10.4,
鳥越未玖,NECレッドロケッツ,8,48,27,15,75,0,0,0,,,0,0,0,0,0,0,0,0,343,231,0,0,,0.0,0.0,,67.3
