試合日,年月,月,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2017-11-04,2017-11,11,つくばユナイテッドSunGAIA,3,,奥村航,4,■,■,■,■,,16,10,0,0.625,0.625,2.50,0,0,0,-,2,0.50,14,1,4,2,3.6,0,0,0,-
2017-11-04,2017-11,11,つくばユナイテッドSunGAIA,4,,阿部航平,2,,□,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,11,つくばユナイテッドSunGAIA,6,,瀧澤陽紀,2,,,□,■,,8,2,0,0.25,0.25,1.00,1,0,0,0.0,0,-,5,0,3,1,-10.0,7,3,3,64.3
2017-11-04,2017-11,11,つくばユナイテッドSunGAIA,7,,奥田基嗣,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,11,つくばユナイテッドSunGAIA,8,,池田龍之介,4,■,■,■,■,,33,10,3,0.30303030303030304,0.21212121212121213,2.50,6,2,1,33.3,0,-,14,0,1,6,8.9,33,15,7,56.1
2017-11-04,2017-11,11,つくばユナイテッドSunGAIA,9,,小針幸,3,■,■,■,,,21,9,1,0.42857142857142855,0.3809523809523809,3.00,2,0,1,0.0,0,-,10,0,1,3,5.0,19,5,8,47.4
2017-11-04,2017-11,11,つくばユナイテッドSunGAIA,10,,曹海倫,4,■,■,■,■,,26,17,1,0.6538461538461539,0.6153846153846154,4.25,6,3,0,50.0,1,0.25,11,0,3,1,-4.5,0,0,0,-
2017-11-04,2017-11,11,つくばユナイテッドSunGAIA,11,,須藤優,4,■,■,■,■,,0,0,0,,,-,0,0,0,-,2,0.50,12,0,0,2,4.2,0,0,0,-
2017-11-04,2017-11,11,つくばユナイテッドSunGAIA,14,,勝本真太郎,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,11,つくばユナイテッドSunGAIA,15,L,松尾敬介,4,●,●,●,●,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,21,4,8,38.1
2017-11-04,2017-11,11,つくばユナイテッドSunGAIA,16,,柳川大知,4,■,■,■,■,,17,9,0,0.5294117647058824,0.5294117647058824,2.25,0,0,0,-,1,0.25,19,2,3,7,15.8,0,0,0,-
2017-11-04,2017-11,11,つくばユナイテッドSunGAIA,17,,桝谷周呈,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,11,つくばユナイテッドSunGAIA,20,,國府田有矢,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,11,つくばユナイテッドSunGAIA,22,L,米村尊,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-05,2017-11,11,つくばユナイテッドSunGAIA,3,,奥村航,3,■,■,■,,,13,11,0,0.8461538461538461,0.8461538461538461,3.67,0,0,0,-,1,0.33,10,0,1,3,5.0,0,0,0,-
2017-11-05,2017-11,11,つくばユナイテッドSunGAIA,4,,阿部航平,1,,,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-05,2017-11,11,つくばユナイテッドSunGAIA,6,,瀧澤陽紀,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-05,2017-11,11,つくばユナイテッドSunGAIA,7,,奥田基嗣,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-05,2017-11,11,つくばユナイテッドSunGAIA,8,,池田龍之介,3,■,■,■,,,28,12,1,0.42857142857142855,0.3928571428571429,4.00,3,1,0,33.3,1,0.33,10,0,4,2,-5.0,25,13,7,66.0
2017-11-05,2017-11,11,つくばユナイテッドSunGAIA,9,,小針幸,3,■,■,■,,,28,16,2,0.5714285714285714,0.5,5.33,2,1,1,50.0,1,0.33,20,1,0,1,6.2,13,5,2,46.2
2017-11-05,2017-11,11,つくばユナイテッドSunGAIA,10,,曹海倫,3,■,■,■,,,21,10,1,0.4761904761904762,0.42857142857142855,3.33,3,0,1,0.0,0,-,8,0,2,1,-3.1,0,0,0,-
2017-11-05,2017-11,11,つくばユナイテッドSunGAIA,11,,須藤優,3,■,■,■,,,0,0,0,,,-,0,0,0,-,0,-,12,0,0,2,4.2,0,0,0,-
2017-11-05,2017-11,11,つくばユナイテッドSunGAIA,14,,勝本真太郎,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-05,2017-11,11,つくばユナイテッドSunGAIA,15,L,松尾敬介,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,15,11,0,73.3
2017-11-05,2017-11,11,つくばユナイテッドSunGAIA,16,,柳川大知,3,■,■,■,,,8,3,0,0.375,0.375,1.00,0,0,0,-,0,-,13,2,1,3,19.2,4,3,1,87.5
2017-11-05,2017-11,11,つくばユナイテッドSunGAIA,17,,桝谷周呈,1,,,□,,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2017-11-05,2017-11,11,つくばユナイテッドSunGAIA,20,,國府田有矢,2,□,□,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-05,2017-11,11,つくばユナイテッドSunGAIA,22,L,米村尊,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-05,2017-11,11,警視庁フォートファイターズ,1,,小川貴大,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-05,2017-11,11,警視庁フォートファイターズ,4,,加藤啓,3,■,■,■,,,11,3,2,0.2727272727272727,0.09090909090909093,1.00,0,0,0,-,6,2.00,6,0,1,0,-4.2,0,0,0,-
2017-11-05,2017-11,11,警視庁フォートファイターズ,5,,大野隆一,2,■,■,,,,6,2,0,0.3333333333333333,0.3333333333333333,1.00,0,0,0,-,0,-,3,0,0,1,8.3,3,0,1,16.7
2017-11-05,2017-11,11,警視庁フォートファイターズ,6,,松本幸博,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-05,2017-11,11,警視庁フォートファイターズ,8,L,石川俊輔,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,19,8,8,63.2
2017-11-05,2017-11,11,警視庁フォートファイターズ,9,,進藤佑一,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-05,2017-11,11,警視庁フォートファイターズ,11,,冨吉駿平,3,□,□,□,,,0,0,0,,,-,0,0,0,-,0,-,4,0,0,0,0.0,0,0,0,-
2017-11-05,2017-11,11,警視庁フォートファイターズ,12,,小川功太,3,■,■,■,,,16,9,4,0.5625,0.3125,3.00,2,0,2,0.0,1,0.33,11,0,0,2,4.5,21,11,6,66.7
2017-11-05,2017-11,11,警視庁フォートファイターズ,13,,中村航太朗,3,■,■,■,,,33,15,1,0.4545454545454545,0.42424242424242425,5.00,4,2,0,50.0,0,-,11,0,1,2,2.3,22,13,4,68.2
2017-11-05,2017-11,11,警視庁フォートファイターズ,14,,中道元貴,3,■,■,■,,,1,1,0,1.0,1.0,0.33,0,0,0,-,1,0.33,15,2,3,5,16.7,0,0,0,-
2017-11-05,2017-11,11,警視庁フォートファイターズ,15,,河西敦司,3,■,■,■,,,15,6,2,0.4,0.26666666666666666,2.00,7,3,1,42.9,0,-,9,0,2,2,0.0,0,0,0,-
2017-11-05,2017-11,11,警視庁フォートファイターズ,17,,佐藤秀俊,2,□,□,,,,0,0,0,,,-,0,0,0,-,0,-,4,0,0,2,12.5,0,0,0,-
2017-11-05,2017-11,11,警視庁フォートファイターズ,19,L,神谷昴紀,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-05,2017-11,11,警視庁フォートファイターズ,22,,阿部翼,1,,,■,,,3,2,0,0.6666666666666666,0.6666666666666666,2.00,0,0,0,-,1,1.00,2,0,0,0,0.0,0,0,0,-
2017-11-05,2017-11,11,VC長野トライデンツ,1,,市川智之,2,□,,□,,,2,1,0,0.5,0.5,0.50,0,0,0,-,1,0.50,1,0,0,1,25.0,0,0,0,-
2017-11-05,2017-11,11,VC長野トライデンツ,4,,小林哲也,3,■,■,■,,,37,14,1,0.3783783783783784,0.35135135135135137,4.67,10,6,0,60.0,0,-,12,0,2,4,4.2,0,0,0,-
2017-11-05,2017-11,11,VC長野トライデンツ,5,L,峰尾拓,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-05,2017-11,11,VC長野トライデンツ,6,,峯村幸太,3,■,■,■,,,21,9,1,0.42857142857142855,0.3809523809523809,3.00,1,0,0,0.0,0,-,9,0,3,1,-5.6,30,12,8,53.3
2017-11-05,2017-11,11,VC長野トライデンツ,7,,栗木勇,3,■,■,■,,,22,8,1,0.3636363636363637,0.3181818181818182,2.67,2,0,0,0.0,1,0.33,14,0,2,3,1.8,12,4,5,54.2
2017-11-05,2017-11,11,VC長野トライデンツ,8,,田中挙章,3,■,■,■,,,14,5,0,0.35714285714285715,0.35714285714285715,1.67,0,0,0,-,4,1.33,10,0,1,4,7.5,1,0,1,50.0
2017-11-05,2017-11,11,VC長野トライデンツ,11,,片桐成基,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-05,2017-11,11,VC長野トライデンツ,12,L,山本憲吾,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,9,6,1,72.2
2017-11-05,2017-11,11,VC長野トライデンツ,13,,椿芽久,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-05,2017-11,11,VC長野トライデンツ,15,,小河原拓磨,1,□,,,,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2017-11-05,2017-11,11,VC長野トライデンツ,16,,森崎健史,3,■,■,■,,,15,7,1,0.4666666666666667,0.4,2.33,0,0,0,-,2,0.67,13,1,2,2,7.7,0,0,0,-
2017-11-05,2017-11,11,VC長野トライデンツ,17,,松村文斗,1,,,□,,,2,2,0,1.0,1.0,2.00,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-05,2017-11,11,VC長野トライデンツ,24,,長田翼,3,■,■,■,,,0,0,0,,,-,0,0,0,-,0,-,13,0,0,5,9.6,0,0,0,-
