名前,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス,サーブレシーブ成功率,チーム
プレモビッチ,69,29,6,42.0,33.3,7,0,0,0,19,2,7,,FC東京
宮原,0,0,0,,,0,0,0,0,0,0,0,,FC東京
谷口,0,0,0,,,0,0,0,0,2,0,0,,FC東京
小田嶋,2,2,0,100.0,100.0,3,0,0,0,7,0,1,,FC東京
黒田,16,5,3,31.2,12.5,0,8,4,2,2,0,0,62.5,FC東京
米田,0,0,0,,,0,0,0,0,8,0,2,,大分三好ヴァイセアドラー
高松,5,1,0,20.0,20.0,0,4,2,1,7,1,0,62.5,大分三好ヴァイセアドラー
古賀,10,6,1,60.0,50.0,1,0,0,0,4,0,1,,大分三好ヴァイセアドラー
松尾,0,0,0,,,0,10,4,3,0,0,0,55.0,大分三好ヴァイセアドラー
大西,2,1,0,50.0,50.0,0,2,1,1,5,0,0,75.0,大分三好ヴァイセアドラー
井口,0,0,0,,,0,0,0,0,4,0,0,,大分三好ヴァイセアドラー
林,10,3,0,30.0,30.0,1,2,0,0,10,0,2,0.0,大分三好ヴァイセアドラー
濱本,0,0,0,,,0,0,0,0,4,0,2,,大分三好ヴァイセアドラー
山田,10,7,2,70.0,50.0,0,26,12,8,13,2,5,61.5,大分三好ヴァイセアドラー
川口,2,0,0,0.0,0.0,1,0,0,0,11,0,1,,大分三好ヴァイセアドラー
ストックトン,52,23,6,44.2,32.7,2,0,0,0,30,1,5,,大分三好ヴァイセアドラー
藤岡,1,0,0,0.0,0.0,2,0,0,0,8,0,0,,大分三好ヴァイセアドラー
田尻,0,0,0,,,0,0,0,0,0,0,0,,大分三好ヴァイセアドラー
久保田,0,0,0,,,0,13,3,5,0,0,0,42.3,大分三好ヴァイセアドラー
勝,5,2,0,40.0,40.0,1,14,2,5,10,0,2,32.1,大分三好ヴァイセアドラー
バグナス,50,26,4,52.0,44.0,3,30,9,9,21,1,4,45.0,大分三好ヴァイセアドラー
石橋,0,0,0,,,0,0,0,0,0,0,0,,大分三好ヴァイセアドラー
辻口,0,0,0,,,0,0,0,0,0,0,0,,大分三好ヴァイセアドラー
池田(幸),34,11,2,32.4,26.5,4,32,13,9,26,0,5,54.7,VC長野トライデンツ
笠利,28,16,1,57.1,53.6,1,32,16,4,25,0,1,56.2,VC長野トライデンツ
森崎,6,3,1,50.0,33.3,0,2,0,1,11,1,2,25.0,VC長野トライデンツ
戸嵜,56,16,1,28.6,26.8,5,76,36,13,35,1,6,55.9,VC長野トライデンツ
山本,0,0,0,,,0,31,18,6,0,0,0,67.7,VC長野トライデンツ
中村,12,6,0,50.0,50.0,6,0,0,0,18,0,0,,VC長野トライデンツ
河東,0,0,0,,,0,0,0,0,31,1,0,,VC長野トライデンツ
椿,0,0,0,,,0,0,0,0,6,0,0,,VC長野トライデンツ
高澤,0,0,0,,,0,3,3,0,4,0,0,100.0,VC長野トライデンツ
角,0,0,0,,,0,1,0,0,0,0,0,0.0,VC長野トライデンツ
伊藤,2,1,0,50.0,50.0,0,1,0,0,2,0,1,0.0,VC長野トライデンツ
矢貫,13,7,0,53.8,53.8,2,0,0,0,23,0,0,,VC長野トライデンツ
森﨑,0,0,0,,,0,0,0,0,0,0,0,,VC長野トライデンツ
リヴァン,122,58,9,47.5,40.2,5,1,0,1,33,1,6,50.0,VC長野トライデンツ
池田,0,0,0,,,0,0,0,0,0,0,0,,VC長野トライデンツ
波佐間,0,0,0,,,0,0,0,0,11,1,0,,VC長野トライデンツ
池田(颯),1,0,0,0.0,0.0,0,0,0,0,2,0,1,,VC長野トライデンツ
