名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブレシーブ成功率
中村竜輔,2021-01,VC長野トライデンツ,4,15,28,14,1,50.0,46.4,0,0,0,6,45,0,5,4,-0.6,5,4,0,20,,0.93,0.4,80.0
中村竜輔,2021-02,VC長野トライデンツ,4,31,49,20,1,40.8,38.8,0,0,0,14,103,1,9,25,4.9,6,2,0,35,,0.65,0.45,33.3
中村竜輔,2021-03,VC長野トライデンツ,4,14,18,11,0,61.1,61.1,0,0,0,6,37,0,7,6,-0.7,1,1,0,17,,0.79,0.43,100.0
久保山尚,2020-10,ジェイテクトSTINGS,16,18,2,2,0,100.0,100.0,0,0,0,4,48,0,1,5,2.1,1,0,0,6,,0.11,0.22,0.0
久保山尚,2020-11,ジェイテクトSTINGS,16,27,1,1,0,100.0,100.0,0,0,0,8,96,0,4,20,4.2,1,0,0,9,,0.04,0.3,0.0
久保山尚,2020-12,ジェイテクトSTINGS,16,2,0,0,0,,,0,0,0,0,7,0,0,2,7.1,1,0,0,0,,0.0,0.0,0.0
久保山尚,2021-01,ジェイテクトSTINGS,16,22,3,2,0,66.7,66.7,0,0,0,1,64,2,3,9,5.5,1,0,0,5,,0.09,0.05,0.0
久保山尚,2021-02,ジェイテクトSTINGS,16,21,1,1,0,100.0,100.0,0,0,0,3,73,2,3,12,5.8,3,0,0,6,,0.05,0.14,0.0
久保山尚,2021-03,ジェイテクトSTINGS,16,10,1,1,0,100.0,100.0,0,0,0,3,31,0,1,5,3.2,0,0,0,4,,0.1,0.3,
久保田雅人,2020-10,大分三好ヴァイセアドラー,13,12,0,0,0,,,0,0,0,0,0,0,0,0,,81,33,10,0,,0.0,0.0,46.9
久保田雅人,2020-11,大分三好ヴァイセアドラー,13,8,0,0,0,,,0,0,0,0,0,0,0,0,,35,11,13,0,,0.0,0.0,50.0
久保田雅人,2020-12,大分三好ヴァイセアドラー,13,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
久保田雅人,2021-01,大分三好ヴァイセアドラー,13,20,0,0,0,,,0,0,0,0,0,0,0,0,,84,35,22,0,,0.0,0.0,54.8
久保田雅人,2021-02,大分三好ヴァイセアドラー,13,25,0,0,0,,,0,0,0,0,0,0,0,0,,119,45,38,0,,0.0,0.0,53.8
久保田雅人,2021-03,大分三好ヴァイセアドラー,13,13,0,0,0,,,0,0,0,0,0,0,0,0,,53,25,15,0,,0.0,0.0,61.3
久原大輝,2020-10,JTサンダーズ広島,11,2,0,0,0,,,0,0,0,0,2,0,0,2,25.0,0,0,0,0,,0.0,0.0,
久原大輝,2020-11,JTサンダーズ広島,11,11,0,0,0,,,0,0,0,0,16,0,0,2,3.1,1,1,0,0,,0.0,0.0,100.0
久原大輝,2020-12,JTサンダーズ広島,11,3,0,0,0,,,0,0,0,0,3,0,0,1,8.3,5,1,1,0,,0.0,0.0,30.0
久原大輝,2021-01,JTサンダーズ広島,11,3,0,0,0,,,0,0,0,0,4,0,1,1,0.0,0,0,0,0,,0.0,0.0,
久原大輝,2021-02,JTサンダーズ広島,11,5,0,0,0,,,0,0,0,0,6,0,2,1,-4.2,1,1,0,0,,0.0,0.0,100.0
久原大輝,2021-03,JTサンダーズ広島,11,7,0,0,0,,,0,0,0,0,10,0,0,2,5.0,0,0,0,0,,0.0,0.0,
久原翼,2020-10,パナソニックパンサーズ,7,18,104,56,3,53.8,51.0,7,4,0,8,74,3,3,17,8.8,88,33,25,67,57.1,3.11,0.44,51.7
久原翼,2020-11,パナソニックパンサーズ,7,17,77,30,11,39.0,24.7,7,5,1,3,45,3,4,18,14.4,79,33,19,36,71.4,1.76,0.18,53.8
久原翼,2020-12,パナソニックパンサーズ,7,7,37,20,1,54.1,51.4,4,3,0,5,26,0,2,8,5.8,48,22,15,25,75.0,2.86,0.71,61.5
久原翼,2021-01,パナソニックパンサーズ,7,22,101,59,6,58.4,52.5,10,6,0,4,70,2,6,20,7.9,129,51,45,65,60.0,2.68,0.18,57.0
久原翼,2021-02,パナソニックパンサーズ,7,24,118,59,11,50.0,40.7,14,9,2,6,87,1,7,32,8.3,135,50,44,66,64.3,2.46,0.25,53.3
