名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率,総得点
八子大輔,JTサンダーズ広島,7,18,61,32,6,52.5,42.6,14,6,3,0,30,1,6,4,0,0,0,42.9,1.78,0.0,1.7,,33
出耒田敬,堺ブレイザーズ,7,44,134,78,5,58.2,54.5,0,0,0,26,114,3,39,24,4,0,2,,1.77,0.59,-0.7,25.0,107
前田一誠,ウルフドッグス名古屋,5,41,11,4,0,36.4,36.4,0,0,0,12,171,1,8,36,3,0,0,,0.1,0.29,4.7,0.0,17
加藤久典,サントリーサンバーズ,14,11,10,4,0,40.0,40.0,0,0,0,3,25,0,3,5,0,0,0,,0.36,0.27,2.0,,7
勝将哉,大分三好ヴァイセアドラー,4,14,71,34,5,47.9,40.8,8,3,0,3,40,1,5,4,88,24,27,37.5,2.43,0.21,1.9,42.6,38
勝岡将斗,ウルフドッグス名古屋,23,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,0
千々木駿介,堺ブレイザーズ,10,33,105,43,4,41.0,37.1,30,15,2,7,54,1,10,16,53,17,9,50.0,1.3,0.21,4.6,40.6,51
古賀健太,大分三好ヴァイセアドラー,18,29,72,29,11,40.3,25.0,25,14,5,3,19,1,7,4,0,0,0,56.0,1.0,0.1,1.3,,33
古賀太一郎,FC東京,10,41,0,0,0,,,0,0,0,0,0,0,0,0,194,99,54,,0.0,0.0,,64.9,0
合田心平,JTサンダーズ広島,12,15,2,0,0,0.0,0.0,0,0,0,0,13,0,0,2,0,0,0,,0.0,0.0,3.8,,0
唐川大志,JTサンダーズ広島,15,45,0,0,0,,,0,0,0,0,0,0,0,0,198,96,44,,0.0,0.0,,59.6,0
喜入祥充,サントリーサンバーズ,15,8,0,0,0,,,0,0,0,0,11,1,3,2,0,0,0,,0.0,0.0,6.8,,1
堀江友裕,堺ブレイザーズ,5,6,0,0,0,,,0,0,0,0,0,0,0,0,3,1,0,,0.0,0.0,,33.3,0
塩田達也,サントリーサンバーズ,12,48,107,58,4,54.2,50.5,0,0,0,13,134,3,29,27,24,11,8,,1.21,0.27,1.9,62.5,74
大宅真樹,サントリーサンバーズ,9,37,10,5,0,50.0,50.0,0,0,0,7,141,6,31,34,1,0,0,,0.14,0.19,4.8,0.0,18
大竹壱青,パナソニックパンサーズ,4,14,46,23,1,50.0,47.8,12,3,0,1,17,1,4,5,0,0,0,25.0,1.64,0.07,7.4,,25
大西基之,大分三好ヴァイセアドラー,5,7,13,5,2,38.5,23.1,0,0,0,2,13,0,0,1,1,0,0,,0.71,0.29,1.9,0.0,7
季道帥,サントリーサンバーズ,6,4,0,0,0,,,0,0,0,0,5,0,2,1,0,0,0,,0.0,0.0,-5.0,,0
