名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率
位田愛,KUROBEアクアフェアリーズ,9,0,26,8,0,30.8,30.8,0,0,0,7,207,3,8,74,5,1,0,,inf,inf,9.4
佐々木侑,三洋電機レッドソア,3,40,389,133,32,34.2,26.0,61,15,10,15,136,2,8,38,39,24,0,24.6,3.3,0.4,7.0
佐々木夏希,PFUブルーキャッツ,6,29,129,42,11,32.6,24.0,17,7,2,2,43,0,3,17,29,20,0,41.2,1.4,0.1,8.1
佐々木萌,三洋電機レッドソア,6,42,328,122,21,37.2,30.8,39,15,5,8,147,5,8,36,251,172,0,38.5,2.9,0.2,8.2
佐藤みなみ,Befcoビービースターズ,8,61,0,0,0,,,0,0,0,0,0,0,0,0,293,215,0,,0.0,0.0,
佐藤奈美,PFUブルーキャッツ,11,63,299,141,11,47.2,43.5,0,0,0,34,199,7,14,63,7,6,0,,2.2,0.5,9.7
佐藤理栄子,柏エンゼルクロス,12,8,21,5,0,23.8,23.8,0,0,0,0,13,1,3,0,17,9,0,,0.6,0.0,1.9
佐藤由香,柏エンゼルクロス,18,68,488,201,22,41.2,36.7,8,3,1,38,165,3,12,53,191,107,0,37.5,3.0,0.6,8.0
佐藤瞳,日立リヴァーレ,8,1,1,0,0,0.0,0.0,0,0,0,0,2,1,0,0,0,0,0,,0.0,0.0,50.0
内原実栄子,四国Eighty8Queen,4,17,19,3,1,15.8,10.5,0,0,0,1,12,0,0,3,26,13,0,,0.2,0.1,6.2
内田役子,日立リヴァーレ,10,32,17,8,0,47.1,47.1,0,0,0,4,81,4,13,19,0,0,0,,0.2,0.1,6.8
北上夏希,三洋電機レッドソア,10,2,0,0,0,,,0,0,0,0,2,0,0,0,2,1,0,,0.0,0.0,0.0
南早希,埼玉上尾メディックス,3,26,9,5,0,55.6,55.6,0,0,0,1,47,3,4,16,0,0,0,,0.2,0.0,12.8
原田砂代子,埼玉上尾メディックス,18,16,81,31,6,38.3,30.9,11,4,1,0,24,2,4,8,0,0,0,36.4,1.9,0.0,12.5
古賀香澄,埼玉上尾メディックス,22,3,10,4,1,40.0,30.0,0,0,0,0,2,0,0,1,0,0,0,,1.3,0.0,12.5
吉安遥,大野石油広島オイラーズ,15,74,611,244,64,39.9,29.5,1,0,0,4,202,3,14,49,534,412,0,0.0,3.3,0.1,5.8
吉川ひかる,KUROBEアクアフェアリーズ,13,25,35,13,3,37.1,28.6,5,1,1,0,38,0,5,14,18,8,0,20.0,0.5,0.0,5.9
吉田あい,日立リヴァーレ,3,30,0,0,0,,,0,0,0,0,0,0,0,0,20,8,0,,0.0,0.0,
和多桃子,フォレストリーヴズ熊本,13,66,16,4,1,25.0,18.8,0,0,0,0,196,2,14,47,6,0,0,,0.1,0.0,5.2
土田望未,埼玉上尾メディックス,13,61,7,3,1,42.9,28.6,0,0,0,3,259,8,16,91,0,0,0,,0.0,0.0,10.3
城奈津希,フォレストリーヴズ熊本,12,14,0,0,0,,,0,0,0,0,0,0,0,0,11,7,0,,0.0,0.0,
大久保梨紗,PFUブルーキャッツ,3,64,469,205,23,43.7,38.8,22,3,2,28,221,2,5,62,226,135,0,13.6,3.2,0.4,7.4
大場知英,GSS東京サンビームズ,3,54,0,0,0,,,0,0,0,0,59,2,6,15,125,65,0,,0.0,0.0,7.2
大熊亜希,フォレストリーヴズ熊本,1,38,231,84,16,36.4,29.4,0,0,0,11,109,6,17,31,1,1,0,,2.2,0.3,8.7
大田美恵子,GSS東京サンビームズ,17,11,1,1,0,100.0,100.0,0,0,0,0,13,0,0,3,0,0,0,,0.1,0.0,5.8
大須賀咲香,四国Eighty8Queen,13,66,606,204,38,33.7,27.4,0,0,0,9,223,4,27,63,369,269,0,,3.1,0.1,5.8
安藤典莉子,埼玉上尾メディックス,12,39,133,65,7,48.9,43.6,0,0,0,16,96,3,6,18,1,1,0,,1.7,0.4,6.2
寺沢美香,三洋電機レッドソア,9,65,220,87,21,39.5,30.0,0,0,0,55,224,12,29,81,20,12,0,,1.3,0.8,11.2
小原真美,大野石油広島オイラーズ,7,55,229,83,5,36.2,34.1,1,0,0,25,133,13,21,45,3,2,0,0.0,1.5,0.5,14.3
小受加代子,大野石油広島オイラーズ,2,12,77,19,6,24.7,16.9,2,0,0,0,19,0,5,8,59,25,0,0.0,1.6,0.0,3.9
小岩美麻,GSS東京サンビームズ,18,30,111,38,9,34.2,26.1,1,0,0,1,84,2,9,18,4,0,0,0.0,1.3,0.0,5.1
小島愛実,KUROBEアクアフェアリーズ,14,68,0,0,0,,,0,0,0,0,0,0,0,0,320,226,0,,0.0,0.0,
小酒翔子,PFUブルーキャッツ,10,68,0,0,0,,,0,0,0,0,0,0,0,0,308,242,0,,0.0,0.0,
山下みなみ,GSS東京サンビームズ,12,33,158,53,7,33.5,29.1,0,0,0,11,80,0,4,16,1,0,0,,1.6,0.3,3.8
山口いよな,フォレストリーヴズ熊本,6,8,36,11,2,30.6,25.0,0,0,0,0,13,0,0,2,0,0,0,,1.4,0.0,3.8
山口尚美,フォレストリーヴズ熊本,2,66,473,155,26,32.8,27.3,0,0,0,16,240,5,9,61,4,1,0,,2.3,0.2,7.5
山口弥緒,GSS東京サンビームズ,10,35,124,42,7,33.9,28.2,6,1,0,0,60,1,4,20,71,40,0,16.7,1.2,0.0,8.3
山口有香,フォレストリーヴズ熊本,10,15,1,0,0,0.0,0.0,0,0,0,0,3,0,0,1,1,0,0,,0.0,0.0,8.3
山城未沙,柏エンゼルクロス,10,67,642,210,27,32.7,28.5,24,3,5,39,221,7,11,61,367,223,0,12.5,3.1,0.6,8.8
山崎望,Befcoビービースターズ,10,61,620,214,53,34.5,26.0,38,8,10,20,201,14,36,62,442,280,0,21.1,3.5,0.3,10.2
山本友里恵,埼玉上尾メディックス,10,49,167,85,9,50.9,45.5,0,0,0,18,141,2,11,29,1,0,0,,1.7,0.4,4.6
山本摩理,Befcoビービースターズ,9,61,531,161,50,30.3,20.9,0,0,0,25,133,4,12,41,279,170,0,,2.6,0.4,8.5
山田友香,三洋電機レッドソア,5,8,29,13,3,44.8,34.5,0,0,0,1,11,1,1,3,17,9,0,,1.6,0.1,13.6
岡村貴衣,柏エンゼルクロス,3,4,0,0,0,,,0,0,0,0,5,1,2,1,0,0,0,,0.0,0.0,15.0
岩本理恵,GSS東京サンビームズ,8,36,129,28,6,21.7,17.1,9,1,0,0,80,2,9,19,172,84,0,11.1,0.8,0.0,5.6
岩永麻里江,PFUブルーキャッツ,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
嶋村菜都美,三洋電機レッドソア,18,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0
川上真央,PFUブルーキャッツ,15,26,176,61,9,34.7,29.5,25,9,4,6,57,0,1,21,45,24,0,36.0,2.3,0.2,8.8
川原愛璃,日立リヴァーレ,7,47,2,1,0,50.0,50.0,0,0,0,0,79,2,8,21,1,1,0,,0.0,0.0,6.6
市川美波,柏エンゼルクロス,8,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
平井桃子,埼玉上尾メディックス,14,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
平川実愛,大野石油広島オイラーズ,13,9,49,8,3,16.3,10.2,0,0,0,1,13,1,3,6,0,0,0,,0.9,0.1,13.5
庄司夕起,埼玉上尾メディックス,4,59,340,156,12,45.9,42.4,0,0,0,38,135,6,11,44,3,2,0,,2.6,0.6,10.6
徳川恵理,三洋電機レッドソア,7,47,220,86,8,39.1,35.5,0,0,0,30,138,1,8,39,0,0,0,,1.8,0.6,6.3
戸崎琴美,日立リヴァーレ,2,28,66,29,5,43.9,36.4,0,0,0,18,78,7,8,15,1,0,0,,1.0,0.6,11.2
新城友美,三洋電機レッドソア,17,16,41,16,5,39.0,26.8,0,0,0,1,52,2,6,19,1,1,0,,1.0,0.1,10.1
星亜矢子,三洋電機レッドソア,12,11,3,2,0,66.7,66.7,1,0,0,1,15,0,0,3,1,0,0,0.0,0.2,0.1,5.0
春川裕美,大野石油広島オイラーズ,8,75,394,140,19,35.5,30.7,0,0,0,21,260,13,30,68,11,7,0,,1.9,0.3,8.7
服部安佑香,埼玉上尾メディックス,5,63,78,33,3,42.3,38.5,9,4,0,7,120,5,4,30,90,69,0,44.4,0.5,0.1,9.6
服部晃佳,健祥会レッドハーツ,8,70,674,224,30,33.2,28.8,0,0,0,16,262,6,33,64,469,273,0,,3.2,0.2,5.2
木村亜沙美,フォレストリーヴズ熊本,4,66,872,339,49,38.9,33.3,1,1,0,18,201,10,14,57,3,2,0,100.0,5.1,0.3,10.3
木村有希,三洋電機レッドソア,1,66,444,179,17,40.3,36.5,6,2,0,28,243,9,13,71,505,327,0,33.3,2.7,0.4,9.7
木村沙織,四国Eighty8Queen,15,66,0,0,0,,,0,0,0,0,0,0,0,0,418,248,0,,0.0,0.0,
村上菜央,KUROBEアクアフェアリーズ,11,57,323,122,26,37.8,29.7,3,0,2,31,157,8,18,54,11,3,0,0.0,2.1,0.5,10.8
村木満由子,GSS東京サンビームズ,7,12,0,0,0,,,0,0,0,0,0,0,0,0,76,48,0,,0.0,0.0,
東山由香,PFUブルーキャッツ,7,42,20,5,1,25.0,20.0,1,1,0,3,177,9,10,56,1,0,0,100.0,0.1,0.1,11.6
松下琴美,PFUブルーキャッツ,9,68,309,130,12,42.1,38.2,4,0,2,50,216,4,12,50,9,5,0,0.0,1.9,0.7,6.2
松井友美,大野石油広島オイラーズ,6,15,0,0,0,,,0,0,0,0,21,1,0,3,0,0,0,,0.0,0.0,8.3
松山美華,GSS東京サンビームズ,5,8,38,8,1,21.1,18.4,1,1,0,0,13,0,3,6,41,29,0,100.0,1.0,0.0,5.8
松崎渉,Befcoビービースターズ,11,6,2,0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0
松本朋恵,日立リヴァーレ,16,2,4,2,1,50.0,25.0,0,0,0,0,4,0,0,1,0,0,0,,1.0,0.0,6.2
松本茜,大野石油広島オイラーズ,14,18,128,36,5,28.1,24.2,0,0,0,1,28,1,3,7,26,8,0,,2.0,0.1,7.1
松永真果,PFUブルーキャッツ,2,15,19,4,1,21.1,15.8,0,0,0,1,34,3,1,8,0,0,0,,0.3,0.1,14.0
松浦未波,KUROBEアクアフェアリーズ,8,17,0,0,0,,,0,0,0,0,29,1,3,10,8,6,0,,0.0,0.0,9.5
松田亜也,フォレストリーヴズ熊本,9,35,150,37,21,24.7,10.7,1,0,0,0,130,5,8,46,219,146,0,0.0,1.1,0.0,11.2
松田直子,健祥会レッドハーツ,11,70,0,0,0,,,0,0,0,0,0,0,0,0,413,284,0,,0.0,0.0,
松野由香,三洋電機レッドソア,16,71,43,20,1,46.5,44.2,0,0,0,7,269,7,8,77,2,0,0,,0.3,0.1,9.0
林蓉子,三洋電機レッドソア,14,50,0,0,0,,,0,0,0,0,21,0,2,6,74,54,0,,0.0,0.0,4.8
栗田琴恵,Befcoビービースターズ,7,60,82,26,6,31.7,24.4,1,0,0,15,177,3,4,36,11,3,0,0.0,0.4,0.2,6.2
桑実磨里,大野石油広島オイラーズ,1,75,65,32,0,49.2,49.2,2,1,0,3,281,5,5,72,5,0,0,50.0,0.4,0.0,7.7
梅野早也佳,フォレストリーヴズ熊本,7,40,189,57,10,30.2,24.9,1,0,0,4,103,8,13,31,18,12,0,0.0,1.4,0.1,12.1
森田亜衣,大野石油広島オイラーズ,9,74,515,189,28,36.7,31.3,2,1,0,18,209,4,8,63,456,295,0,50.0,2.6,0.2,8.5
榛澤舞子,埼玉上尾メディックス,11,10,48,24,2,50.0,45.8,1,0,0,3,33,2,0,11,18,13,0,0.0,2.4,0.3,14.4
横山雅美,日立リヴァーレ,14,49,31,15,1,48.4,45.2,0,0,0,13,135,2,15,21,1,0,0,,0.3,0.3,2.6
横江千秋,三洋電機レッドソア,15,71,0,0,0,,,0,0,0,0,0,0,0,0,431,326,0,,0.0,0.0,
樽谷真由美,日立リヴァーレ,1,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,
武笠麻衣子,PFUブルーキャッツ,13,38,18,7,0,38.9,38.9,0,0,0,4,103,1,6,26,0,0,0,,0.2,0.1,5.8
永溝友美子,フォレストリーヴズ熊本,11,30,0,0,0,,,0,0,0,0,44,2,7,13,0,0,0,,0.0,0.0,8.0
江森圭美,柏エンゼルクロス,7,68,668,224,55,33.5,25.3,15,5,3,12,329,31,22,100,379,273,0,33.3,3.3,0.2,15.3
江畑幸子,日立リヴァーレ,4,62,737,344,46,46.7,40.4,211,85,23,18,255,8,26,93,2,1,0,40.3,5.5,0.3,9.7
清水亜寿里,PFUブルーキャッツ,14,65,534,179,23,33.5,29.2,10,1,3,17,249,8,18,56,202,147,0,10.0,2.8,0.3,7.0
渡辺佑梨子,Befcoビービースターズ,6,37,210,59,19,28.1,19.0,0,0,0,6,98,4,5,28,66,43,0,,1.6,0.2,9.9
渡邊彩,三洋電機レッドソア,2,48,167,58,9,34.7,29.3,2,0,0,12,128,2,5,40,43,23,0,0.0,1.2,0.2,8.4
渡邊沙織,PFUブルーキャッツ,18,1,0,0,0,,,0,0,0,0,2,0,0,1,0,0,0,,0.0,0.0,12.5
渡邊美菜,柏エンゼルクロス,5,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
滝沢ななえ,埼玉上尾メディックス,7,41,0,0,0,,,0,0,0,0,61,1,0,16,51,36,0,,0.0,0.0,8.2
滝沢ひとみ,健祥会レッドハーツ,15,10,0,0,0,,,0,0,0,0,16,1,3,5,2,1,0,,0.0,0.0,9.4
澤畠文子,埼玉上尾メディックス,9,68,665,263,34,39.5,34.4,99,25,11,41,249,22,15,60,348,234,0,25.3,3.9,0.6,13.4
瀧本鈴絵,大野石油広島オイラーズ,5,49,173,58,7,33.5,29.5,0,0,0,20,102,5,10,17,0,0,0,,1.2,0.4,6.6
王亜辰,四国Eighty8Queen,14,66,687,281,39,40.9,35.2,9,2,1,30,151,3,12,39,3,1,0,22.2,4.3,0.5,6.5
田中弓貴,KUROBEアクアフェアリーズ,7,67,264,87,14,33.0,27.7,0,0,0,9,222,5,18,63,336,240,0,,1.3,0.1,7.3
田中涼子,大野石油広島オイラーズ,4,2,10,2,1,20.0,10.0,0,0,0,0,4,0,0,3,5,3,0,,1.0,0.0,18.8
田中芽衣,柏エンゼルクロス,13,60,0,0,0,,,0,0,0,0,91,4,7,35,0,0,0,,0.0,0.0,12.1
田巻由貴子,健祥会レッドハーツ,7,63,216,89,4,41.2,39.4,0,0,0,15,140,2,8,41,6,3,0,,1.4,0.2,7.3
田辺由美,埼玉上尾メディックス,17,6,0,0,0,,,0,0,0,0,13,1,3,3,0,0,0,,0.0,0.0,7.7
田部井千夏,柏エンゼルクロス,2,3,0,0,0,,,0,0,0,0,0,0,0,0,19,13,0,,0.0,0.0,
田野倉穂美,Befcoビービースターズ,14,45,1,1,0,100.0,100.0,0,0,0,0,55,0,2,14,0,0,0,,0.0,0.0,5.5
白田博子,埼玉上尾メディックス,2,8,20,8,0,40.0,40.0,0,0,0,0,18,0,1,4,14,9,0,,1.0,0.0,4.2
皆本明日香,埼玉上尾メディックス,16,60,488,205,19,42.0,38.1,50,18,1,39,268,7,16,68,206,126,0,36.0,3.4,0.6,7.5
眞鍋春佳,Befcoビービースターズ,13,55,0,0,0,,,0,0,0,0,82,1,10,16,98,67,0,,0.0,0.0,3.0
矢山美沙,大野石油広島オイラーズ,12,63,656,210,43,32.0,25.5,92,22,6,32,178,2,7,47,2,0,0,23.9,3.3,0.5,6.7
石橋ちとせ,柏エンゼルクロス,4,28,0,0,0,,,0,0,0,0,37,1,8,8,1,0,0,,0.0,0.0,2.7
石田小枝,日立リヴァーレ,13,46,221,118,10,53.4,48.9,2,2,0,15,155,8,11,52,62,41,0,100.0,2.6,0.3,11.8
石田早織,四国Eighty8Queen,11,31,0,0,0,,,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,
砂田遥,PFUブルーキャッツ,12,23,8,4,0,50.0,50.0,0,0,0,0,18,0,1,7,0,0,0,,0.2,0.0,8.3
福田優,フォレストリーヴズ熊本,3,39,242,54,17,22.3,15.3,1,0,0,3,134,5,10,28,321,203,0,0.0,1.4,0.1,7.1
福田有里,大野石油広島オイラーズ,3,75,0,0,0,,,0,0,0,0,0,0,0,0,303,192,0,,0.0,0.0,
細川麻美,埼玉上尾メディックス,15,64,352,181,31,51.4,42.6,17,5,5,18,124,4,13,43,56,33,0,29.4,2.8,0.3,9.3
色摩知巳,KUROBEアクアフェアリーズ,5,61,653,221,41,33.8,27.6,73,20,11,16,158,5,6,61,129,71,0,27.4,3.6,0.3,11.9
芦澤美加,大野石油広島オイラーズ,10,34,0,0,0,,,0,0,0,0,45,1,10,8,0,0,0,,0.0,0.0,1.1
芳賀小梨絵,四国Eighty8Queen,3,28,5,1,1,20.0,0.0,0,0,0,0,64,3,6,19,1,0,0,,0.0,0.0,9.8
菅長愛子,柏エンゼルクロス,14,66,0,0,0,,,0,0,0,0,0,0,0,0,389,267,0,,0.0,0.0,
菊地めぐみ,GSS東京サンビームズ,16,52,181,62,11,34.3,28.2,0,0,0,22,141,4,12,37,6,3,0,,1.2,0.4,7.3
萩生田弘美,健祥会レッドハーツ,6,70,51,31,2,60.8,56.9,0,0,0,7,307,7,30,83,4,1,0,,0.4,0.1,6.6
谷口由美恵,健祥会レッドハーツ,1,70,566,200,35,35.3,29.2,1,0,1,11,229,10,27,69,323,204,0,0.0,2.9,0.2,9.0
赤西喜代里,Befcoビービースターズ,16,61,244,70,15,28.7,22.5,0,0,0,24,163,3,18,39,22,6,0,,1.1,0.4,5.1
足立史織,PFUブルーキャッツ,8,21,50,20,3,40.0,34.0,2,0,0,2,35,2,2,8,43,28,0,0.0,1.0,0.1,10.0
遠井萌仁,日立リヴァーレ,12,62,578,205,33,35.5,29.8,86,29,7,28,222,10,39,72,505,374,0,33.7,3.3,0.5,8.2
遠藤りつこ,GSS東京サンビームズ,9,62,20,11,0,55.0,55.0,0,0,0,5,208,4,15,59,2,0,0,,0.2,0.1,7.2
都澤みどり,日立リヴァーレ,6,62,202,96,9,47.5,43.1,0,0,0,34,214,10,22,47,90,77,0,,1.5,0.5,7.6
鈴木亜矢子,GSS東京サンビームズ,15,44,338,94,30,27.8,18.9,45,11,11,8,82,3,19,23,13,5,0,24.4,2.1,0.2,4.9
鈴木悠佳子,柏エンゼルクロス,16,64,188,62,3,33.0,31.4,0,0,0,7,0,0,0,0,5,4,0,,1.0,0.1,
長岡藍,GSS東京サンビームズ,6,43,410,134,34,32.7,24.4,5,0,2,5,88,3,21,12,191,94,0,0.0,3.1,0.1,0.9
長池彩代,Befcoビービースターズ,12,40,141,44,10,31.2,24.1,0,0,0,6,101,7,5,29,60,40,0,,1.1,0.2,12.9
長野仁美,健祥会レッドハーツ,5,62,93,32,11,34.4,22.6,0,0,0,5,137,13,23,48,5,2,0,,0.5,0.1,14.1
長野友紀,健祥会レッドハーツ,12,70,559,227,31,40.6,35.1,55,10,5,28,251,11,11,95,141,77,0,18.2,3.2,0.4,12.7
門間希,Befcoビービースターズ,1,61,344,139,24,40.4,33.4,1,1,0,56,190,4,22,59,18,9,0,100.0,2.3,0.9,7.0
関舞,埼玉上尾メディックス,19,68,0,0,0,,,0,0,0,0,0,0,0,0,339,256,0,,0.0,0.0,
阪根範栄,大野石油広島オイラーズ,11,50,0,0,0,,,0,0,0,0,60,1,11,18,114,79,0,,0.0,0.0,4.6
須江はるか,GSS東京サンビームズ,21,63,668,223,67,33.4,23.4,79,16,16,6,171,4,32,58,286,137,0,20.3,3.5,0.1,6.1
餅田千佳,PFUブルーキャッツ,1,61,511,218,28,42.7,37.2,19,3,2,17,193,5,8,47,344,258,0,15.8,3.6,0.3,7.6
高崎由佳梨,KUROBEアクアフェアリーズ,10,68,365,130,19,35.6,30.4,0,0,0,30,228,5,9,53,31,14,0,,1.9,0.4,7.0
高崎紗緒梨,日立リヴァーレ,15,27,78,36,2,46.2,43.6,0,0,0,9,110,5,6,44,75,46,0,,1.3,0.3,13.2
高橋めぐみ,健祥会レッドハーツ,10,70,407,166,14,40.8,37.3,2,0,0,43,196,5,27,51,13,3,0,0.0,2.4,0.6,5.6
高橋潤子,四国Eighty8Queen,1,66,398,138,22,34.7,29.1,27,7,4,22,203,18,32,51,10,3,0,25.9,2.1,0.3,11.2
黄秀京,Befcoビービースターズ,2,12,1,0,0,0.0,0.0,0,0,0,1,15,0,2,5,0,0,0,,0.0,0.1,5.0
齊木美香,埼玉上尾メディックス,6,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
