試合日,年月,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2015-10-31,2015-10,サントリーサンバーズ,JTサンダーズ,14,,椿山竜介,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-10-31,2015-10,サントリーサンバーズ,JTサンダーズ,17,,星谷健太朗,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2015-10-31,2015-10,サントリーサンバーズ,JTサンダーズ,19,,栗山雅史,4,■,■,■,■,,25,13,2,52.0,44.0,3.25,2,0,1,0.0,1,0.25,13,1,2,5,15.8,30,17,0,56.7,15
2015-10-31,2015-10,サントリーサンバーズ,JTサンダーズ,20,,米山達也,4,□,□,□,□,,0,0,0,,,-,0,0,0,-,0,-,6,1,0,4,30.0,0,0,0,-,1
2015-10-31,2015-10,サントリーサンバーズ,JTサンダーズ,21,,松崎廣光,1,,,,□,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,1,1,0,100.0,0
2015-10-31,2015-10,ジェイテクトSTINGS,FC東京,1,,カジースキマテイ,3,■,■,■,,,26,14,0,53.8,53.8,4.67,6,2,0,33.3,2,0.67,10,0,4,4,10.0,20,16,0,80.0,16
2015-10-31,2015-10,ジェイテクトSTINGS,FC東京,2,,金丸晃大,3,■,■,■,,,6,4,1,66.7,50.0,1.33,0,0,0,-,3,1.00,8,1,0,4,25.0,1,1,0,100.0,8
2015-10-31,2015-10,ジェイテクトSTINGS,FC東京,4,,古田史郎,3,■,■,■,,,21,12,1,57.1,52.4,4.00,3,2,0,66.7,1,0.33,8,0,2,2,6.2,1,0,0,0.0,13
2015-10-31,2015-10,ジェイテクトSTINGS,FC東京,5,,清野真一,1,,,□,,,1,1,0,100.0,100.0,1.00,1,1,0,100.0,0,-,1,0,0,0,0.0,0,0,0,-,1
2015-10-31,2015-10,ジェイテクトSTINGS,FC東京,6,,高橋慎治,3,■,■,■,,,0,0,0,,,-,0,0,0,-,2,0.67,13,2,1,6,23.8,0,0,0,-,4
