名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
南克幸,旭化成スパーキッズ,23,73,68,325,162,27,49.8,41.5,72,31,14,49,265,16,49,51,15,12,0,227,43.1,2.38,0.72,6.2,80.0
南裕之,旭化成スパーキッズ,5,35,21,1,1,0,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,1,,0.05,0.0,,
古城弘路,NTT西日本レグルス,13,2,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
古田博幸,旭化成スパーキッズ,15,73,26,96,43,7,44.8,37.5,5,4,0,6,75,0,3,10,118,83,0,49,80.0,1.65,0.23,2.3,70.3
吉永文幸,富士フイルム・プラネッツ,9,23,11,0,0,0,,,0,0,0,2,28,1,1,5,0,0,0,3,,0.0,0.18,7.1,
吉田竜児,旭化成スパーキッズ,12,15,11,0,0,0,,,0,0,0,0,11,0,4,1,0,0,0,0,,0.0,0.0,-6.8,
和田一彦,NTT西日本レグルス,6,30,6,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
坂本雄一郎,日立国分トルメンタ,3,37,56,138,56,8,40.6,34.8,2,0,0,29,151,3,6,24,3,2,0,88,0.0,1.0,0.52,5.0,66.7
増成一志,堺ブレイザーズ,12,52,39,3,1,0,33.3,33.3,0,0,0,1,133,2,6,22,1,0,0,4,,0.03,0.03,4.5,0.0
増村雅尚,富士フイルム・プラネッツ,3,71,62,400,172,30,43.0,35.5,156,72,16,22,140,6,18,24,61,37,0,200,46.2,2.77,0.35,5.4,60.7
大坪史明,旭化成スパーキッズ,14,37,55,375,180,30,48.0,40.0,151,76,15,14,216,16,38,61,10,7,0,210,50.3,3.27,0.25,10.1,70.0
大平啓輔,日立国分トルメンタ,1,26,14,36,12,3,33.3,25.0,0,0,0,2,26,0,1,4,45,33,0,14,,0.86,0.14,2.9,73.3
大村悟,NECブルーロケッツ,20,85,59,180,87,27,48.3,33.3,18,8,3,15,142,4,15,37,172,117,0,106,44.4,1.47,0.25,6.7,68.0
大森陽祐,NECブルーロケッツ,3,62,27,0,0,0,,,0,0,0,0,0,0,0,0,142,107,0,0,,0.0,0.0,,75.4
大関元樹,NECブルーロケッツ,5,73,50,121,70,4,57.9,54.5,1,0,0,35,117,4,25,22,9,7,0,109,0.0,1.4,0.7,2.8,77.8
奥田晃,NECブルーロケッツ,12,85,9,0,0,0,,,0,0,0,1,26,0,2,3,0,0,0,1,,0.0,0.11,1.0,
宇佐美大輔,NECブルーロケッツ,21,85,72,36,16,2,44.4,38.9,3,0,0,39,262,20,71,70,5,0,0,75,0.0,0.22,0.54,7.5,0.0
守屋信次郎,サントリーサンバーズ,7,3,3,4,1,1,25.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0.0,0.33,0.0,0.0,
安野忍,日立国分トルメンタ,2,40,14,36,15,4,41.7,30.6,0,0,0,7,31,0,8,2,0,0,0,22,,1.07,0.5,-4.8,
宮下雅寛,JTサンダーズ,1,84,62,130,72,8,55.4,49.2,0,0,0,33,201,10,34,39,2,2,0,115,,1.16,0.53,5.6,100.0
宮崎謙彦,パナソニックパンサーズ,1,51,38,169,92,20,54.4,42.6,74,41,7,5,88,8,26,19,7,2,0,105,55.4,2.42,0.13,7.1,28.6
宮本守,サントリーサンバーズ,3,62,43,21,6,0,28.6,28.6,6,1,0,2,54,4,12,8,1,1,0,12,16.7,0.14,0.05,5.6,100.0
小坂慎吾,サントリーサンバーズ,5,62,43,168,80,21,47.6,35.1,24,12,5,11,127,7,31,37,274,215,0,98,50.0,1.86,0.26,6.7,78.5
小川吉,サントリーサンバーズ,18,16,11,0,0,0,,,0,0,0,0,0,0,0,0,23,19,0,0,,0.0,0.0,,82.6
小林宙史,NTT西日本レグルス,7,47,29,61,15,8,24.6,11.5,24,4,5,2,36,0,9,7,0,0,0,17,16.7,0.52,0.07,-1.4,
小林敦,東レアローズ,11,73,71,171,84,11,49.1,42.7,0,0,0,55,246,2,19,47,18,12,0,141,,1.18,0.77,3.7,66.7
小森誠治,JTサンダーズ,15,6,2,0,0,0,,,0,0,0,0,1,0,1,0,1,1,0,0,,0.0,0.0,-25.0,100.0
小糸敬夫,パナソニックパンサーズ,6,51,71,0,0,0,,,0,0,0,0,0,0,0,0,502,349,0,0,,0.0,0.0,,69.5
小西健太,堺ブレイザーズ,0,52,52,106,54,9,50.9,42.5,0,0,0,39,196,9,25,37,10,8,0,102,,1.04,0.75,6.1,80.0
尾上健司,富士フイルム・プラネッツ,20,71,64,175,88,13,50.3,42.9,1,0,0,43,213,1,13,26,8,6,0,132,0.0,1.38,0.67,2.0,75.0
山中正博,旭化成スパーキッズ,4,71,28,133,55,15,41.4,30.1,36,15,5,2,70,3,11,5,0,0,0,60,41.7,1.96,0.07,2.1,
山元克之,NTT西日本レグルス,4,20,23,0,0,0,,,0,0,0,0,23,2,1,5,19,14,0,2,,0.0,0.0,13.0,73.7
山口誠,東レアローズ,6,73,71,16,5,1,31.2,25.0,3,1,0,15,265,6,9,55,1,1,0,26,33.3,0.07,0.21,6.6,100.0
山口雅行,NTT西日本レグルス,9,13,7,0,0,0,,,0,0,0,0,5,0,2,1,0,0,0,0,,0.0,0.0,-5.0,
山崎典行,旭化成スパーキッズ,2,73,4,0,0,0,,,0,0,0,0,6,0,1,1,0,0,0,0,,0.0,0.0,0.0,
山本健之,JTサンダーズ,12,84,74,0,0,0,,,0,0,0,0,0,0,0,0,351,268,0,0,,0.0,0.0,,76.4
山本太二,東レアローズ,20,7,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
山本辰生,堺ブレイザーズ,8,31,15,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
山本隆弘,パナソニックパンサーズ,5,51,54,479,199,65,41.5,28.0,190,73,33,7,205,22,47,69,22,9,0,228,38.4,3.69,0.13,13.4,40.9
山田博文,旭化成スパーキッズ,1,72,52,231,106,13,45.9,40.3,5,1,0,20,179,3,8,36,319,257,0,129,20.0,2.04,0.38,5.6,80.6
山田忠一,JTサンダーズ,11,10,8,3,1,0,33.3,33.3,0,0,0,0,11,0,0,1,0,0,0,1,,0.12,0.0,2.3,
川村慎二,パナソニックパンサーズ,8,51,58,68,29,8,42.6,30.9,9,2,1,0,116,6,21,33,97,65,0,35,22.2,0.5,0.0,7.8,67.0
川浦博昭,富士フイルム・プラネッツ,14,71,71,235,121,12,51.5,46.4,2,0,0,56,237,10,33,42,9,6,0,187,0.0,1.7,0.79,5.2,66.7
市橋祐之,堺ブレイザーズ,5,52,48,12,6,0,50.0,50.0,1,0,0,5,164,2,7,27,0,0,0,13,0.0,0.12,0.1,4.3,
平山譲,日立国分トルメンタ,5,62,43,26,14,1,53.8,50.0,0,0,0,9,55,2,9,11,3,3,0,25,,0.33,0.21,4.5,100.0
平野信孝,JTサンダーズ,2,84,20,83,31,10,37.3,25.3,28,12,3,4,30,1,3,6,16,11,0,36,42.9,1.55,0.2,5.8,68.8
徳元幸人,JTサンダーズ,8,76,47,220,103,17,46.8,39.1,11,3,1,13,157,2,5,38,385,290,0,118,27.3,2.19,0.28,6.5,75.3
成田貴志,富士フイルム・プラネッツ,4,71,68,28,11,0,39.3,39.3,0,0,0,26,207,2,7,23,1,1,0,39,,0.16,0.38,2.9,100.0
星野知敬,日立国分トルメンタ,4,44,10,1,1,0,100.0,100.0,0,0,0,0,16,0,6,3,0,0,0,1,,0.1,0.0,-4.7,
朝日健太郎,サントリーサンバーズ,1,62,68,147,83,4,56.5,53.7,1,0,0,53,144,0,11,29,7,4,0,136,0.0,1.22,0.78,3.1,57.1
木原丈裕,サントリーサンバーズ,12,62,59,258,143,17,55.4,48.8,58,33,5,10,236,10,17,40,234,132,0,163,56.9,2.42,0.17,6.7,56.4
木村正憲,パナソニックパンサーズ,15,48,53,0,0,0,,,0,0,0,0,72,1,8,18,0,0,0,1,,0.0,0.0,4.9,
末次志朗,旭化成スパーキッズ,10,73,68,250,136,7,54.4,51.6,1,1,0,35,175,1,6,24,8,5,0,172,100.0,2.0,0.51,3.1,62.5
村上龍介,サントリーサンバーズ,13,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
栗原功武,サントリーサンバーズ,15,57,14,1,0,1,0.0,-100.0,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
栗原圭介,サントリーサンバーズ,6,62,11,0,0,0,,,0,0,0,0,13,0,2,2,1,0,0,0,,0.0,0.0,0.0,0.0
桐生志康,日立国分トルメンタ,6,62,63,13,5,0,38.5,38.5,2,1,0,17,174,3,3,25,8,6,0,25,50.0,0.08,0.27,4.9,75.0
桑田鎮典,日立国分トルメンタ,8,48,61,512,226,62,44.1,32.0,190,76,27,21,208,6,38,32,113,77,0,253,40.0,3.7,0.34,2.2,68.1
森永茂正,旭化成スパーキッズ,6,24,3,0,0,0,,,0,0,0,0,3,0,2,0,0,0,0,0,,0.0,0.0,-16.7,
槻舘大輔,日立国分トルメンタ,7,61,11,0,0,0,,,0,0,0,0,12,1,3,0,0,0,0,1,,0.0,0.0,2.1,
河野裕輔,JTサンダーズ,4,84,67,534,230,41,43.1,35.4,214,89,17,20,165,1,6,46,15,6,0,251,41.6,3.43,0.3,6.7,40.0
泉川正幸,東レアローズ,8,73,66,379,173,30,45.6,37.7,34,13,2,15,247,7,15,44,374,288,0,195,38.2,2.62,0.23,5.8,77.0
津曲勝利,サントリーサンバーズ,11,62,68,0,0,0,,,0,0,0,0,0,0,0,0,407,328,0,0,,0.0,0.0,,80.6
浅倉勇,パナソニックパンサーズ,3,51,69,427,213,38,49.9,41.0,50,25,5,13,225,11,37,57,193,89,0,237,50.0,3.09,0.19,7.1,46.1
浅川敏,東レアローズ,18,73,71,0,0,0,,,0,0,0,0,0,0,0,0,513,428,0,0,,0.0,0.0,,83.4
浜口純一,富士フイルム・プラネッツ,5,71,62,68,31,7,45.6,35.3,5,2,1,1,118,2,12,15,37,22,0,34,40.0,0.5,0.02,2.3,59.5
清水利公,日立国分トルメンタ,10,62,62,396,163,28,41.2,34.1,35,10,7,11,197,3,22,20,284,211,0,177,28.6,2.63,0.18,1.3,74.3
清水喬嗣,東レアローズ,15,35,35,6,4,0,66.7,66.7,0,0,0,2,7,0,0,1,0,0,0,6,,0.11,0.06,3.6,
清水雅之,サントリーサンバーズ,4,62,67,9,4,1,44.4,33.3,0,0,0,9,253,1,9,23,1,0,0,14,,0.06,0.13,1.8,0.0
渡邉正堂,NECブルーロケッツ,11,85,49,138,74,10,53.6,46.4,1,0,0,21,137,2,18,23,2,1,0,97,0.0,1.51,0.43,2.4,50.0
渡邊友嗣,堺ブレイザーズ,7,51,7,38,17,2,44.7,39.5,14,6,1,4,14,0,1,0,4,3,0,21,42.9,2.43,0.57,-1.8,75.0
澤畠雄一郎,堺ブレイザーズ,1,52,71,211,126,12,59.7,54.0,4,2,0,45,211,16,39,45,6,5,0,187,50.0,1.77,0.63,8.3,83.3
濱本久樹,日立国分トルメンタ,14,18,3,0,0,0,,,0,0,0,1,5,0,0,0,1,1,0,1,,0.0,0.33,0.0,100.0
熊谷豪,富士フイルム・プラネッツ,2,48,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
牛尾正和,パナソニックパンサーズ,10,51,33,4,3,0,75.0,75.0,0,0,0,8,63,0,6,9,1,0,0,11,,0.09,0.24,1.2,0.0
田辺修,東レアローズ,23,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
甲斐祐之,堺ブレイザーズ,10,52,71,563,267,60,47.4,36.8,162,71,26,38,252,18,39,56,99,74,0,323,43.8,3.76,0.54,8.8,74.7
直弘龍治,JTサンダーズ,10,84,39,125,49,20,39.2,23.2,31,12,9,2,36,0,1,2,17,9,0,51,38.7,1.26,0.05,0.7,52.9
真鍋政義,旭化成スパーキッズ,13,73,68,28,15,2,53.6,46.4,0,0,0,16,237,7,13,43,5,1,0,38,,0.22,0.24,6.1,20.0
砂川登,NTT西日本レグルス,18,49,56,279,128,24,45.9,37.3,3,1,0,6,183,3,6,19,341,262,0,137,33.3,2.29,0.11,3.4,76.8
立石武史,日立国分トルメンタ,13,62,60,194,79,11,40.7,35.1,0,0,0,36,179,1,9,20,12,10,0,116,,1.32,0.6,2.1,83.3
竹内実,NECブルーロケッツ,6,85,69,344,155,33,45.1,35.5,55,26,9,16,307,20,46,69,481,369,0,191,47.3,2.25,0.23,8.4,76.7
竹本勝匡,旭化成スパーキッズ,16,38,26,1,0,0,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0,2,,0.0,0.08,,
笠原紀久,東レアローズ,5,73,49,104,47,12,45.2,33.7,2,0,1,12,93,3,5,12,121,96,0,62,0.0,0.96,0.24,5.1,79.3
笠富俊,堺ブレイザーズ,14,3,2,0,0,0,,,0,0,0,0,2,0,2,0,0,0,0,0,,0.0,0.0,-25.0,
米山博之,パナソニックパンサーズ,20,51,67,163,88,4,54.0,51.5,0,0,0,63,199,5,16,41,22,18,0,156,,1.31,0.94,5.7,81.8
紫和昌修,パナソニックパンサーズ,12,51,59,21,9,2,42.9,33.3,2,0,0,8,170,0,8,33,1,0,0,17,0.0,0.15,0.14,3.7,0.0
細川延由,NECブルーロケッツ,2,85,60,178,90,8,50.6,46.1,15,5,0,6,144,6,9,28,204,145,0,102,33.3,1.5,0.1,7.5,71.1
置本雅司,NTT西日本レグルス,12,48,60,0,0,0,,,0,0,0,0,0,0,0,0,331,259,0,0,,0.0,0.0,,78.2
美保考男,NTT西日本レグルス,11,39,23,91,39,8,42.9,34.1,2,0,2,7,56,0,8,6,157,116,0,46,0.0,1.7,0.3,-0.9,73.9
臺光章,JTサンダーズ,6,84,72,12,5,0,41.7,41.7,0,0,0,10,275,2,9,45,2,1,0,17,,0.07,0.14,4.0,50.0
舩越健太郎,旭化成スパーキッズ,11,73,68,0,0,0,,,0,0,0,0,0,0,0,0,434,314,0,0,,0.0,0.0,,72.4
花野裕祥,富士フイルム・プラネッツ,17,71,72,0,0,0,,,0,0,0,0,0,0,0,0,496,415,0,0,,0.0,0.0,,83.7
苅谷淳司,JTサンダーズ,3,84,71,127,54,7,42.5,37.0,0,0,0,58,230,4,19,22,7,7,0,116,,0.76,0.82,2.1,100.0
荻野正二,サントリーサンバーズ,10,62,53,185,75,16,40.5,31.9,24,10,4,18,201,3,10,29,318,234,0,96,41.7,1.42,0.34,3.9,73.6
菊地洋之,NECブルーロケッツ,7,24,1,6,0,1,0.0,-16.7,0,0,0,1,2,0,1,0,0,0,0,1,,0.0,1.0,-12.5,
藤井悦生,東レアローズ,2,38,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
西村晃一,NECブルーロケッツ,8,23,47,0,0,0,,,0,0,0,0,0,0,0,0,290,233,0,0,,0.0,0.0,,80.3
西澤吉邦,パナソニックパンサーズ,7,45,8,5,1,0,20.0,20.0,0,0,0,3,9,0,1,0,1,1,0,4,,0.12,0.38,-2.8,100.0
西田靖宏,NTT西日本レグルス,8,47,59,690,322,72,46.7,36.2,287,134,45,24,205,4,41,21,51,26,0,350,46.7,5.46,0.41,-0.5,51.0
諸隈直樹,富士フイルム・プラネッツ,1,71,63,458,223,29,48.7,42.4,158,79,14,21,241,8,48,39,154,94,0,252,50.0,3.54,0.33,2.4,61.0
足立和弘,NECブルーロケッツ,17,6,9,35,15,4,42.9,31.4,2,1,0,2,36,0,4,5,42,24,0,17,50.0,1.67,0.22,0.7,57.1
近藤康史,富士フイルム・プラネッツ,12,71,47,213,85,23,39.9,29.1,66,33,11,12,100,0,6,12,78,62,0,97,50.0,1.81,0.26,1.5,79.5
酒井新悟,堺ブレイザーズ,22,52,71,0,0,0,,,0,0,0,0,0,0,0,0,464,361,0,0,,0.0,0.0,,77.8
金山大,日立国分トルメンタ,11,24,1,2,0,1,0.0,-50.0,0,0,0,0,1,0,0,0,3,3,0,0,,0.0,0.0,0.0,100.0
金牧貴久,富士フイルム・プラネッツ,8,71,40,89,34,7,38.2,30.3,35,14,4,3,34,1,6,5,17,7,0,38,40.0,0.85,0.08,2.2,41.2
金近潤,NTT西日本レグルス,3,48,58,264,115,14,43.6,38.3,36,19,3,12,262,13,43,92,364,243,0,140,52.8,1.98,0.21,9.6,66.8
鈴木優介,日立国分トルメンタ,9,62,29,74,33,11,44.6,29.7,28,15,2,3,53,3,20,9,7,6,0,39,53.6,1.14,0.1,0.5,85.7
鈴木孝政,旭化成スパーキッズ,8,73,11,25,11,1,44.0,40.0,5,2,0,3,20,1,5,1,33,19,0,15,40.0,1.0,0.27,0.0,57.6
鈴木聡,東レアローズ,12,64,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
鎌田修,NECブルーロケッツ,14,85,41,17,7,2,41.2,29.4,6,4,0,2,62,2,12,10,1,1,0,11,66.7,0.17,0.05,2.4,100.0
長尾浩志,堺ブレイザーズ,19,2,1,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
阿南卓,サントリーサンバーズ,17,36,8,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
青山繁,富士フイルム・プラネッツ,6,71,72,366,186,26,50.8,43.7,61,37,4,28,311,10,22,89,529,448,0,224,60.7,2.58,0.39,8.6,84.7
青木一平,NECブルーロケッツ,10,73,52,168,94,8,56.0,51.2,0,0,0,36,165,2,11,36,3,3,0,132,,1.81,0.69,5.0,100.0
高杉洋平,東レアローズ,16,73,53,0,0,0,,,0,0,0,0,56,3,10,7,0,0,0,3,,0.0,0.0,4.0,
高橋智則,堺ブレイザーズ,9,52,43,61,28,6,45.9,36.1,6,3,1,4,38,1,5,11,56,41,0,33,50.0,0.65,0.09,6.6,73.2
魚井貞夫,東レアローズ,4,73,5,2,0,0,0.0,0.0,0,0,0,0,8,0,0,0,1,0,0,0,,0.0,0.0,0.0,0.0
齋藤信治,東レアローズ,7,73,71,224,100,14,44.6,38.4,2,1,0,53,163,2,26,32,4,4,0,155,50.0,1.41,0.75,2.1,100.0
