名前,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
大村祥子,デンソーエアリービーズ,23,7,7,2,1,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
大槻真弥,デンソーエアリービーズ,14,57,46,15,44,0,0,0,,,0,0,0,0,11,0,0,6,52,26,0,0,,0.0,0.0,13.6,50.0
奥田恭子,デンソーエアリービーズ,15,50,39,13,15,104,27,4,26.0,22.1,0,0,0,2,35,1,1,11,82,34,0,30,,1.8,0.13,10.0,41.5
安藤典莉子,NECレッドロケッツ,12,49,64,10,62,98,33,7,33.7,26.5,13,3,3,9,89,5,14,27,2,1,0,47,23.1,0.53,0.15,9.3,50.0
宮下遥,岡山シーガルズ,14,34,55,8,60,1,0,0,0.0,0.0,0,0,0,3,56,3,5,15,16,5,0,6,,0.0,0.05,9.8,31.2
宮田由佳里,東レアローズ,18,61,30,18,32,93,34,9,36.6,26.9,0,0,0,15,91,3,3,39,0,0,0,52,,1.06,0.47,13.2,
小山修加,久光製薬スプリングス,5,6,8,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小平花織,東レアローズ,19,45,26,13,12,3,2,1,66.7,33.3,0,0,0,0,17,0,0,4,5,4,0,2,,0.17,0.0,5.9,80.0
小林亜里沙,岡山シーガルズ,17,13,27,3,18,27,4,1,14.8,11.1,0,0,0,0,16,2,0,5,4,0,0,6,,0.22,0.0,20.3,0.0
小菅真弓,岡山シーガルズ,41,30,48,8,62,8,3,1,37.5,25.0,0,0,0,6,123,3,1,18,7,2,0,12,,0.05,0.1,5.9,28.6
小酒翔子,JTマーヴェラス,11,82,20,26,13,0,0,0,,,0,0,0,0,20,0,0,5,6,3,0,0,,0.0,0.0,6.2,50.0
山口舞,岡山シーガルズ,2,40,64,10,104,687,269,27,39.2,35.2,0,0,0,47,332,5,6,60,410,256,0,321,,2.59,0.45,5.6,62.4
山本愛,JTマーヴェラス,3,82,20,26,102,430,200,12,46.5,43.7,0,0,0,60,335,16,26,120,17,13,0,276,,1.96,0.59,11.8,76.5
山本陽子,トヨタ車体クインシーズ,3,26,72,7,58,118,43,12,36.4,26.3,0,0,0,8,114,7,8,41,3,2,0,58,,0.74,0.14,13.4,66.7
山田真里,トヨタ車体クインシーズ,21,4,14,1,3,17,5,3,29.4,11.8,0,0,0,1,6,0,1,3,27,20,0,6,,1.67,0.33,8.3,74.1
岡野弘子,岡山シーガルズ,15,40,64,10,82,10,3,0,30.0,30.0,0,0,0,19,203,8,5,69,1,0,0,30,,0.04,0.23,11.8,0.0
岩坂名奈,久光製薬スプリングス,17,55,31,16,24,34,12,2,35.3,29.4,0,0,0,6,42,2,3,19,6,1,0,20,,0.5,0.25,14.3,16.7
峯村沙紀,東レアローズ,20,42,16,13,5,0,0,0,,,0,0,0,0,9,1,0,3,0,0,0,1,,0.0,0.0,19.4,
島村春世,NECレッドロケッツ,22,21,23,3,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
川原麻実,JTマーヴェラス,15,82,20,26,77,244,84,11,34.4,29.9,9,2,2,20,115,8,4,46,130,68,0,112,22.2,1.09,0.26,16.1,52.3
川島亜依美,岡山シーガルズ,28,0,3,0,1,3,0,0,0.0,0.0,0,0,0,0,1,0,1,0,1,1,0,0,,0.0,0.0,-25.0,100.0
川畑愛希,岡山シーガルズ,8,36,60,9,70,636,197,32,31.0,25.9,1,0,0,4,204,4,1,47,149,78,0,205,0.0,2.81,0.06,7.6,52.3
平井香菜子,久光製薬スプリングス,9,67,33,20,100,430,174,26,40.5,34.4,0,0,0,46,315,22,24,108,10,4,0,242,,1.74,0.46,13.7,40.0
成田郁久美,パイオニアレッドウィングス,7,22,80,3,101,490,171,31,34.9,28.6,6,2,0,58,295,3,29,74,408,303,0,232,33.3,1.69,0.57,4.8,74.3
新鍋理沙,久光製薬スプリングス,18,66,30,20,2,0,0,0,,,0,0,0,0,2,0,1,1,0,0,0,0,,0.0,0.0,0.0,
有田沙織,NECレッドロケッツ,6,49,64,10,76,359,133,21,37.0,31.2,43,12,8,15,124,9,8,39,14,7,0,157,27.9,1.75,0.2,13.5,50.0
服部梨花,パイオニアレッドウィングス,27,11,28,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
服部鮎弥,トヨタ車体クインシーズ,16,6,22,1,20,36,12,4,33.3,22.2,0,0,0,1,33,0,4,3,78,54,0,13,,0.6,0.05,-0.8,69.2
木村沙織,東レアローズ,10,72,36,21,108,1306,496,81,38.0,31.8,130,42,15,43,390,27,31,159,1088,669,0,566,32.3,4.59,0.4,15.1,61.5
本田つばさ,デンソーエアリービーズ,22,18,13,5,6,0,0,0,,,0,0,0,0,6,0,1,2,0,0,0,0,,0.0,0.0,4.2,
杉山祥子,NECレッドロケッツ,2,49,64,10,113,627,254,27,40.5,36.2,0,0,0,80,308,7,22,100,9,3,0,341,,2.25,0.71,8.6,33.3
杉本早希,パイオニアレッドウィングス,2,22,80,3,78,575,172,41,29.9,22.8,51,16,3,3,234,18,31,85,324,179,0,193,31.4,2.21,0.04,13.5,55.2
村田奈都美,岡山シーガルズ,12,40,64,10,92,1110,330,62,29.7,24.1,1,0,0,23,250,4,20,81,178,89,0,357,0.0,3.59,0.25,7.7,50.0
松崎さ代子,NECレッドロケッツ,4,8,14,2,18,94,39,8,41.5,33.0,4,1,1,15,58,6,8,14,5,4,0,60,25.0,2.17,0.83,12.9,80.0
松浦寛子,NECレッドロケッツ,19,49,64,10,105,279,96,14,34.4,29.4,1,0,0,21,244,12,24,87,164,60,0,129,0.0,0.91,0.2,11.4,36.6
板橋恵,パイオニアレッドウィングス,3,22,80,3,62,22,11,0,50.0,50.0,0,0,0,6,154,3,12,44,0,0,0,20,,0.18,0.1,7.1,
栗原恵,パイオニアレッドウィングス,1,13,37,2,46,625,197,43,31.5,24.6,150,47,19,19,164,9,17,55,175,100,0,225,31.3,4.28,0.41,11.3,57.1
梶原雪路,トヨタ車体クインシーズ,22,26,72,7,62,0,0,0,,,0,0,0,0,0,0,0,0,243,159,0,0,,0.0,0.0,,65.4
森和代,岡山シーガルズ,21,40,64,10,104,639,228,34,35.7,30.4,1,0,0,64,369,18,9,92,366,201,0,310,0.0,2.19,0.62,10.5,54.9
櫻井由香,デンソーエアリービーズ,9,57,46,15,80,0,0,0,,,0,0,0,0,8,0,1,3,122,79,0,0,,0.0,0.0,6.2,64.8
水田祐未,久光製薬スプリングス,13,11,10,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
河合由貴,JTマーヴェラス,18,69,11,23,35,0,0,0,,,0,0,0,0,12,2,0,6,0,0,0,2,,0.0,0.0,29.2,
河村聖子,トヨタ車体クインシーズ,6,26,72,7,16,2,1,0,50.0,50.0,0,0,0,0,23,0,0,4,0,0,0,1,,0.06,0.0,4.3,
沼田さくら,パイオニアレッドウィングス,21,0,9,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
泉岡未来,デンソーエアリービーズ,19,18,21,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
浅津ゆうこ,久光製薬スプリングス,16,67,33,20,7,21,8,4,38.1,19.0,11,1,4,2,5,0,3,2,0,0,0,10,9.1,1.14,0.29,-5.0,
渡邊絢子,NECレッドロケッツ,1,49,64,10,66,0,0,0,,,0,0,0,0,66,3,2,16,106,50,0,3,,0.0,0.0,9.8,47.2
滝口奈美,NECレッドロケッツ,18,41,56,8,13,0,0,0,,,0,0,0,0,8,0,5,1,33,17,0,0,,0.0,0.0,-12.5,51.5
澁澤夏美,NECレッドロケッツ,16,49,64,10,54,323,90,23,27.9,20.7,19,1,5,10,117,1,12,31,134,48,0,101,5.3,1.67,0.19,4.9,35.8
濱口華菜里,東レアローズ,5,72,36,21,108,0,0,0,,,0,0,0,0,0,0,0,0,512,313,0,0,,0.0,0.0,,61.1
瀬尾有耶,岡山シーガルズ,29,13,20,4,17,0,0,0,,,0,0,0,0,24,0,0,7,20,14,0,0,,0.0,0.0,7.3,70.0
熊谷桜子,デンソーエアリービーズ,5,57,46,15,101,55,27,3,49.1,43.6,0,0,0,17,328,22,24,108,0,0,0,66,,0.27,0.17,13.1,
片下恭子,デンソーエアリービーズ,16,57,46,15,98,0,0,0,,,0,0,0,0,0,0,0,0,500,337,0,0,,0.0,0.0,,67.4
狩野美雪,久光製薬スプリングス,7,67,33,20,38,89,26,2,29.2,27.0,3,0,0,3,73,3,5,30,112,66,0,32,0.0,0.68,0.08,12.7,58.9
狩野舞子,久光製薬スプリングス,6,6,6,2,1,2,0,0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,,0.0,0.0,25.0,
田代佳奈美,東レアローズ,21,9,4,3,1,0,0,0,,,0,0,0,0,3,0,0,0,0,0,0,0,,0.0,0.0,0.0,
田原香理,トヨタ車体クインシーズ,5,25,69,7,84,313,127,17,40.6,35.1,0,0,0,39,248,7,15,62,13,6,0,173,,1.51,0.46,7.6,46.2
田村翔子,パイオニアレッドウィングス,26,15,63,2,19,35,16,3,45.7,37.1,1,1,0,2,33,0,1,14,24,8,0,18,100.0,0.84,0.11,9.8,33.3
眞恵子,トヨタ車体クインシーズ,9,26,72,7,90,533,200,24,37.5,33.0,0,0,0,38,229,1,19,55,265,136,0,239,,2.22,0.42,4.4,51.3
矢野美子,デンソーエアリービーズ,2,57,46,15,103,491,238,15,48.5,45.4,2,0,0,50,407,17,24,153,2,1,0,305,0.0,2.31,0.49,12.1,50.0
石井美樹,久光製薬スプリングス,1,67,33,20,100,744,249,33,33.5,29.0,31,7,1,28,376,21,15,165,781,518,0,298,22.6,2.49,0.28,15.6,66.3
石井里沙,デンソーエアリービーズ,7,54,46,14,40,230,58,14,25.2,19.1,1,0,0,11,90,1,4,26,159,100,0,70,0.0,1.45,0.28,7.2,62.9
石川友紀,JTマーヴェラス,9,82,20,26,96,365,148,17,40.5,35.9,0,0,0,51,315,19,16,121,18,7,0,218,,1.54,0.53,14.4,38.9
石田瑞穂,久光製薬スプリングス,22,64,31,19,95,873,324,54,37.1,30.9,99,13,13,41,379,21,32,172,616,375,0,386,13.1,3.41,0.43,14.8,60.9
神本千佳,JTマーヴェラス,16,30,4,10,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
神田千絵,岡山シーガルズ,7,35,49,10,26,196,43,19,21.9,12.2,0,0,0,6,48,1,1,14,12,5,0,50,,1.65,0.23,8.9,41.7
福田舞,岡山シーガルズ,5,40,64,10,102,816,298,62,36.5,28.9,17,3,4,25,299,19,31,97,222,124,0,342,17.6,2.92,0.25,11.9,55.9
秋山美幸,NECレッドロケッツ,8,49,64,10,112,25,13,2,52.0,44.0,0,0,0,13,377,25,29,143,3,2,0,51,,0.12,0.12,14.2,66.7
竹下佳江,JTマーヴェラス,7,82,20,26,102,27,18,1,66.7,63.0,0,0,0,9,493,23,22,202,1,0,0,50,,0.18,0.09,13.8,0.0
竹内沙耶歌,NECレッドロケッツ,15,32,41,7,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
筒井視穂子,久光製薬スプリングス,12,67,27,20,38,0,0,0,,,0,0,0,0,60,2,2,25,0,0,0,2,,0.0,0.0,12.9,
米村信子,岡山シーガルズ,3,40,64,10,92,4,1,1,25.0,0.0,0,0,0,0,3,0,0,0,308,198,0,1,,0.01,0.0,0.0,64.3
細田絵理,デンソーエアリービーズ,4,54,46,14,92,873,286,41,32.8,28.1,3,1,1,24,311,15,32,98,404,187,0,325,33.3,3.11,0.26,10.1,46.3
羽根翠,トヨタ車体クインシーズ,20,21,52,6,65,348,127,13,36.5,32.8,0,0,0,31,197,13,5,69,35,20,0,171,,1.95,0.48,14.7,57.1
船崎恵視,トヨタ車体クインシーズ,4,26,72,7,93,34,15,0,44.1,44.1,0,0,0,15,320,17,30,119,2,0,0,47,,0.16,0.16,12.3,0.0
芝田安希,東レアローズ,1,72,36,21,69,258,80,15,31.0,25.2,3,0,0,15,141,5,12,50,205,132,0,100,0.0,1.16,0.22,10.3,64.4
芦野李沙,パイオニアレッドウィングス,19,16,57,2,5,0,0,0,,,0,0,0,0,5,0,1,2,0,0,0,0,,0.0,0.0,5.0,
若浦貴子,岡山シーガルズ,33,27,37,6,27,100,28,9,28.0,19.0,0,0,0,1,20,0,0,3,9,4,0,29,,1.04,0.04,3.8,44.4
荒木絵里香,東レアローズ,4,60,30,17,88,399,202,25,50.6,44.4,1,0,0,74,336,16,32,108,13,9,0,292,0.0,2.3,0.84,10.4,69.2
藤原亜紀,トヨタ車体クインシーズ,14,26,69,7,32,208,48,16,23.1,15.4,0,0,0,3,84,8,7,25,149,91,0,59,,1.5,0.09,14.9,61.1
西山慶樹,JTマーヴェラス,12,45,8,15,10,0,0,0,,,0,0,0,0,13,0,1,6,1,1,0,0,,0.0,0.0,9.6,100.0
西脇万里子,東レアローズ,2,72,36,21,52,128,52,11,40.6,32.0,0,0,0,15,98,4,9,36,4,1,0,71,,1.0,0.29,11.0,25.0
谷口雅美,JTマーヴェラス,2,79,20,25,88,537,197,29,36.7,31.3,112,31,15,28,263,20,25,100,1,1,0,245,27.7,2.24,0.32,14.7,100.0
迫田さおり,東レアローズ,14,72,36,21,94,1024,370,57,36.1,30.6,176,84,9,22,363,29,23,142,8,5,0,421,47.7,3.94,0.23,16.2,62.5
遠藤りつこ,JTマーヴェラス,14,52,15,16,21,0,0,0,,,0,0,0,0,25,1,1,4,0,0,0,1,,0.0,0.0,7.0,
都築有美子,トヨタ車体クインシーズ,1,26,72,7,98,858,269,46,31.4,26.0,0,0,0,30,319,14,29,102,639,420,0,313,,2.74,0.31,10.1,65.7
野口彩佳,岡山シーガルズ,16,21,42,4,17,0,0,0,,,0,0,0,0,0,0,0,0,54,33,0,0,,0.0,0.0,,61.1
金子雅代,トヨタ車体クインシーズ,13,0,6,0,1,0,0,0,,,0,0,0,0,1,0,0,1,1,0,0,0,,0.0,0.0,25.0,0.0
鈴木裕子,デンソーエアリービーズ,20,57,46,15,98,525,214,13,40.8,38.3,1,1,0,19,417,16,30,150,469,275,0,249,100.0,2.18,0.19,11.0,58.6
関李香,デンソーエアリービーズ,11,39,25,11,5,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
香野晶子,パイオニアレッドウィングス,23,22,80,3,102,480,179,26,37.3,31.9,0,0,0,49,328,16,29,110,22,15,0,244,,1.75,0.48,11.1,68.2
高木理江,JTマーヴェラス,8,82,20,26,14,23,10,2,43.5,34.8,0,0,0,0,22,1,1,10,19,8,0,11,,0.71,0.0,14.8,42.1
高松未,岡山シーガルズ,13,40,61,10,63,122,30,4,24.6,21.3,1,0,0,12,154,2,2,50,248,140,0,44,0.0,0.48,0.19,9.1,56.5
高橋美帆,パイオニアレッドウィングス,18,22,80,3,77,273,86,16,31.5,25.6,0,0,0,26,219,10,10,83,9,5,0,122,,1.12,0.34,12.9,55.6
高田ありさ,東レアローズ,12,72,36,21,68,49,19,3,38.8,32.7,3,0,1,1,110,3,7,39,108,63,0,23,0.0,0.28,0.01,10.0,58.3
鶴田桂子,久光製薬スプリングス,3,67,33,20,97,26,10,1,38.5,34.6,1,1,0,9,302,11,10,103,3,0,0,30,100.0,0.1,0.09,11.3,0.0
黒羽桂子,デンソーエアリービーズ,3,57,46,15,20,0,0,0,,,0,0,0,0,28,2,0,5,0,0,0,2,,0.0,0.0,11.6,
