名前,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
城美鈴,日立リヴァーレ,15,16,81,0,94,844,244,35,28.9,24.8,3,1,0,14,275,10,23,99,649,406,0,268,33.3,2.6,0.15,10.5,62.6
堀崎智恵美,トヨタ車体クインシーズ,15,54,52,13,87,101,38,4,37.6,33.7,0,0,0,9,93,2,4,21,266,176,0,49,,0.44,0.1,6.7,66.2
堀田理恵,岡山シーガルズ,55,40,38,10,26,14,3,2,21.4,7.1,0,0,0,0,36,0,4,11,32,23,0,3,,0.12,0.0,4.9,71.9
多治見麻子,パイオニアレッドウィングス,5,54,53,13,107,474,210,34,44.3,37.1,1,1,0,70,318,6,14,80,43,33,0,286,100.0,1.96,0.65,7.1,76.7
大塚真菜,トヨタ車体クインシーズ,12,18,16,5,1,2,1,0,50.0,50.0,0,0,0,0,2,0,0,1,0,0,0,1,,1.0,0.0,12.5,
大山加奈,東レアローズ,3,9,4,3,7,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
大山未希,東レアローズ,7,63,33,19,60,6,4,0,66.7,66.7,0,0,0,8,10,0,1,3,0,0,0,12,,0.07,0.13,5.0,
大村加奈子,久光製薬スプリングス,8,45,23,14,48,16,7,3,43.8,25.0,0,0,0,7,10,1,0,4,0,0,0,15,,0.15,0.15,20.0,
大槻真弥,デンソーエアリービーズ,14,58,42,16,64,0,0,0,,,0,0,0,0,2,0,0,1,150,89,0,0,,0.0,0.0,12.5,59.3
奥田恭子,デンソーエアリービーズ,15,25,25,6,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
安藤典莉子,NECレッドロケッツ,18,0,3,0,3,44,14,7,31.8,15.9,15,4,3,1,8,1,1,3,1,0,0,16,26.7,4.67,0.33,18.8,0.0
宝来麻紀子,JTマーヴェラス,9,41,56,10,97,336,115,15,34.2,29.8,0,0,0,75,264,5,20,64,16,12,0,195,,1.19,0.77,6.1,75.0
宮田由佳里,東レアローズ,18,68,38,20,84,231,97,9,42.0,38.1,0,0,0,29,316,7,19,89,6,6,0,133,,1.15,0.35,7.8,100.0
小山修加,久光製薬スプリングス,5,59,41,17,49,434,145,33,33.4,25.8,146,46,15,18,139,6,15,34,3,3,0,169,31.5,2.96,0.37,7.7,100.0
小松崎佐代子,東レアローズ,15,59,37,17,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小林亜里沙,岡山シーガルズ,17,10,18,2,14,19,7,0,36.8,36.8,0,0,0,5,20,1,1,7,3,2,0,13,,0.5,0.36,12.5,66.7
小濱ゆみ,パイオニアレッドウィングス,12,35,33,8,45,1,0,0,0.0,0.0,0,0,0,0,29,0,4,8,1,0,0,0,,0.0,0.0,3.4,0.0
小菅真弓,岡山シーガルズ,41,39,38,10,39,1,1,0,100.0,100.0,0,0,0,1,27,0,0,5,1,0,0,2,,0.03,0.03,4.6,0.0
小酒翔子,JTマーヴェラス,11,42,59,10,14,0,0,0,,,0,0,0,0,19,1,0,7,3,0,0,1,,0.0,0.0,14.5,0.0
山中綾乃,武富士バンブー,23,5,7,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
山口舞,岡山シーガルズ,2,52,55,13,107,799,313,25,39.2,36.0,3,0,1,36,366,2,12,66,412,271,0,351,0.0,2.93,0.34,4.2,65.8
山本友里恵,日立リヴァーレ,10,1,6,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
山本愛,久光製薬スプリングス,3,65,43,19,106,586,233,22,39.8,36.0,1,1,0,60,352,10,30,135,7,6,0,303,100.0,2.2,0.57,10.3,85.7
山本陽子,トヨタ車体クインシーズ,3,54,49,13,65,101,40,7,39.6,32.7,0,0,0,12,199,5,9,62,11,7,0,57,,0.62,0.18,9.2,63.6
岡野弘子,岡山シーガルズ,15,52,55,13,106,26,10,1,38.5,34.6,0,0,0,17,332,7,4,97,3,0,0,34,,0.09,0.16,9.1,0.0
岡野知子,デンソーエアリービーズ,5,58,45,16,102,928,307,37,33.1,29.1,0,0,0,34,286,6,13,75,539,376,0,347,,3.01,0.33,7.5,69.8
嶋田美樹,日立リヴァーレ,14,16,81,0,86,301,106,18,35.2,29.2,0,0,0,43,231,7,13,53,34,18,0,156,,1.23,0.5,7.4,52.9
川井梅香,岡山シーガルズ,25,12,13,3,5,16,5,1,31.2,25.0,0,0,0,0,6,0,0,1,2,2,0,5,,1.0,0.0,4.2,100.0
川原愛璃,日立リヴァーレ,11,1,6,0,4,2,0,0,0.0,0.0,0,0,0,0,10,0,0,3,7,4,0,0,,0.0,0.0,7.5,57.1
川原麻実,JTマーヴェラス,19,39,59,9,36,107,34,6,31.8,26.2,14,5,0,2,54,4,2,17,4,3,0,40,35.7,0.94,0.06,14.4,75.0
川島亜依美,岡山シーガルズ,28,0,3,0,1,2,0,0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,
川畑愛希,岡山シーガルズ,8,51,52,13,64,154,46,10,29.9,23.4,1,0,1,4,130,4,1,27,122,61,0,54,0.0,0.72,0.06,8.1,50.0
平井真栄,武富士バンブー,11,46,50,12,57,1,0,0,0.0,0.0,0,0,0,0,60,1,1,7,0,0,0,1,,0.0,0.0,4.2,
平井香菜子,久光製薬スプリングス,9,65,43,19,54,224,96,17,42.9,35.3,0,0,0,23,139,3,7,41,4,3,0,122,,1.78,0.43,8.3,75.0
庄司夕起,パイオニアレッドウィングス,4,54,53,13,107,452,156,22,34.5,29.6,1,0,0,76,366,10,15,111,63,34,0,242,0.0,1.46,0.71,9.3,54.0
座安琴希,久光製薬スプリングス,19,65,43,19,69,0,0,0,,,0,0,0,0,1,0,0,0,113,82,0,0,,0.0,0.0,0.0,72.6
張越紅,東レアローズ,9,68,38,20,106,1302,554,67,42.5,37.4,123,43,15,32,340,13,49,70,15,11,0,599,35.0,5.23,0.3,5.4,73.3
成田郁久美,NECレッドロケッツ,6,62,40,18,99,0,0,0,,,0,0,0,0,0,0,0,0,513,378,0,0,,0.0,0.0,,73.7
戸崎琴美,日立リヴァーレ,22,16,81,0,23,54,18,2,33.3,29.6,0,0,0,5,43,2,1,17,5,4,0,25,,0.78,0.22,14.0,80.0
新垣麻衣,トヨタ車体クインシーズ,10,6,2,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
日高奈津実,トヨタ車体クインシーズ,8,14,23,2,5,3,2,0,66.7,66.7,0,0,0,0,4,0,0,1,0,0,0,2,,0.4,0.0,6.2,
有田沙織,NECレッドロケッツ,9,54,25,16,64,198,77,11,38.9,33.3,19,4,3,5,60,1,5,28,8,6,0,83,21.1,1.2,0.08,11.2,75.0
服部安佑香,武富士バンブー,12,49,54,13,91,559,185,38,33.1,26.3,12,1,3,22,295,10,16,94,405,238,0,217,8.3,2.03,0.24,10.0,58.8
服部鮎弥,トヨタ車体クインシーズ,16,54,52,13,61,243,83,13,34.2,28.8,0,0,0,3,107,4,7,26,242,156,0,90,,1.36,0.05,8.2,64.5
木村沙織,東レアローズ,10,68,38,20,106,1243,413,91,33.2,25.9,137,37,15,40,380,22,28,117,795,562,0,475,27.0,3.9,0.38,11.6,70.7
本田つばさ,デンソーエアリービーズ,22,56,42,16,81,0,0,0,,,0,0,0,0,128,13,26,28,0,0,0,13,,0.0,0.0,10.5,
杉山祥子,NECレッドロケッツ,2,62,40,18,99,571,259,28,45.4,40.5,1,0,0,82,223,2,14,35,14,9,0,343,0.0,2.62,0.83,3.3,64.3
杉本早希,パイオニアレッドウィングス,2,30,32,7,4,16,3,1,18.8,12.5,0,0,0,0,8,1,2,2,15,7,0,4,,0.75,0.0,12.5,46.7
村田奈都美,岡山シーガルズ,12,52,55,13,86,815,249,42,30.6,25.4,1,0,0,15,252,6,38,41,173,106,0,270,0.0,2.9,0.17,2.7,61.3
東山由香,東レアローズ,8,13,8,3,4,0,0,0,,,0,0,0,0,6,0,0,1,0,0,0,0,,0.0,0.0,4.2,
東谷幸子,岡山シーガルズ,9,1,3,0,3,1,0,0,0.0,0.0,0,0,0,0,3,0,0,0,3,0,0,0,,0.0,0.0,0.0,0.0
松崎さ代子,NECレッドロケッツ,4,62,40,18,95,363,151,23,41.6,35.3,21,5,4,47,360,17,37,115,35,28,0,215,23.8,1.59,0.49,10.1,80.0
松浦麻琴,日立リヴァーレ,5,2,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
板橋恵,日立リヴァーレ,2,16,81,0,72,17,7,0,41.2,41.2,1,0,0,10,205,5,15,66,1,0,0,22,0.0,0.1,0.14,8.7,0.0
栗原恵,パイオニアレッドウィングス,1,54,53,13,102,943,316,58,33.5,27.4,142,45,13,38,374,30,39,125,783,487,0,384,31.7,3.1,0.37,13.8,62.2
梅尾千草,トヨタ車体クインシーズ,9,36,36,9,5,0,0,0,,,0,0,0,0,5,0,0,2,0,0,0,0,,0.0,0.0,10.0,
森和代,岡山シーガルズ,21,52,55,13,107,854,331,31,38.8,35.1,5,1,1,80,364,4,17,85,237,136,0,415,20.0,3.09,0.75,5.8,57.4
榛澤舞子,久光製薬スプリングス,2,17,16,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
横山雅美,デンソーエアリービーズ,6,52,36,15,78,34,16,1,47.1,44.1,1,0,0,24,323,2,5,44,5,0,0,42,0.0,0.21,0.31,3.6,0.0
橋本直子,久光製薬スプリングス,17,56,33,17,89,32,12,2,37.5,31.2,0,0,0,9,351,13,18,99,2,0,0,34,,0.13,0.1,9.5,0.0
櫻井由香,デンソーエアリービーズ,9,58,45,16,87,0,0,0,,,0,0,0,0,70,0,0,19,178,129,0,0,,0.0,0.0,6.8,72.5
江畑幸子,日立リヴァーレ,20,8,60,0,38,199,60,20,30.2,20.1,10,2,2,2,42,2,5,12,39,16,0,64,20.0,1.58,0.05,8.9,41.0
池浦文香,武富士バンブー,6,40,47,10,20,33,9,4,27.3,15.2,0,0,0,1,6,0,1,1,6,4,0,10,,0.45,0.05,0.0,66.7
河合由貴,JTマーヴェラス,18,30,43,7,24,4,1,0,25.0,25.0,0,0,0,0,43,1,1,12,1,0,0,2,,0.04,0.0,8.7,0.0
河村聖子,JTマーヴェラス,10,36,47,9,40,16,5,1,31.2,25.0,3,2,1,6,125,1,4,29,0,0,0,12,66.7,0.12,0.15,5.8,
泉夏子,NECレッドロケッツ,17,13,15,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
浅津ゆうこ,久光製薬スプリングス,16,27,17,8,4,16,3,3,18.8,0.0,11,1,3,0,5,1,0,3,0,0,0,4,9.1,0.75,0.0,35.0,
深川和那,NECレッドロケッツ,16,57,37,17,41,12,4,0,33.3,33.3,0,0,0,0,65,2,7,19,0,0,0,6,,0.1,0.0,7.7,
渡邊絢子,NECレッドロケッツ,8,62,40,18,32,19,5,3,26.3,10.5,1,0,0,0,36,0,3,5,84,52,0,5,0.0,0.16,0.0,1.4,61.9
滝沢ななえ,パイオニアレッドウィングス,25,54,53,13,89,0,0,0,,,0,0,0,0,108,3,5,29,144,98,0,3,,0.0,0.0,8.3,68.1
澁澤夏美,NECレッドロケッツ,20,62,40,18,34,165,50,12,30.3,23.0,7,1,2,6,56,1,10,15,99,43,0,57,14.3,1.47,0.18,4.0,43.4
澤畠文子,武富士バンブー,3,49,54,13,35,35,10,2,28.6,22.9,1,0,0,2,11,0,0,4,38,28,0,12,0.0,0.29,0.06,9.1,73.7
濱口華菜里,東レアローズ,5,68,38,20,106,0,0,0,,,0,0,0,0,0,0,0,0,503,356,0,0,,0.0,0.0,,70.8
瀬尾有耶,岡山シーガルズ,29,4,6,1,3,0,0,0,,,0,0,0,0,1,0,0,0,1,1,0,0,,0.0,0.0,0.0,100.0
片下恭子,デンソーエアリービーズ,16,58,45,16,97,0,0,0,,,0,0,0,0,9,0,0,4,468,343,0,0,,0.0,0.0,11.1,73.3
狩野美雪,久光製薬スプリングス,7,11,11,3,7,0,0,0,,,0,0,0,0,9,0,0,3,0,0,0,0,,0.0,0.0,8.3,
狩野舞子,久光製薬スプリングス,6,45,31,13,72,492,174,41,35.4,27.0,112,31,15,22,246,15,19,71,154,113,0,211,27.7,2.42,0.31,11.4,73.4
田原知奈,トヨタ車体クインシーズ,18,6,7,1,10,0,0,0,,,0,0,0,0,10,0,1,2,0,0,0,0,,0.0,0.0,2.5,
田原香理,日立リヴァーレ,13,16,81,0,97,452,158,36,35.0,27.0,0,0,0,39,268,12,19,72,17,9,0,209,,1.63,0.4,9.4,52.9
田向友美,武富士バンブー,13,49,54,13,38,0,0,0,,,0,0,0,0,31,0,6,12,15,13,0,0,,0.0,0.0,4.8,86.7
眞恵子,デンソーエアリービーズ,1,53,42,15,24,70,17,5,24.3,17.1,0,0,0,5,23,0,2,10,31,20,0,22,,0.71,0.21,8.7,64.5
矢野美子,デンソーエアリービーズ,2,58,45,16,103,334,151,12,45.2,41.6,1,0,0,59,375,14,20,97,5,3,0,224,0.0,1.47,0.57,8.9,60.0
石井美樹,久光製薬スプリングス,18,65,43,19,88,45,16,1,35.6,33.3,1,1,0,0,155,7,9,62,53,36,0,23,100.0,0.18,0.0,13.1,67.9
石川友紀,武富士バンブー,8,49,54,13,103,632,253,19,40.0,37.0,0,0,0,63,345,9,17,89,15,11,0,325,,2.46,0.61,7.8,73.3
石田小枝,日立リヴァーレ,6,2,9,0,1,4,1,0,25.0,25.0,0,0,0,0,0,0,0,0,2,1,0,1,,1.0,0.0,,50.0
石田瑞穂,武富士バンブー,22,49,54,13,94,1076,337,88,31.3,23.1,248,79,25,25,268,13,24,58,285,169,0,375,31.9,3.59,0.27,8.0,59.3
砂田遥,武富士バンブー,18,22,19,7,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
神本千佳,JTマーヴェラス,16,7,6,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
神田千絵,岡山シーガルズ,7,51,52,13,46,238,66,11,27.7,23.1,2,0,0,8,50,0,4,19,16,8,0,74,0.0,1.43,0.17,7.5,50.0
福田舞,デンソーエアリービーズ,3,58,45,16,11,92,38,3,41.3,38.0,0,0,0,4,42,1,5,10,5,2,0,43,,3.45,0.36,5.4,40.0
秋山美幸,NECレッドロケッツ,10,62,40,18,97,35,18,0,51.4,51.4,0,0,0,11,338,17,22,108,5,1,0,46,,0.19,0.11,11.4,20.0
竹下佳江,JTマーヴェラス,7,26,37,7,63,10,6,1,60.0,50.0,0,0,0,8,235,9,7,58,1,0,0,23,,0.1,0.13,9.3,0.0
竹内沙耶歌,NECレッドロケッツ,19,62,40,18,20,29,13,2,44.8,37.9,1,1,0,3,36,1,4,11,1,1,0,17,100.0,0.65,0.15,7.6,100.0
筒井視穂子,久光製薬スプリングス,12,65,43,19,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
筒渕輝恵,NECレッドロケッツ,12,62,40,18,40,5,2,0,40.0,40.0,0,0,0,0,41,4,5,11,1,0,0,6,,0.05,0.0,13.4,0.0
築地保奈美,東レアローズ,17,65,38,19,54,119,35,10,29.4,21.0,0,0,0,12,112,2,10,41,2,1,0,49,,0.65,0.22,8.7,50.0
米村信子,岡山シーガルズ,3,31,22,9,43,369,110,15,29.8,25.7,0,0,0,13,127,0,0,28,178,138,0,123,,2.56,0.3,5.5,77.5
細川麻美,パイオニアレッドウィングス,15,54,53,13,93,424,175,28,41.3,34.7,0,0,0,14,295,17,26,109,381,224,0,206,,1.88,0.15,12.8,58.8
細田絵理,デンソーエアリービーズ,4,58,45,16,102,915,274,40,29.9,25.6,2,1,0,39,435,22,34,129,622,402,0,335,50.0,2.69,0.38,10.5,64.6
羽根翠,トヨタ車体クインシーズ,5,54,52,13,98,563,218,28,38.7,33.7,1,0,0,62,309,13,13,102,35,28,0,293,0.0,2.22,0.63,11.4,80.0
船崎恵視,トヨタ車体クインシーズ,4,54,52,13,106,34,13,1,38.2,35.3,1,1,0,16,343,11,20,113,4,0,0,40,100.0,0.12,0.15,10.0,0.0
芝田安希,東レアローズ,1,68,38,20,104,660,258,26,39.1,35.2,19,5,1,42,347,17,16,114,546,365,0,317,26.3,2.48,0.4,12.0,66.8
芦野李沙,パイオニアレッドウィングス,19,54,53,13,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
若浦貴子,岡山シーガルズ,33,52,55,13,101,1181,319,70,27.0,21.1,0,0,0,36,270,2,7,27,118,78,0,357,,3.16,0.36,2.6,66.1
藤井舞,デンソーエアリービーズ,17,33,20,10,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
藤原亜紀,トヨタ車体クインシーズ,14,16,13,4,3,11,2,3,18.2,-9.1,0,0,0,0,2,0,1,1,2,2,0,2,,0.67,0.0,0.0,100.0
藤崎朱里,日立リヴァーレ,9,15,75,0,50,151,61,10,40.4,33.8,8,3,2,5,102,5,4,40,104,62,0,71,37.5,1.22,0.1,13.7,59.6
西山慶樹,JTマーヴェラス,12,20,27,5,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
西山由樹,JTマーヴェラス,6,42,59,10,51,173,59,24,34.1,20.2,0,0,0,19,130,10,31,24,7,4,0,88,,1.16,0.37,6.3,57.1
西脇万里子,東レアローズ,2,68,38,20,103,438,201,26,45.9,40.0,1,0,0,27,281,11,19,98,9,4,0,239,0.0,1.95,0.26,10.9,44.4
谷口雅美,JTマーヴェラス,2,41,56,10,97,1072,418,63,39.0,33.1,200,66,21,39,285,8,18,100,188,111,0,465,33.0,4.31,0.4,10.0,59.0
足立留美,武富士バンブー,5,49,54,13,102,392,122,26,31.1,24.5,10,3,2,9,251,10,18,114,170,102,0,141,30.0,1.2,0.09,13.5,60.0
迫田さおり,東レアローズ,14,68,38,20,25,37,8,4,21.6,10.8,15,3,3,3,27,1,2,8,1,1,0,12,20.0,0.32,0.12,9.3,100.0
遠井萌仁,日立リヴァーレ,12,16,81,0,33,76,15,10,19.7,6.6,7,0,1,0,25,1,3,5,58,38,0,16,0.0,0.45,0.0,6.0,65.5
遠藤りつこ,JTマーヴェラス,14,19,22,4,11,0,0,0,,,0,0,0,0,16,0,1,5,0,0,0,0,,0.0,0.0,6.2,
都築有美子,トヨタ車体クインシーズ,1,54,52,13,106,959,346,57,36.1,30.1,3,1,0,36,417,16,29,152,632,474,0,398,33.3,3.26,0.34,11.2,75.0
野村まり,岡山シーガルズ,4,48,48,12,22,20,11,1,55.0,50.0,0,0,0,6,17,0,0,3,0,0,0,17,,0.5,0.27,4.4,
金子美里,武富士バンブー,2,45,47,12,5,4,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
金子雅代,トヨタ車体クインシーズ,13,26,33,5,7,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
金森純子,岡山シーガルズ,18,52,55,13,60,0,0,0,,,0,0,0,0,30,0,0,7,110,70,0,0,,0.0,0.0,5.8,63.6
鈴木裕子,デンソーエアリービーズ,20,56,42,16,28,11,1,0,9.1,9.1,0,0,0,9,83,1,4,19,0,0,0,11,,0.04,0.32,5.7,
関李香,デンソーエアリービーズ,11,14,16,3,6,9,4,0,44.4,44.4,0,0,0,0,3,0,0,0,0,0,0,4,,0.67,0.0,0.0,
香野晶子,パイオニアレッドウィングス,23,20,19,5,3,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
高島成美,日立リヴァーレ,16,16,81,0,77,496,142,25,28.6,23.6,2,0,0,16,208,11,24,75,465,253,0,169,0.0,1.84,0.21,11.4,54.4
高木理江,JTマーヴェラス,8,42,59,10,80,41,12,2,29.3,24.4,0,0,0,4,117,6,11,38,129,76,0,22,,0.15,0.05,10.9,58.9
