名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
本田つばさ,2009-04,デンソーエアリービーズ,22,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
杉山祥子,2009-04,NECレッドロケッツ,2,5,25,8,2,32.0,24.0,0,0,0,6,11,0,0,1,0,0,0,14,,1.6,1.2,2.3,
松崎さ代子,2009-04,NECレッドロケッツ,4,5,30,12,2,40.0,33.3,1,0,1,3,19,0,2,8,0,0,0,15,0.0,2.4,0.6,7.9,
横山雅美,2009-04,デンソーエアリービーズ,6,5,0,0,0,,,0,0,0,4,13,0,1,4,0,0,0,4,,0.0,0.8,5.8,
橋本直子,2009-04,久光製薬スプリングス,17,3,2,0,1,0.0,-50.0,0,0,0,0,13,0,1,4,0,0,0,0,,0.0,0.0,5.8,
櫻井由香,2009-04,デンソーエアリービーズ,9,4,0,0,0,,,0,0,0,0,2,0,0,0,5,3,0,0,,0.0,0.0,0.0,60.0
渡邊絢子,2009-04,NECレッドロケッツ,8,4,0,0,0,,,0,0,0,0,0,0,0,0,10,7,0,0,,0.0,0.0,,70.0
澁澤夏美,2009-04,NECレッドロケッツ,20,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
濱口華菜里,2009-04,東レアローズ,5,3,0,0,0,,,0,0,0,0,0,0,0,0,13,7,0,0,,0.0,0.0,,53.8
片下恭子,2009-04,デンソーエアリービーズ,16,5,0,0,0,,,0,0,0,0,0,0,0,0,27,21,0,0,,0.0,0.0,,77.8
狩野舞子,2009-04,久光製薬スプリングス,6,3,35,12,4,34.3,22.9,13,4,3,0,7,0,2,2,7,4,0,12,30.8,4.0,0.0,0.0,57.1
眞恵子,2009-04,デンソーエアリービーズ,1,3,1,1,0,100.0,100.0,0,0,0,0,2,0,0,1,6,1,0,1,,0.33,0.0,12.5,16.7
矢野美子,2009-04,デンソーエアリービーズ,2,5,22,10,0,45.5,45.5,0,0,0,2,19,0,1,5,3,3,0,12,,2.0,0.4,5.3,100.0
石井美樹,2009-04,久光製薬スプリングス,18,1,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,0,,0.0,0.0,25.0,
福田舞,2009-04,デンソーエアリービーズ,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
秋山美幸,2009-04,NECレッドロケッツ,10,5,2,1,0,50.0,50.0,0,0,0,1,18,1,1,10,0,0,0,3,,0.2,0.2,18.1,
竹内沙耶歌,2009-04,NECレッドロケッツ,19,1,2,0,1,0.0,-50.0,0,0,0,0,3,0,0,2,0,0,0,0,,0.0,0.0,16.7,
筒井視穂子,2009-04,久光製薬スプリングス,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
筒渕輝恵,2009-04,NECレッドロケッツ,12,4,0,0,0,,,0,0,0,0,5,0,0,2,0,0,0,0,,0.0,0.0,10.0,
築地保奈美,2009-04,東レアローズ,17,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
細田絵理,2009-04,デンソーエアリービーズ,4,5,51,17,1,33.3,31.4,0,0,0,6,16,0,1,7,31,13,0,23,,3.4,1.2,9.4,41.9
芝田安希,2009-04,東レアローズ,1,3,16,7,1,43.8,37.5,0,0,0,1,6,0,1,1,3,2,0,8,,2.33,0.33,0.0,66.7
西脇万里子,2009-04,東レアローズ,2,3,9,4,0,44.4,44.4,0,0,0,1,7,0,0,4,0,0,0,5,,1.33,0.33,14.3,
迫田さおり,2009-04,東レアローズ,14,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
鈴木裕子,2009-04,デンソーエアリービーズ,20,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
高橋みゆき,2009-04,NECレッドロケッツ,1,5,36,14,3,38.9,30.6,0,0,0,1,25,1,2,5,30,22,0,16,,2.8,0.2,7.0,73.3
高田ありさ,2009-04,東レアローズ,12,3,0,0,0,,,0,0,0,0,3,0,0,0,5,2,0,0,,0.0,0.0,0.0,40.0
