名前,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
大浦坂健太,ヴィアティン三重,12,14,19,3,33,0,0,0,,,0,0,0,0,0,0,0,0,134,77,30,0,,0.0,0.0,,68.7
大賀惠介,きんでんトリニティーブリッツ,5,8,25,1,13,0,0,0,,,0,0,0,0,6,0,0,0,25,10,10,0,,0.0,0.0,0.0,60.0
奈琳剣,東京ヴェルディ,19,3,13,1,10,0,0,0,,,0,0,0,0,15,2,4,4,0,0,0,2,,0.0,0.0,13.3,
奥田基嗣,サフィルヴァ北海道,4,9,25,2,34,115,61,5,53.0,48.7,0,0,0,9,84,2,19,16,4,2,1,72,,1.79,0.26,1.5,62.5
奥田晃,兵庫デルフィーノ,22,7,29,1,25,0,0,0,,,0,0,0,3,12,0,0,1,0,0,0,3,,0.0,0.12,2.1,
安田瑛亮,ヴィアティン三重,16,8,18,1,20,92,42,11,45.7,33.7,2,1,0,3,72,6,25,14,215,119,58,51,50.0,2.1,0.15,4.5,68.8
宮田航輔,東京ヴェルディ,4,19,22,6,41,0,0,0,,,0,0,0,0,0,0,0,0,79,27,28,0,,0.0,0.0,,51.9
家近滉一,ヴォレアス北海道,5,30,6,10,20,85,48,8,56.5,47.1,10,5,2,5,85,5,14,27,124,58,30,58,50.0,2.4,0.25,9.7,58.9
寺尾壮太,大同特殊鋼レッドスター,18,16,12,5,27,184,78,15,42.4,34.2,48,19,4,6,69,1,16,12,0,0,0,85,39.6,2.89,0.22,0.0,
小堀優,埼玉アザレア,16,11,11,3,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
小島大輝,埼玉アザレア,13,11,10,3,11,27,9,3,33.3,22.2,0,0,0,2,34,2,0,3,2,1,0,13,,0.82,0.18,8.1,50.0
小松一哉,東京ヴェルディ,2,19,22,6,40,256,92,30,35.9,24.2,42,15,5,16,143,0,13,10,247,93,70,108,35.7,2.3,0.4,-0.5,51.8
小林慎平,富士通カワサキレッドスピリッツ,6,33,2,11,35,0,0,0,,,0,0,0,0,0,0,0,0,113,73,26,0,,0.0,0.0,,76.1
小林洸,サフィルヴァ北海道,9,8,16,2,16,9,2,1,22.2,11.1,0,0,0,0,19,0,7,5,11,4,3,2,,0.12,0.0,-2.6,50.0
小林空,きんでんトリニティーブリッツ,21,1,3,0,3,20,7,1,35.0,30.0,4,1,0,1,12,2,1,4,0,0,0,10,25.0,2.33,0.33,22.9,
尾木将,富士通カワサキレッドスピリッツ,19,33,2,11,23,3,2,0,66.7,66.7,0,0,0,1,36,3,7,10,9,4,2,6,,0.09,0.04,10.4,55.6
尾松航洋,きんでんトリニティーブリッツ,2,5,10,1,13,0,0,0,,,0,0,0,0,19,1,4,3,0,0,0,1,,0.0,0.0,3.9,
山下道生,東京ヴェルディ,14,19,22,6,34,98,42,5,42.9,37.8,0,0,0,15,94,3,17,24,5,1,1,60,,1.24,0.44,5.1,30.0
山口功太郎,ヴォレアス北海道,2,24,5,8,11,0,0,0,,,0,0,0,0,2,0,1,0,0,0,0,0,,0.0,0.0,-12.5,
山口拓馬,サフィルヴァ北海道,14,6,25,1,16,69,27,7,39.1,29.0,23,6,5,0,33,0,9,7,0,0,0,27,26.1,1.69,0.0,-1.5,
山本寛生,きんでんトリニティーブリッツ,16,5,7,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
山本慎人,きんでんトリニティーブリッツ,20,2,15,0,4,0,0,0,,,0,0,0,0,4,0,0,2,0,0,0,0,,0.0,0.0,12.5,
山田広大,長野GaRons,12,20,15,6,35,0,0,0,,,0,0,0,0,0,0,0,0,170,86,41,0,,0.0,0.0,,62.6
岡本侑,きんでんトリニティーブリッツ,1,8,25,1,32,237,102,20,43.0,34.6,74,36,7,5,100,6,28,23,38,21,8,113,48.6,3.19,0.16,4.8,65.8
岡村義郎,富士通カワサキレッドスピリッツ,10,30,2,10,13,38,19,0,50.0,50.0,0,0,0,10,43,0,4,9,6,5,1,29,,1.46,0.77,2.9,91.7
島波輝,ヴィアティン三重,73,6,6,1,11,83,39,6,47.0,39.8,30,14,2,6,34,1,2,6,9,1,4,46,46.7,3.55,0.55,5.9,33.3
嶋田希隆,大同特殊鋼レッドスター,11,17,15,5,12,0,0,0,,,0,0,0,0,0,0,0,0,26,12,6,0,,0.0,0.0,,57.7
川副大海,埼玉アザレア,12,8,11,2,2,3,0,1,0.0,-33.3,0,0,0,0,3,0,1,0,5,2,1,0,,0.0,0.0,-8.3,50.0
川崎翔太,埼玉アザレア,1,14,11,4,25,0,0,0,,,0,0,0,0,0,0,0,0,93,47,17,0,,0.0,0.0,,59.7
川畑貴裕,埼玉アザレア,10,14,11,4,14,62,26,8,41.9,29.0,2,0,1,0,42,0,5,7,44,17,7,26,0.0,1.86,0.0,1.2,46.6
平野晃多,大同特殊鋼レッドスター,5,1,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
庄司練,きんでんトリニティーブリッツ,6,6,19,1,16,56,26,6,46.4,35.7,0,0,0,5,30,1,12,5,1,0,0,32,,1.62,0.31,-2.5,0.0
廣瀬優希,つくばユナイテッドSunGAIA,5,19,21,5,26,120,61,18,50.8,35.8,0,0,0,22,71,4,20,14,0,0,0,87,,2.35,0.85,3.5,
張育陞,ヴォレアス北海道,14,30,6,10,28,228,127,17,55.7,48.2,105,67,9,11,115,19,27,37,0,0,0,157,63.8,4.54,0.39,18.7,
後藤万澄,ヴォレアス北海道,18,30,6,10,22,47,27,0,57.4,57.4,0,0,0,8,74,3,8,21,0,0,0,38,,1.23,0.36,8.4,
後藤滉貴,富士通カワサキレッドスピリッツ,8,18,2,6,18,1,1,0,100.0,100.0,1,1,0,0,22,0,7,3,0,0,0,1,100.0,0.06,0.0,-4.5,
志波京介,富士通カワサキレッドスピリッツ,20,33,2,11,8,1,1,0,100.0,100.0,0,0,0,1,13,0,0,5,0,0,0,2,,0.12,0.12,9.6,
戸田拓也,ヴォレアス北海道,20,30,6,10,19,87,35,12,40.2,26.4,7,2,2,4,74,5,23,24,133,67,35,44,28.6,1.84,0.21,7.1,63.5
手塚奨,富士通カワサキレッドスピリッツ,9,15,0,5,11,2,1,1,50.0,0.0,0,0,0,0,18,0,1,5,1,1,0,1,,0.09,0.0,5.6,100.0
新垣東麻,つくばユナイテッドSunGAIA,13,19,21,5,21,0,0,0,,,0,0,0,0,0,0,0,0,61,30,14,0,,0.0,0.0,,60.7
新谷俊揮,きんでんトリニティーブリッツ,12,1,3,0,1,0,0,0,,,0,0,0,0,1,0,1,0,1,0,0,0,,0.0,0.0,-25.0,0.0
春藤洸介,ヴィアティン三重,7,3,0,1,2,20,10,0,50.0,50.0,8,4,0,2,7,0,2,2,0,0,0,12,50.0,5.0,1.0,0.0,
曹海倫,つくばユナイテッドSunGAIA,8,19,21,5,31,67,33,4,49.3,43.3,1,0,1,11,55,2,14,17,5,5,0,46,0.0,1.06,0.35,5.0,100.0
曽田一也,つくばユナイテッドSunGAIA,23,19,21,5,40,120,41,12,34.2,24.2,0,0,0,2,150,1,17,24,257,133,62,44,,1.02,0.05,1.8,63.8
曾根裕也,長野GaRons,15,20,12,6,19,19,8,1,42.1,36.8,0,0,0,1,0,0,0,0,0,0,0,9,,0.42,0.05,,
本澤凌斗,ヴォレアス北海道,6,30,6,10,19,8,5,0,62.5,62.5,0,0,0,3,75,6,20,27,0,0,0,14,,0.26,0.16,10.3,
松下祐太,長野GaRons,6,20,15,6,32,20,9,2,45.0,35.0,0,0,0,0,17,1,4,3,77,32,23,10,,0.28,0.0,4.4,56.5
松坂洸汰,富士通カワサキレッドスピリッツ,2,24,2,8,6,21,9,2,42.9,33.3,0,0,0,4,15,1,5,3,0,0,0,14,,1.5,0.67,3.3,
松永崚汰,ヴィアティン三重,5,10,10,2,5,7,1,0,14.3,14.3,0,0,0,0,8,0,4,0,24,7,9,1,,0.2,0.0,-12.5,47.9
松浦孝平,きんでんトリニティーブリッツ,22,2,12,0,12,0,0,0,,,0,0,0,0,13,2,1,3,6,3,1,2,,0.0,0.0,19.2,58.3
松田康河,つくばユナイテッドSunGAIA,16,12,14,3,7,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
林優作,兵庫デルフィーノ,14,5,23,1,5,3,2,0,66.7,66.7,1,0,0,2,7,0,3,1,0,0,0,4,0.0,0.4,0.4,-7.1,
柏田樹,サフィルヴァ北海道,22,9,25,2,34,117,60,7,51.3,45.3,0,0,0,17,120,2,17,27,13,11,1,79,,1.76,0.5,3.8,88.5
柳生大成,長野GaRons,10,20,15,6,7,2,0,0,0.0,0.0,0,0,0,2,8,0,2,0,0,0,0,2,,0.0,0.29,-6.2,
柳田百織,富士通カワサキレッドスピリッツ,4,33,2,11,32,269,148,21,55.0,47.2,108,56,16,12,125,4,12,32,5,5,0,164,51.9,4.62,0.38,7.2,100.0
柿崎充,サフィルヴァ北海道,21,6,21,1,27,224,95,24,42.4,31.7,92,34,15,8,94,5,31,23,0,0,0,108,37.0,3.52,0.3,3.2,
桝谷周呈,サフィルヴァ北海道,16,9,25,2,34,0,0,0,,,0,0,0,0,0,0,0,0,11,2,1,0,,0.0,0.0,,22.7
森元貴哉,サフィルヴァ北海道,17,8,19,2,27,164,67,11,40.9,34.1,25,7,4,15,87,3,18,30,166,65,44,85,28.0,2.48,0.56,6.9,52.4
森田凌雅,埼玉アザレア,14,10,4,3,8,48,26,5,54.2,43.8,5,2,1,4,25,1,4,6,49,20,11,31,40.0,3.25,0.5,6.0,52.0
森陽希,大同特殊鋼レッドスター,8,17,15,5,16,19,9,0,47.4,47.4,0,0,0,1,10,1,1,1,0,0,0,11,,0.56,0.06,10.0,
毛利光生,きんでんトリニティーブリッツ,11,8,25,1,33,18,6,2,33.3,22.2,1,0,0,5,112,3,8,32,0,0,0,14,0.0,0.18,0.15,8.0,
河西孔明,サフィルヴァ北海道,15,0,3,0,1,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
河西智洋,サフィルヴァ北海道,3,9,25,2,22,74,26,7,35.1,25.7,3,1,1,3,32,0,19,4,97,27,32,29,33.3,1.18,0.14,-11.7,44.3
河野祥侑,東京ヴェルディ,5,19,16,6,3,1,0,0,0.0,0.0,0,0,0,0,4,0,0,0,0,0,0,0,,0.0,0.0,0.0,
津田大地,大同特殊鋼レッドスター,7,17,15,5,23,102,41,12,40.2,28.4,4,3,0,0,68,1,9,11,139,68,44,42,75.0,1.78,0.0,2.2,64.7
浅田潮,長野GaRons,5,20,12,6,31,252,84,20,33.3,25.4,0,0,0,21,115,2,20,21,90,25,22,107,,2.71,0.68,2.0,40.0
浅草大燿,兵庫デルフィーノ,6,6,23,1,25,99,35,11,35.4,24.2,4,1,1,5,53,1,19,8,79,25,28,41,25.0,1.4,0.2,-3.3,49.4
浅野卓雅,富士通カワサキレッドスピリッツ,11,33,2,11,30,190,97,21,51.1,40.0,30,16,6,9,113,2,18,24,188,88,54,108,53.3,3.23,0.3,3.1,61.2
浜崎勇矢,つくばユナイテッドSunGAIA,2,19,21,5,29,21,8,2,38.1,28.6,1,0,0,1,82,1,7,17,1,0,0,10,0.0,0.28,0.03,4.3,0.0
浜田翔太,埼玉アザレア,6,14,11,4,24,28,7,5,25.0,7.1,2,0,0,12,72,0,8,12,10,2,3,19,0.0,0.29,0.5,1.4,35.0
清水久雄,サフィルヴァ北海道,8,6,15,1,7,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,0,,0.0,0.0,25.0,
清水遼,大同特殊鋼レッドスター,15,17,15,5,9,26,5,5,19.2,0.0,5,1,2,1,25,3,9,6,0,0,0,9,20.0,0.56,0.11,9.0,
渡辺俊介,ヴォレアス北海道,8,3,0,1,3,0,0,0,,,0,0,0,0,0,0,0,0,12,9,3,0,,0.0,0.0,,87.5
渡辺周馬,東京ヴェルディ,26,19,16,6,35,153,74,4,48.4,45.8,1,0,0,24,82,1,3,22,7,2,4,99,0.0,2.11,0.69,7.0,57.1
渡邊和馬,大同特殊鋼レッドスター,2,17,15,5,20,0,0,0,,,0,0,0,0,32,0,1,4,0,0,0,0,,0.0,0.0,2.3,
渡部勇人,長野GaRons,4,20,15,6,32,4,2,0,50.0,50.0,0,0,0,3,88,2,1,12,1,0,0,7,,0.06,0.09,5.4,0.0
満生大輝,つくばユナイテッドSunGAIA,20,13,11,4,12,67,30,8,44.8,32.8,9,4,2,2,36,1,11,10,74,45,9,33,44.4,2.5,0.17,2.1,66.9
澁谷杜斗,兵庫デルフィーノ,11,5,26,1,30,136,52,15,38.2,27.2,7,0,4,5,95,4,11,14,152,41,52,61,0.0,1.73,0.17,5.0,44.1
澤瑞貴,東京ヴェルディ,12,19,22,6,38,194,87,24,44.8,32.5,37,14,5,13,127,4,23,31,293,117,85,104,37.8,2.29,0.34,4.7,54.4
濱田英寿,つくばユナイテッドSunGAIA,11,6,1,2,6,0,0,0,,,0,0,0,0,0,0,0,0,9,6,1,0,,0.0,0.0,,72.2
瀧澤陽紀,つくばユナイテッドSunGAIA,6,19,21,5,36,201,91,11,45.3,39.8,27,13,3,8,127,3,22,37,173,79,55,102,48.1,2.53,0.22,5.3,61.6
熊谷勇人,東京ヴェルディ,11,0,6,0,2,0,0,0,,,0,0,0,0,5,0,0,1,0,0,0,0,,0.0,0.0,5.0,
猪岡恭平,兵庫デルフィーノ,12,7,29,1,26,0,0,0,,,0,0,0,0,1,0,0,0,74,26,22,0,,0.0,0.0,0.0,50.0
玉嶋佑樹,兵庫デルフィーノ,9,1,18,0,5,0,0,0,,,0,0,0,0,2,0,0,1,3,2,0,0,,0.0,0.0,12.5,66.7
田中寛人,兵庫デルフィーノ,7,7,26,1,24,67,29,1,43.3,41.8,0,0,0,15,70,3,2,12,6,3,2,47,,1.21,0.62,7.9,66.7
田中尚,大同特殊鋼レッドスター,4,17,15,5,32,116,67,6,57.8,52.6,0,0,0,14,118,2,10,25,12,11,1,83,,2.09,0.44,4.9,95.8
田中拓海,東京ヴェルディ,17,19,16,6,34,23,12,2,52.2,43.5,0,0,0,2,136,2,7,30,4,0,0,16,,0.35,0.06,5.7,0.0
田城広光,ヴォレアス北海道,23,30,6,10,32,93,49,5,52.7,47.3,0,0,0,17,120,5,28,43,13,4,2,71,,1.53,0.53,7.3,38.5
田城貴之,ヴォレアス北海道,3,30,6,10,18,35,25,0,71.4,71.4,0,0,0,13,80,9,14,21,6,2,1,47,,1.39,0.72,13.4,41.7
田畑翔伍,きんでんトリニティーブリッツ,7,8,25,1,27,93,25,15,26.9,10.8,5,2,2,9,51,2,10,9,146,55,45,36,40.0,0.93,0.33,3.4,53.1
白川佑樹,兵庫デルフィーノ,2,6,26,1,10,9,2,3,22.2,-11.1,1,0,0,0,8,0,5,0,2,0,1,2,0.0,0.2,0.0,-15.6,25.0
白石啓丈,ヴォレアス北海道,10,30,6,10,33,0,0,0,,,0,0,0,0,0,0,0,0,126,70,30,0,,0.0,0.0,,67.5
石井和希,埼玉アザレア,3,14,11,4,22,228,109,19,47.8,39.5,55,27,9,6,83,1,3,23,2,0,0,116,49.1,4.95,0.27,7.2,0.0
石坂ハスナヌ,長野GaRons,7,20,15,6,35,108,56,7,51.9,45.4,0,0,0,20,152,4,7,33,7,5,1,80,,1.6,0.57,6.9,78.6
石川和樹,ヴィアティン三重,4,14,19,3,14,25,13,2,52.0,44.0,3,0,2,3,42,1,2,6,28,10,4,17,0.0,0.93,0.21,4.8,42.9
石黒聖也,東京ヴェルディ,16,19,19,6,24,38,15,5,39.5,26.3,0,0,0,10,52,3,12,21,8,5,1,28,,0.62,0.42,10.1,68.8
神園時,サフィルヴァ北海道,2,9,25,2,32,0,0,0,,,0,0,0,0,0,0,0,0,174,74,48,0,,0.0,0.0,,56.3
福井裕貴,きんでんトリニティーブリッツ,23,8,25,1,31,139,73,10,52.5,45.3,1,0,0,10,88,0,5,10,2,0,1,83,0.0,2.35,0.32,1.4,25.0
福池凌太,長野GaRons,13,0,3,0,2,16,5,0,31.2,31.2,1,1,0,0,8,1,2,4,1,0,0,6,100.0,2.5,0.0,18.8,0.0
秦惇平,兵庫デルフィーノ,10,5,8,1,9,15,4,3,26.7,6.7,1,0,1,0,14,0,3,4,21,8,4,4,0.0,0.44,0.0,1.8,47.6
竹内敦彦,兵庫デルフィーノ,19,0,6,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
笠原佑斗,サフィルヴァ北海道,7,5,15,1,1,1,1,0,100.0,100.0,0,0,0,0,2,0,0,0,0,0,0,1,,1.0,0.0,0.0,
笠原啓太,埼玉アザレア,7,14,11,4,23,54,29,4,53.7,46.3,0,0,0,11,94,7,10,33,1,1,0,47,,1.26,0.48,13.6,100.0
笹岡凪斗,長野GaRons,8,4,6,1,3,0,0,0,,,0,0,0,0,5,0,0,1,0,0,0,0,,0.0,0.0,5.0,
筒井匠,埼玉アザレア,8,14,11,4,16,6,1,1,16.7,0.0,1,0,0,0,24,1,1,5,0,0,0,2,0.0,0.06,0.0,8.3,
篠原和政,長野GaRons,17,13,11,4,3,0,0,0,,,0,0,0,0,5,0,1,2,0,0,0,0,,0.0,0.0,5.0,
米村尊,ヴィアティン三重,6,14,19,3,16,0,0,0,,,0,0,0,0,18,0,3,1,3,3,0,0,,0.0,0.0,-2.8,100.0
米澤寛武,富士通カワサキレッドスピリッツ,16,12,0,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
繁田康平,きんでんトリニティーブリッツ,8,2,6,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
與崎風人,東京ヴェルディ,1,19,22,6,13,56,20,6,35.7,25.0,2,1,1,3,29,0,3,7,38,19,11,23,50.0,1.54,0.23,3.4,64.5
舩倉拓登,大同特殊鋼レッドスター,17,17,15,5,10,0,0,0,,,0,0,0,0,11,0,0,3,0,0,0,0,,0.0,0.0,6.8,
茂木祐太,埼玉アザレア,17,14,11,4,13,79,29,7,36.7,27.8,8,2,2,4,33,0,1,5,45,20,10,33,25.0,2.23,0.31,3.0,55.6
茶屋道康輔,ヴィアティン三重,15,11,19,2,30,91,51,3,56.0,52.7,0,0,0,15,119,6,9,22,3,1,1,72,,1.7,0.5,7.8,50.0
落合一輝,ヴィアティン三重,1,8,13,2,18,32,14,2,43.8,37.5,0,0,0,0,43,1,10,8,74,37,20,15,,0.78,0.0,1.2,63.5
蔵田大輝,東京ヴェルディ,20,19,22,6,22,130,51,16,39.2,26.9,37,12,10,2,58,1,21,11,0,0,0,54,32.4,2.32,0.09,-2.6,
藤原郷介,兵庫デルフィーノ,15,6,8,1,9,17,5,5,29.4,0.0,9,1,3,1,10,0,3,2,1,0,0,6,11.1,0.56,0.11,-2.5,0.0
藤村昇太,ヴォレアス北海道,11,21,5,7,5,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
西澤岳,兵庫デルフィーノ,1,7,29,1,34,234,95,44,40.6,21.8,87,31,24,13,101,2,24,17,4,2,1,110,35.6,2.79,0.38,0.2,62.5
角大樹,富士通カワサキレッドスピリッツ,17,30,2,10,8,32,11,3,34.4,25.0,5,2,1,1,15,2,3,9,45,25,9,14,40.0,1.38,0.12,23.3,65.6
諏訪晃大,ヴィアティン三重,39,8,13,2,9,81,31,7,38.3,29.6,24,10,1,0,22,1,2,8,0,0,0,32,41.7,3.44,0.0,11.4,
谷川結人,きんでんトリニティーブリッツ,14,6,19,1,25,193,77,20,39.9,29.5,59,27,6,7,82,8,27,25,62,23,10,92,45.8,3.08,0.28,9.1,45.2
