名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブレシーブ成功率
境紗里奈,2021-03,日立リヴァーレ,18,5,2,1,0,50.0,50.0,0,0,0,0,25,2,0,7,15.0,1,1,0,3,,0.2,0.0,100.0
大崎琴未,2021-03,東レアローズ,14,9,21,5,0,23.8,23.8,1,0,0,5,41,1,5,12,6.7,2,1,1,11,0.0,0.56,0.56,75.0
大川愛海,2021-02,トヨタ車体クインシーズ,22,5,60,14,0,23.3,23.3,8,1,0,2,18,0,1,1,0.0,49,25,16,16,12.5,2.8,0.4,67.3
大川愛海,2021-03,トヨタ車体クインシーズ,22,6,40,7,3,17.5,10.0,4,1,1,0,17,0,3,4,1.5,38,16,10,7,25.0,1.17,0.0,55.3
大竹里歩,2021-02,デンソーエアリービーズ,5,7,26,12,1,46.2,42.3,0,0,0,4,15,0,1,4,5.0,1,1,0,16,,1.71,0.57,100.0
大竹里歩,2021-03,デンソーエアリービーズ,5,3,12,6,0,50.0,50.0,0,0,0,2,10,0,1,1,0.0,0,0,0,8,,2.0,0.67,
大野果歩,2021-03,東レアローズ,2,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
孫田菜奈,2021-02,ヴィクトリーナ姫路,12,5,32,6,2,18.8,12.5,1,0,0,1,7,0,1,2,3.6,22,10,6,7,0.0,1.2,0.2,59.1
孫田菜奈,2021-03,ヴィクトリーナ姫路,12,3,12,3,0,25.0,25.0,1,0,0,0,8,1,1,2,15.6,31,14,9,4,0.0,1.0,0.0,59.7
宇賀神みずき,2021-02,岡山シーガルズ,5,8,0,0,0,,,0,0,0,2,13,0,2,1,-1.9,0,0,0,2,,0.0,0.25,
宇賀神みずき,2021-03,岡山シーガルズ,5,7,2,1,0,50.0,50.0,0,0,0,0,10,0,0,3,7.5,0,0,0,1,,0.14,0.0,
安田美南,2021-02,NECレッドロケッツ,14,6,8,6,0,75.0,75.0,0,0,0,0,19,2,2,2,10.5,0,0,0,8,,1.0,0.0,
安田美南,2021-03,NECレッドロケッツ,14,4,4,4,0,100.0,100.0,0,0,0,0,18,2,2,2,11.1,0,0,0,6,,1.0,0.0,
宮下遥,2021-02,岡山シーガルズ,14,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
宮地佳乃,2021-03,ヴィクトリーナ姫路,8,3,17,8,1,47.1,41.2,6,1,1,1,3,0,0,1,8.3,4,1,1,9,16.7,2.67,0.33,37.5
小口樹葉,2021-02,デンソーエアリービーズ,9,2,0,0,0,,,0,0,0,0,0,0,0,0,,4,2,1,0,,0.0,0.0,62.5
小口樹葉,2021-03,デンソーエアリービーズ,9,2,0,0,0,,,0,0,0,0,0,0,0,0,,2,1,1,0,,0.0,0.0,75.0
小島満菜美,2021-02,NECレッドロケッツ,16,9,0,0,0,,,0,0,0,0,0,0,0,0,,20,8,5,0,,0.0,0.0,52.5
小島満菜美,2021-03,NECレッドロケッツ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
小川愛里奈,2021-03,東レアローズ,8,9,78,29,2,37.2,34.6,16,5,0,5,34,4,3,11,17.6,3,0,2,38,31.2,3.22,0.56,33.3
小川杏奈,2021-02,JTマーヴェラス,3,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
小杉凜華,2021-02,KUROBEアクアフェアリーズ,19,2,0,0,0,,,0,0,0,0,3,0,0,1,8.3,0,0,0,0,,0.0,0.0,
小杉凜華,2021-03,KUROBEアクアフェアリーズ,19,2,0,0,0,,,0,0,0,0,2,0,0,0,0.0,0,0,0,0,,0.0,0.0,
小池杏菜,2021-02,日立リヴァーレ,10,8,0,0,0,,,0,0,0,0,0,0,0,0,,7,6,0,0,,0.0,0.0,85.7
小池杏菜,2021-03,日立リヴァーレ,10,5,0,0,0,,,0,0,0,0,0,0,0,0,,8,4,2,0,,0.0,0.0,62.5
小西愛衣,2021-02,KUROBEアクアフェアリーズ,15,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
小野寺友香,2021-02,日立リヴァーレ,2,7,3,0,0,0.0,0.0,0,0,0,4,16,1,0,5,14.1,1,0,0,5,,0.0,0.57,0.0
小野寺友香,2021-03,日立リヴァーレ,2,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
小野寺夏希,2021-02,岡山シーガルズ,31,6,0,0,0,,,0,0,0,0,9,0,0,3,8.3,1,0,0,0,,0.0,0.0,0.0
小野寺夏希,2021-03,岡山シーガルズ,31,7,2,0,0,0.0,0.0,0,0,0,0,22,0,0,2,2.3,0,0,0,0,,0.0,0.0,
居村杏奈,2021-02,岡山シーガルズ,12,1,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0,
山上有紀,2021-02,トヨタ車体クインシーズ,18,7,0,0,0,,,0,0,0,1,11,1,1,4,15.9,0,0,0,2,,0.0,0.14,
山上有紀,2021-03,トヨタ車体クインシーズ,18,2,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0,
山下遥香,2021-03,PFUブルーキャッツ,9,5,0,0,0,,,0,0,0,1,10,0,1,4,7.5,2,0,0,1,,0.0,0.2,0.0
山内美咲,2021-02,NECレッドロケッツ,12,8,45,17,1,37.8,35.6,4,1,0,2,43,3,5,18,14.5,44,14,14,22,25.0,2.12,0.25,47.7
山内美咲,2021-03,NECレッドロケッツ,12,4,27,7,2,25.9,18.5,6,2,0,2,14,3,0,5,30.4,23,7,9,12,33.3,1.75,0.5,50.0
山口珠李,2021-02,埼玉上尾メディックス,6,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
山口珠李,2021-03,埼玉上尾メディックス,6,2,4,1,0,25.0,25.0,0,0,0,1,5,0,0,1,5.0,0,0,0,2,,0.5,0.5,
山城愛心,2021-02,KUROBEアクアフェアリーズ,6,4,38,8,0,21.1,21.1,1,0,0,0,10,0,0,5,12.5,26,6,7,8,0.0,2.0,0.0,36.5
山城愛心,2021-03,KUROBEアクアフェアリーズ,6,3,16,3,2,18.8,6.2,1,0,1,0,3,0,0,2,16.7,23,11,6,3,0.0,1.0,0.0,60.9
山岸あかね,2021-02,埼玉上尾メディックス,7,3,0,0,0,,,0,0,0,0,0,0,0,0,,19,9,2,0,,0.0,0.0,52.6
山岸あかね,2021-03,埼玉上尾メディックス,7,4,0,0,0,,,0,0,0,0,0,0,0,0,,13,7,1,0,,0.0,0.0,57.7
山崎のの花,2021-02,埼玉上尾メディックス,5,3,0,0,0,,,0,0,0,0,8,0,0,1,3.1,0,0,0,0,,0.0,0.0,
山崎のの花,2021-03,埼玉上尾メディックス,5,4,3,2,0,66.7,66.7,0,0,0,0,11,0,0,2,4.5,0,0,0,2,,0.5,0.0,
山形理沙子,2021-02,トヨタ車体クインシーズ,20,8,3,1,0,33.3,33.3,0,0,0,0,6,0,0,0,0.0,0,0,0,1,,0.12,0.0,
山形理沙子,2021-03,トヨタ車体クインシーズ,20,9,11,7,0,63.6,63.6,0,0,0,0,31,3,0,13,20.2,0,0,0,10,,0.78,0.0,
岩澤実育,2021-02,埼玉上尾メディックス,12,2,0,0,0,,,0,0,0,0,5,0,1,1,0.0,2,0,0,0,,0.0,0.0,0.0
岩澤実育,2021-03,埼玉上尾メディックス,12,2,0,0,0,,,0,0,0,0,3,0,0,1,8.3,0,0,0,0,,0.0,0.0,
島田美紅,2021-02,KUROBEアクアフェアリーズ,7,4,20,6,6,30.0,0.0,0,0,0,1,13,1,1,3,11.5,15,5,8,8,,1.5,0.25,60.0
島田美紅,2021-03,KUROBEアクアフェアリーズ,7,7,16,8,1,50.0,43.8,0,0,0,0,17,0,1,2,1.5,9,0,4,8,,1.14,0.0,22.2
島畑奈緒子,2021-03,PFUブルーキャッツ,14,5,1,0,0,0.0,0.0,0,0,0,0,8,0,2,3,3.1,0,0,0,0,,0.0,0.0,
川上雛菜,2021-02,NECレッドロケッツ,17,8,12,4,1,33.3,25.0,1,1,0,0,12,0,0,3,6.2,8,5,0,4,100.0,0.5,0.0,62.5
川上雛菜,2021-03,NECレッドロケッツ,17,3,0,0,0,,,0,0,0,0,3,0,0,0,0.0,2,2,0,0,,0.0,0.0,100.0
工藤嶺,2021-02,デンソーエアリービーズ,21,7,52,24,4,46.2,38.5,13,6,1,0,31,2,2,11,13.7,16,8,3,26,46.2,3.43,0.0,59.4
工藤嶺,2021-03,デンソーエアリービーズ,21,3,23,11,1,47.8,43.5,8,1,1,0,10,0,0,5,12.5,7,5,1,11,12.5,3.67,0.0,78.6
平山詩嫣,2021-02,久光スプリングス,19,3,0,0,0,,,0,0,0,0,9,0,1,5,11.1,0,0,0,0,,0.0,0.0,
平山詩嫣,2021-03,久光スプリングス,19,6,0,0,0,,,0,0,0,0,9,1,1,2,13.9,0,0,0,1,,0.0,0.0,
廣瀬七海,2021-02,NECレッドロケッツ,9,9,83,29,4,34.9,30.1,19,3,1,1,14,2,5,2,8.9,0,0,0,32,15.8,3.22,0.11,
志摩美古都,2021-03,PFUブルーキャッツ,35,5,27,12,1,44.4,40.7,2,1,0,0,11,1,0,2,13.6,26,16,6,13,50.0,2.4,0.0,73.1
戸江真奈,2021-02,久光スプリングス,18,3,0,0,0,,,0,0,0,0,0,0,0,0,,11,8,0,0,,0.0,0.0,72.7
戸江真奈,2021-03,久光スプリングス,18,8,0,0,0,,,0,0,0,0,0,0,0,0,,41,17,13,0,,0.0,0.0,57.3
戸部真由香,2021-02,KUROBEアクアフェアリーズ,20,4,9,5,1,55.6,44.4,0,0,0,0,14,2,1,3,17.9,0,0,0,7,,1.25,0.0,
戸部真由香,2021-03,KUROBEアクアフェアリーズ,20,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
星加輝,2021-02,KUROBEアクアフェアリーズ,16,3,2,1,0,50.0,50.0,0,0,0,0,7,0,1,0,-3.6,0,0,0,1,,0.33,0.0,
星加輝,2021-03,KUROBEアクアフェアリーズ,16,5,1,1,0,100.0,100.0,0,0,0,0,8,1,0,3,21.9,0,0,0,2,,0.2,0.0,
曽我啓菜,2021-02,NECレッドロケッツ,5,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
曽我啓菜,2021-03,NECレッドロケッツ,5,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
杉原若葉,2021-02,KUROBEアクアフェアリーズ,11,1,4,2,0,50.0,50.0,0,0,0,0,0,0,0,0,,0,0,0,2,,2.0,0.0,
杉原若葉,2021-03,KUROBEアクアフェアリーズ,11,7,26,8,5,30.8,11.5,0,0,0,1,18,1,2,7,12.5,6,4,2,10,,1.14,0.14,83.3
杉郁香,2021-02,トヨタ車体クインシーズ,15,8,45,16,1,35.6,33.3,0,0,0,1,15,2,2,7,21.7,1,0,1,19,,2.0,0.12,50.0
杉郁香,2021-03,トヨタ車体クインシーズ,15,4,19,11,0,57.9,57.9,0,0,0,1,7,0,1,3,7.1,0,0,0,12,,2.75,0.25,
村上華澄,2021-03,PFUブルーキャッツ,6,1,2,0,0,0.0,0.0,0,0,0,0,5,0,0,0,0.0,0,0,0,0,,0.0,0.0,
村永奈央,2021-02,トヨタ車体クインシーズ,6,2,10,0,0,0.0,0.0,0,0,0,0,3,0,0,1,8.3,6,3,0,0,,0.0,0.0,50.0
村永奈央,2021-03,トヨタ車体クインシーズ,6,9,0,0,0,,,0,0,0,0,0,0,0,0,,36,13,12,0,,0.0,0.0,52.8
東谷玲衣奈,2021-02,デンソーエアリービーズ,20,2,8,1,1,12.5,0.0,1,0,0,0,4,0,1,0,-6.2,7,3,1,1,0.0,0.5,0.0,50.0
松井珠己,2021-02,デンソーエアリービーズ,14,7,7,4,1,57.1,42.9,0,0,0,1,19,1,0,6,13.2,0,0,0,6,,0.57,0.14,
松井珠己,2021-03,デンソーエアリービーズ,14,3,1,0,0,0.0,0.0,0,0,0,1,11,1,0,4,18.2,0,0,0,2,,0.0,0.33,
松本亜弥華,2021-02,トヨタ車体クインシーズ,14,4,6,1,0,16.7,16.7,0,0,0,1,4,0,0,1,6.2,0,0,0,2,,0.25,0.25,
松本亜弥華,2021-03,トヨタ車体クインシーズ,14,5,14,5,2,35.7,21.4,0,0,0,1,16,1,3,3,6.2,2,1,0,7,,1.0,0.2,50.0
柳田光綺,2021-02,NECレッドロケッツ,4,4,15,7,0,46.7,46.7,0,0,0,0,7,0,1,4,10.7,0,0,0,7,,1.75,0.0,
柳田光綺,2021-03,NECレッドロケッツ,4,4,50,18,3,36.0,30.0,5,3,1,1,10,0,1,1,0.0,1,0,0,19,60.0,4.5,0.25,0.0
柴田真果,2021-02,JTマーヴェラス,5,4,3,3,0,100.0,100.0,0,0,0,1,10,0,1,2,2.5,0,0,0,4,,0.75,0.25,
