名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブレシーブ成功率
佐々木海空,埼玉上尾メディックス,16,1,0,0,0,,,0,0,0,0,1,0,0,0,0.0,0,0,0,0,,0.0,0.0,
佐藤優花,埼玉上尾メディックス,10,6,74,20,4,27.0,21.6,8,4,1,0,27,0,3,3,0.0,36,17,7,20,50.0,3.33,0.0,56.9
佐藤吉野,デンソーエアリービーズ,18,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
佐藤澪,NECレッドロケッツ,18,2,0,0,0,,,0,0,0,0,0,0,0,0,,3,1,1,0,,0.0,0.0,50.0
入澤まい,日立リヴァーレ,14,13,65,26,3,40.0,35.4,1,0,0,4,41,4,5,19,18.3,4,1,2,34,0.0,2.0,0.31,50.0
兵頭由希,デンソーエアリービーズ,24,10,86,28,2,32.6,30.2,16,3,0,2,47,3,1,16,14.4,32,8,5,33,18.8,2.8,0.2,32.8
内瀬戸真実,埼玉上尾メディックス,9,7,79,29,3,36.7,32.9,7,1,1,2,22,0,2,6,4.5,40,23,5,31,14.3,4.14,0.29,63.8
加地春花,トヨタ車体クインシーズ,21,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
加藤光,久光スプリングス,7,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
及川真夢,岡山シーガルズ,8,12,59,22,1,37.3,35.6,0,0,0,3,35,0,4,7,2.1,1,1,0,25,,1.83,0.25,100.0
古川あおいアン,岡山シーガルズ,15,11,98,38,6,38.8,32.7,0,0,0,4,22,0,0,5,5.7,7,3,0,42,,3.45,0.36,42.9
古谷ちなみ,NECレッドロケッツ,11,9,73,26,9,35.6,23.3,13,6,1,2,19,1,6,4,2.6,59,20,19,29,46.2,2.89,0.22,50.0
合屋咲希,PFUブルーキャッツ,7,1,1,1,0,100.0,100.0,0,0,0,0,0,0,0,0,,0,0,0,1,,1.0,0.0,
吉岡可奈,ヴィクトリーナ姫路,9,7,39,15,3,38.5,30.8,0,0,0,2,18,1,2,3,6.9,1,0,1,18,,2.14,0.29,50.0
吉岡美晴,岡山シーガルズ,4,12,78,27,1,34.6,33.3,0,0,0,0,38,0,1,8,4.6,70,25,21,27,,2.25,0.0,50.7
吉田あゆみ,NECレッドロケッツ,15,11,78,33,3,42.3,38.5,2,0,0,1,37,1,4,13,8.8,72,28,17,35,0.0,3.0,0.09,50.7
周田夏紀,トヨタ車体クインシーズ,25,11,10,5,1,50.0,40.0,0,0,0,1,18,1,4,4,5.6,0,0,0,7,,0.45,0.09,
和才奈々美,PFUブルーキャッツ,33,2,0,0,0,,,0,0,0,0,0,0,0,0,,5,3,2,0,,0.0,0.0,80.0
和田由紀子,JTマーヴェラス,16,7,23,5,2,21.7,13.0,0,0,0,0,12,0,3,3,0.0,0,0,0,5,,0.71,0.0,
坂本侑,東レアローズ,15,4,0,0,0,,,0,0,0,0,6,0,0,0,0.0,0,0,0,0,,0.0,0.0,
堀口あやか,PFUブルーキャッツ,11,2,11,3,0,27.3,27.3,3,1,0,0,5,0,0,2,10.0,5,3,0,3,33.3,1.5,0.0,60.0
堀江美志,埼玉上尾メディックス,4,3,6,3,0,50.0,50.0,0,0,0,0,2,0,0,0,0.0,0,0,0,3,,1.0,0.0,
堀込奈央,ヴィクトリーナ姫路,7,2,0,0,0,,,0,0,0,0,4,0,1,1,0.0,0,0,0,0,,0.0,0.0,
塚田しおり,NECレッドロケッツ,3,7,3,2,0,66.7,66.7,0,0,0,0,18,0,1,5,5.6,1,0,0,2,,0.29,0.0,0.0
境紗里奈,日立リヴァーレ,18,10,3,1,0,33.3,33.3,0,0,0,0,35,2,0,8,11.4,1,1,0,3,,0.1,0.0,100.0
大崎琴未,東レアローズ,14,9,21,5,0,23.8,23.8,1,0,0,5,41,1,5,12,6.7,2,1,1,11,0.0,0.56,0.56,75.0
大川愛海,トヨタ車体クインシーズ,22,11,100,21,3,21.0,18.0,12,2,1,2,35,0,4,5,0.7,87,41,26,23,16.7,1.91,0.18,62.1
大竹里歩,デンソーエアリービーズ,5,10,38,18,1,47.4,44.7,0,0,0,6,25,0,2,5,3.0,1,1,0,24,,1.8,0.6,100.0
大野果歩,東レアローズ,2,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
孫田菜奈,ヴィクトリーナ姫路,12,8,44,9,2,20.5,15.9,2,0,0,1,15,1,2,4,10.0,53,24,15,11,0.0,1.12,0.12,59.4
宇賀神みずき,岡山シーガルズ,5,15,2,1,0,50.0,50.0,0,0,0,2,23,0,2,4,2.2,0,0,0,3,,0.07,0.13,
安田美南,NECレッドロケッツ,14,10,12,10,0,83.3,83.3,0,0,0,0,37,4,4,4,10.8,0,0,0,14,,1.0,0.0,
宮下遥,岡山シーガルズ,14,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
宮地佳乃,ヴィクトリーナ姫路,8,3,17,8,1,47.1,41.2,6,1,1,1,3,0,0,1,8.3,4,1,1,9,16.7,2.67,0.33,37.5
小口樹葉,デンソーエアリービーズ,9,4,0,0,0,,,0,0,0,0,0,0,0,0,,6,3,2,0,,0.0,0.0,66.7
小島満菜美,NECレッドロケッツ,16,9,0,0,0,,,0,0,0,0,0,0,0,0,,20,8,5,0,,0.0,0.0,52.5
小川愛里奈,東レアローズ,8,9,78,29,2,37.2,34.6,16,5,0,5,34,4,3,11,17.6,3,0,2,38,31.2,3.22,0.56,33.3
小川杏奈,JTマーヴェラス,3,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
小杉凜華,KUROBEアクアフェアリーズ,19,4,0,0,0,,,0,0,0,0,5,0,0,1,5.0,0,0,0,0,,0.0,0.0,
