名前,年月,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
モルナールブリジトカ,2012-01,NECレッドロケッツ,12,10,24,0,34,318,105,20,33.0,26.7,41,14,4,6,102,6,4,41,206,95,0,117,34.1,3.09,0.18,15.0,46.1
モルナールブリジトカ,2012-02,NECレッドロケッツ,12,11,18,2,26,259,73,15,28.2,22.4,41,11,6,7,76,2,3,18,133,89,0,82,26.8,2.81,0.27,7.6,66.9
モルナールブリジトカ,2012-03,NECレッドロケッツ,12,4,3,1,7,77,25,4,32.5,27.3,17,6,1,4,23,1,1,6,30,15,0,30,35.3,3.57,0.57,9.8,50.0
三橋聡恵,2012-02,パイオニアレッドウィングス,9,1,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
三橋聡恵,2012-03,パイオニアレッドウィングス,9,4,4,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
上屋敷綾,2011-12,JTマーヴェラス,11,6,4,2,3,0,0,0,,,0,0,0,0,5,0,0,3,0,0,0,0,,0.0,0.0,15.0,
上屋敷綾,2012-01,JTマーヴェラス,11,17,14,5,9,0,0,0,,,0,0,0,0,12,0,3,3,0,0,0,0,,0.0,0.0,0.0,
上屋敷綾,2012-02,JTマーヴェラス,11,13,19,3,18,40,11,2,27.5,22.5,0,0,0,0,37,3,5,15,38,20,0,14,,0.61,0.0,14.9,52.6
上屋敷綾,2012-03,JTマーヴェラス,11,3,4,1,5,0,0,0,,,0,0,0,0,7,0,1,3,0,0,0,0,,0.0,0.0,7.1,
中道瞳,2011-12,東レアローズ,4,8,5,2,13,5,5,0,100.0,100.0,0,0,0,0,57,2,0,22,1,0,0,7,,0.38,0.0,13.2,0.0
中道瞳,2012-01,東レアローズ,4,22,8,7,30,10,6,0,60.0,60.0,0,0,0,1,116,5,3,41,0,0,0,12,,0.2,0.03,12.5,
中道瞳,2012-02,東レアローズ,4,23,8,7,31,6,5,0,83.3,83.3,0,0,0,2,130,5,2,38,0,0,0,12,,0.16,0.06,10.8,
中道瞳,2012-03,東レアローズ,4,6,1,2,7,0,0,0,,,0,0,0,1,29,0,1,13,0,0,0,1,,0.0,0.14,10.3,
丸山亜季,2011-12,岡山シーガルズ,20,7,7,2,14,0,0,0,,,0,0,0,0,0,0,0,0,48,30,0,0,,0.0,0.0,,62.5
丸山亜季,2012-01,岡山シーガルズ,20,14,14,4,28,0,0,0,,,0,0,0,0,0,0,0,0,115,76,0,0,,0.0,0.0,,66.1
丸山亜季,2012-02,岡山シーガルズ,20,15,16,4,31,0,0,0,,,0,0,0,0,0,0,0,0,127,82,0,0,,0.0,0.0,,64.6
丸山亜季,2012-03,岡山シーガルズ,20,5,4,1,9,0,0,0,,,0,0,0,0,0,0,0,0,35,20,0,0,,0.0,0.0,,57.1
二見梓,2012-01,東レアローズ,16,7,3,2,2,2,0,0,0.0,0.0,0,0,0,1,3,0,0,1,0,0,0,1,,0.0,0.5,8.3,
二見梓,2012-02,東レアローズ,16,23,8,7,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
二見梓,2012-03,東レアローズ,16,6,1,2,4,18,7,1,38.9,33.3,0,0,0,1,5,0,1,1,0,0,0,8,,1.75,0.25,0.0,
井上奈々朱,2011-12,デンソーエアリービーズ,11,9,0,3,9,25,15,0,60.0,60.0,0,0,0,5,30,0,7,16,1,0,0,20,,1.67,0.56,7.5,0.0
井上奈々朱,2012-01,デンソーエアリービーズ,11,20,8,6,28,96,46,9,47.9,38.5,0,0,0,22,128,10,13,51,4,1,0,78,,1.64,0.79,15.2,25.0
井上奈々朱,2012-02,デンソーエアリービーズ,11,19,14,5,33,117,42,13,35.9,24.8,0,0,0,16,142,6,20,58,2,2,0,64,,1.27,0.48,10.9,100.0
井上奈々朱,2012-03,デンソーエアリービーズ,11,2,6,0,8,55,19,6,34.5,23.6,0,0,0,3,30,1,1,14,0,0,0,23,,2.38,0.38,14.2,
井上琴絵,2011-12,JTマーヴェラス,13,3,1,1,4,0,0,0,,,0,0,0,0,0,0,0,0,19,15,0,0,,0.0,0.0,,78.9
井野亜季子,2011-12,NECレッドロケッツ,10,2,9,0,11,0,0,0,,,0,0,0,0,0,0,0,0,69,49,0,0,,0.0,0.0,,71.0
井野亜季子,2012-01,NECレッドロケッツ,10,10,24,0,34,0,0,0,,,0,0,0,0,0,0,0,0,123,81,0,0,,0.0,0.0,,65.9
井野亜季子,2012-02,NECレッドロケッツ,10,11,18,2,29,0,0,0,,,0,0,0,0,0,0,0,0,102,76,0,0,,0.0,0.0,,74.5
井野亜季子,2012-03,NECレッドロケッツ,10,4,3,1,7,0,0,0,,,0,0,0,0,0,0,0,0,17,10,0,0,,0.0,0.0,,58.8
今西郁瑠,2011-12,トヨタ車体クインシーズ,2,4,7,1,5,11,2,3,18.2,-9.1,0,0,0,1,13,0,4,4,42,24,0,3,,0.4,0.2,0.0,57.1
今西郁瑠,2012-01,トヨタ車体クインシーズ,2,8,18,2,1,0,0,0,,,0,0,0,0,3,1,1,1,5,3,0,1,,0.0,0.0,33.3,60.0
今西郁瑠,2012-02,トヨタ車体クインシーズ,2,3,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
今西郁瑠,2012-03,トヨタ車体クインシーズ,2,1,6,0,1,5,1,1,20.0,0.0,0,0,0,0,2,0,1,0,7,4,0,1,,1.0,0.0,-12.5,57.1
今野加奈子,2011-12,パイオニアレッドウィングス,8,1,9,0,9,74,15,9,20.3,8.1,10,1,1,0,18,0,0,5,31,16,0,15,10.0,1.67,0.0,6.9,51.6
今野加奈子,2012-01,パイオニアレッドウィングス,8,10,19,3,28,309,102,18,33.0,27.2,23,6,2,6,53,4,2,23,148,57,0,112,26.1,3.64,0.21,17.5,38.5
今野加奈子,2012-02,パイオニアレッドウィングス,8,12,15,3,10,51,9,3,17.6,11.8,1,0,1,1,15,2,1,3,13,5,0,12,0.0,0.9,0.1,16.7,38.5
今野加奈子,2012-03,パイオニアレッドウィングス,8,4,4,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
位田愛,2011-12,JTマーヴェラス,5,6,4,2,10,97,24,2,24.7,22.7,1,0,0,6,40,2,1,17,93,61,0,32,0.0,2.4,0.6,15.0,65.6
位田愛,2012-01,JTマーヴェラス,5,17,14,5,31,252,75,8,29.8,26.6,1,1,0,10,104,4,6,34,200,129,0,89,100.0,2.42,0.32,10.6,64.5
位田愛,2012-02,JTマーヴェラス,5,13,19,3,32,311,87,18,28.0,22.2,0,0,0,11,105,3,4,35,184,101,0,101,,2.72,0.34,10.2,54.9
位田愛,2012-03,JTマーヴェラス,5,3,4,1,7,70,15,5,21.4,14.3,1,0,0,1,20,0,1,9,54,29,0,16,0.0,2.14,0.14,10.0,53.7
佐藤円,2012-01,パイオニアレッドウィングス,18,4,5,1,6,0,0,0,,,0,0,0,0,5,0,2,1,3,0,0,0,,0.0,0.0,-5.0,0.0
佐藤円,2012-02,パイオニアレッドウィングス,18,12,15,3,20,0,0,0,,,0,0,0,0,26,0,1,8,15,10,0,0,,0.0,0.0,6.7,66.7
八幡美樹,2011-12,NECレッドロケッツ,1,2,9,0,6,49,17,3,34.7,28.6,5,0,1,1,19,0,0,6,17,10,0,18,0.0,2.83,0.17,7.9,58.8
八幡美樹,2012-01,NECレッドロケッツ,1,10,24,0,30,235,74,12,31.5,26.4,5,1,0,3,102,6,6,38,212,114,0,83,20.0,2.47,0.1,13.7,53.8
八幡美樹,2012-02,NECレッドロケッツ,1,11,18,2,17,82,26,3,31.7,28.0,5,0,1,2,36,0,3,17,77,36,0,28,0.0,1.53,0.12,9.7,46.8
八幡美樹,2012-03,NECレッドロケッツ,1,4,3,1,1,0,0,0,,,0,0,0,0,3,0,0,0,1,1,0,0,,0.0,0.0,0.0,100.0
内田暁子,2011-12,NECレッドロケッツ,4,2,9,0,11,101,24,3,23.8,20.8,9,2,0,3,36,1,1,15,53,25,0,28,22.2,2.18,0.27,12.5,47.2
内田暁子,2012-01,NECレッドロケッツ,4,10,24,0,24,118,38,7,32.2,26.3,1,0,0,4,78,7,5,37,78,43,0,49,0.0,1.58,0.17,19.2,55.1
内田暁子,2012-02,NECレッドロケッツ,4,11,18,2,29,265,80,8,30.2,27.2,6,0,1,4,110,3,10,45,105,54,0,87,0.0,2.76,0.14,10.7,51.4
内田暁子,2012-03,NECレッドロケッツ,4,4,3,1,7,64,27,3,42.2,37.5,0,0,0,0,26,0,2,6,44,19,0,27,,3.86,0.0,3.8,43.2
内藤香菜子,2011-12,NECレッドロケッツ,3,2,9,0,11,53,17,3,32.1,26.4,0,0,0,7,37,4,3,9,0,0,0,28,,1.55,0.64,14.9,
内藤香菜子,2012-01,NECレッドロケッツ,3,10,24,0,33,145,54,5,37.2,33.8,0,0,0,29,70,2,8,18,7,3,0,85,,1.64,0.88,6.4,42.9
内藤香菜子,2012-02,NECレッドロケッツ,3,11,18,2,26,76,27,4,35.5,30.3,0,0,0,8,67,3,6,15,4,3,0,38,,1.04,0.31,7.8,75.0
内藤香菜子,2012-03,NECレッドロケッツ,3,4,3,1,4,0,0,0,,,0,0,0,1,0,0,0,0,0,0,0,1,,0.0,0.25,,
冨永こよみ,2011-12,パイオニアレッドウィングス,14,1,9,0,10,19,10,1,52.6,47.4,0,0,0,4,36,1,2,9,0,0,0,15,,1.0,0.4,7.6,
冨永こよみ,2012-01,パイオニアレッドウィングス,14,10,19,3,29,40,18,1,45.0,42.5,1,1,0,10,95,2,4,36,4,3,0,30,100.0,0.62,0.34,10.5,75.0
冨永こよみ,2012-02,パイオニアレッドウィングス,14,13,21,3,34,43,16,2,37.2,32.6,0,0,0,17,133,8,5,50,2,0,0,41,,0.47,0.5,14.5,0.0
冨永こよみ,2012-03,パイオニアレッドウィングス,14,4,4,1,8,10,4,1,40.0,30.0,0,0,0,3,40,2,2,12,1,0,0,9,,0.5,0.38,11.2,0.0
加藤千尋,2011-12,JTマーヴェラス,17,6,4,2,6,28,14,2,50.0,42.9,0,0,0,1,13,0,2,6,0,0,0,15,,2.33,0.17,7.7,
加藤千尋,2012-01,JTマーヴェラス,17,17,14,5,30,107,37,6,34.6,29.0,0,0,0,18,79,5,4,36,5,2,0,60,,1.23,0.6,16.5,40.0
加藤千尋,2012-02,JTマーヴェラス,17,13,19,3,32,123,48,4,39.0,35.8,0,0,0,10,89,5,12,35,2,1,0,63,,1.5,0.31,12.1,50.0
加藤千尋,2012-03,JTマーヴェラス,17,3,4,1,7,22,12,2,54.5,45.5,0,0,0,6,14,1,0,5,1,0,0,19,,1.71,0.86,16.1,0.0
北村みどり,2012-01,岡山シーガルズ,11,1,3,0,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
千葉智枝美,2011-12,JTマーヴェラス,19,6,4,2,3,1,0,0,0.0,0.0,0,0,0,0,3,0,1,2,3,3,0,0,,0.0,0.0,8.3,100.0
千葉智枝美,2012-01,JTマーヴェラス,19,17,14,5,27,3,0,1,0.0,-33.3,0,0,0,0,21,1,1,10,85,54,0,1,,0.0,0.0,15.5,63.5
千葉智枝美,2012-02,JTマーヴェラス,19,13,19,3,32,0,0,0,,,0,0,0,0,0,0,0,0,179,109,0,0,,0.0,0.0,,60.9
千葉智枝美,2012-03,JTマーヴェラス,19,3,4,1,7,0,0,0,,,0,0,0,0,0,0,0,0,48,27,0,0,,0.0,0.0,,56.2
南美寿希,2011-12,久光製薬スプリングス,12,8,4,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
南美寿希,2012-01,久光製薬スプリングス,12,18,14,5,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
南美寿希,2012-02,久光製薬スプリングス,12,22,13,6,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
南美寿希,2012-03,久光製薬スプリングス,12,6,3,2,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
卜部里菜,2011-12,岡山シーガルズ,22,7,7,2,9,4,1,0,25.0,25.0,0,0,0,0,21,0,0,5,24,12,0,1,,0.11,0.0,6.0,50.0
卜部里菜,2012-01,岡山シーガルズ,22,14,14,4,20,19,11,1,57.9,52.6,0,0,0,0,41,3,3,9,34,22,0,14,,0.55,0.0,11.0,64.7
卜部里菜,2012-02,岡山シーガルズ,22,15,16,4,20,54,21,3,38.9,33.3,0,0,0,3,49,0,1,12,59,35,0,24,,1.05,0.15,5.6,59.3
卜部里菜,2012-03,岡山シーガルズ,22,5,4,1,5,0,0,0,,,0,0,0,0,5,0,0,2,8,4,0,0,,0.0,0.0,10.0,50.0
古屋美紀,2011-12,パイオニアレッドウィングス,11,1,9,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
古屋美紀,2012-01,パイオニアレッドウィングス,11,10,19,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
古屋美紀,2012-02,パイオニアレッドウィングス,11,2,12,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
古藤千鶴,2011-12,久光製薬スプリングス,2,8,4,2,12,4,3,0,75.0,75.0,0,0,0,1,50,1,4,23,0,0,0,5,,0.25,0.08,11.5,
古藤千鶴,2012-01,久光製薬スプリングス,2,18,14,5,32,21,12,0,57.1,57.1,0,0,0,9,130,9,9,52,4,1,0,30,,0.38,0.28,15.2,25.0
古藤千鶴,2012-02,久光製薬スプリングス,2,22,13,6,35,16,8,0,50.0,50.0,0,0,0,12,132,4,11,53,1,0,0,24,,0.23,0.34,11.0,0.0
古藤千鶴,2012-03,久光製薬スプリングス,2,6,3,2,9,6,4,0,66.7,66.7,0,0,0,1,37,1,1,18,0,0,0,6,,0.44,0.11,14.2,
吉澤智恵,2011-12,JTマーヴェラス,4,6,4,2,10,86,23,6,26.7,19.8,4,1,0,1,44,1,1,17,65,43,0,25,25.0,2.3,0.1,11.4,66.2
吉澤智恵,2012-01,JTマーヴェラス,4,17,14,5,31,268,98,12,36.6,32.1,11,3,1,4,139,2,5,57,195,107,0,104,27.3,3.16,0.13,10.8,54.9
吉澤智恵,2012-02,JTマーヴェラス,4,13,19,3,31,229,74,9,32.3,28.4,7,2,0,6,104,1,8,33,238,127,0,81,28.6,2.39,0.19,7.0,53.4
吉澤智恵,2012-03,JTマーヴェラス,4,3,4,1,7,62,19,4,30.6,24.2,0,0,0,3,26,0,2,6,49,28,0,22,,2.71,0.43,3.8,57.1
吉田みなみ,2011-12,岡山シーガルズ,1,3,2,1,2,0,0,0,,,0,0,0,0,1,0,0,0,4,2,0,0,,0.0,0.0,0.0,50.0
吉田みなみ,2012-01,岡山シーガルズ,1,14,14,4,13,3,0,2,0.0,-66.7,0,0,0,0,18,1,0,2,18,14,0,1,,0.0,0.0,8.3,77.8
吉田みなみ,2012-02,岡山シーガルズ,1,15,16,4,23,147,36,8,24.5,19.0,0,0,0,2,55,1,0,17,99,50,0,39,,1.57,0.09,9.5,50.5
吉田みなみ,2012-03,岡山シーガルズ,1,5,4,1,3,2,1,0,50.0,50.0,0,0,0,0,1,0,0,1,2,1,0,1,,0.33,0.0,25.0,50.0
吉田真未,2011-12,パイオニアレッドウィングス,20,1,9,0,10,0,0,0,,,0,0,0,0,0,0,0,0,65,41,0,0,,0.0,0.0,,63.1
吉田真未,2012-01,パイオニアレッドウィングス,20,10,19,3,29,0,0,0,,,0,0,0,0,0,0,0,0,79,53,0,0,,0.0,0.0,,67.1
吉田真未,2012-02,パイオニアレッドウィングス,20,13,21,3,34,0,0,0,,,0,0,0,0,0,0,0,0,107,76,0,0,,0.0,0.0,,71.0
吉田真未,2012-03,パイオニアレッドウィングス,20,4,4,1,8,0,0,0,,,0,0,0,0,0,0,0,0,27,19,0,0,,0.0,0.0,,70.4
和田麻里江,2011-12,東レアローズ,7,8,5,2,3,8,1,2,12.5,-12.5,0,0,0,0,4,0,0,3,0,0,0,1,,0.33,0.0,18.8,
和田麻里江,2012-01,東レアローズ,7,15,5,5,6,4,1,0,25.0,25.0,0,0,0,1,7,0,1,2,0,0,0,2,,0.17,0.17,3.6,
坂下麻衣子,2011-12,JTマーヴェラス,1,6,4,2,4,5,0,1,0.0,-20.0,0,0,0,2,0,0,0,0,0,0,0,2,,0.0,0.5,,
坂下麻衣子,2012-01,JTマーヴェラス,1,17,14,5,16,65,21,4,32.3,26.2,19,6,2,6,12,0,0,8,3,2,0,27,31.6,1.31,0.38,16.7,66.7
坂下麻衣子,2012-02,JTマーヴェラス,1,13,19,3,3,10,3,0,30.0,30.0,0,0,0,0,0,0,0,0,0,0,0,3,,1.0,0.0,,
坂下麻衣子,2012-03,JTマーヴェラス,1,3,4,1,1,6,3,0,50.0,50.0,0,0,0,0,0,0,0,0,0,0,0,3,,3.0,0.0,,
堀崎智恵美,2011-12,トヨタ車体クインシーズ,15,4,7,1,5,0,0,0,,,0,0,0,0,0,0,0,0,11,9,0,0,,0.0,0.0,,81.8
堀崎智恵美,2012-01,トヨタ車体クインシーズ,15,8,18,2,13,7,2,0,28.6,28.6,0,0,0,0,6,0,0,2,41,31,0,2,,0.15,0.0,8.3,75.6
堀崎智恵美,2012-02,トヨタ車体クインシーズ,15,12,19,2,17,0,0,0,,,0,0,0,0,0,0,0,0,54,32,0,0,,0.0,0.0,,59.3
堀崎智恵美,2012-03,トヨタ車体クインシーズ,15,1,6,0,1,0,0,0,,,0,0,0,0,0,0,0,0,3,0,0,0,,0.0,0.0,,0.0
堀川真理,2012-01,東レアローズ,15,6,2,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
大宮里美,2011-12,デンソーエアリービーズ,17,9,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
大宮里美,2012-01,デンソーエアリービーズ,17,20,8,6,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
大宮里美,2012-02,デンソーエアリービーズ,17,19,14,5,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
大宮里美,2012-03,デンソーエアリービーズ,17,2,6,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
大野果奈,2011-12,NECレッドロケッツ,17,2,9,0,1,2,0,1,0.0,-50.0,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
大野果奈,2012-01,NECレッドロケッツ,17,10,24,0,2,11,2,0,18.2,18.2,0,0,0,0,5,1,0,1,0,0,0,3,,1.0,0.0,25.0,
大野果奈,2012-02,NECレッドロケッツ,17,3,3,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
宮下遥,2011-12,岡山シーガルズ,14,7,7,2,14,6,3,0,50.0,50.0,1,0,0,2,56,3,3,22,0,0,0,8,0.0,0.21,0.14,13.8,
宮下遥,2012-01,岡山シーガルズ,14,14,14,4,28,24,12,0,50.0,50.0,0,0,0,12,108,8,7,33,0,0,0,32,,0.43,0.43,13.4,
宮下遥,2012-02,岡山シーガルズ,14,15,16,4,31,9,4,0,44.4,44.4,0,0,0,10,116,2,7,35,0,0,0,16,,0.13,0.32,7.8,
宮下遥,2012-03,岡山シーガルズ,14,5,4,1,9,2,1,0,50.0,50.0,0,0,0,3,36,1,1,15,0,0,0,5,,0.11,0.33,12.5,
宮田由佳里,2011-12,東レアローズ,9,8,5,2,13,36,17,2,47.2,41.7,0,0,0,5,34,2,0,12,0,0,0,24,,1.31,0.38,14.7,
宮田由佳里,2012-01,東レアローズ,9,22,8,7,26,73,28,3,38.4,34.2,0,0,0,12,68,2,1,26,5,3,0,42,,1.08,0.46,12.1,60.0
宮田由佳里,2012-02,東レアローズ,9,23,8,7,31,95,38,6,40.0,33.7,0,0,0,8,96,6,1,29,3,3,0,52,,1.23,0.26,13.5,100.0
宮田由佳里,2012-03,東レアローズ,9,6,1,2,4,18,4,1,22.2,16.7,0,0,0,2,10,1,1,3,1,1,0,7,,1.0,0.5,15.0,100.0
小平花織,2011-12,東レアローズ,10,8,5,2,2,0,0,0,,,0,0,0,0,2,0,0,1,0,0,0,0,,0.0,0.0,12.5,
小平花織,2012-01,東レアローズ,10,16,6,5,3,4,0,1,0.0,-25.0,0,0,0,0,3,0,0,0,1,1,0,0,,0.0,0.0,0.0,100.0
小平花織,2012-02,東レアローズ,10,20,7,6,12,0,0,0,,,0,0,0,0,9,0,0,1,6,4,0,0,,0.0,0.0,2.8,66.7
小平花織,2012-03,東レアローズ,10,6,1,2,2,0,0,0,,,0,0,0,0,3,0,0,1,0,0,0,0,,0.0,0.0,8.3,
小林亜里沙,2011-12,岡山シーガルズ,17,7,7,2,2,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
小林亜里沙,2012-01,岡山シーガルズ,17,1,3,0,2,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,,0.0,0.0,,0.0
山口かなめ,2012-01,JTマーヴェラス,15,3,7,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
山口かなめ,2012-02,JTマーヴェラス,15,10,15,2,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
山口かなめ,2012-03,JTマーヴェラス,15,3,4,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
山口舞,2011-12,岡山シーガルズ,2,7,7,2,14,85,36,3,42.4,38.8,4,1,0,7,39,0,0,6,45,30,0,43,25.0,2.57,0.5,3.8,66.7
山口舞,2012-01,岡山シーガルズ,2,14,14,4,28,174,70,5,40.2,37.4,4,1,0,5,85,1,3,15,128,74,0,76,25.0,2.5,0.18,4.7,57.8
山口舞,2012-02,岡山シーガルズ,2,15,16,4,31,245,107,13,43.7,38.4,10,0,3,16,107,0,0,16,108,63,0,123,0.0,3.45,0.52,3.7,58.3
山口舞,2012-03,岡山シーガルズ,2,5,4,1,9,60,25,3,41.7,36.7,2,0,1,3,26,0,0,5,37,16,0,28,0.0,2.78,0.33,4.8,43.2
山本陽子,2012-02,トヨタ車体クインシーズ,3,0,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
山田真里,2011-12,トヨタ車体クインシーズ,21,3,4,1,7,16,8,0,50.0,50.0,1,0,0,2,30,0,2,15,43,17,0,10,0.0,1.14,0.29,10.8,39.5
山田真里,2012-01,トヨタ車体クインシーズ,21,8,18,2,25,21,4,0,19.0,19.0,0,0,0,6,99,4,6,28,222,137,0,14,,0.16,0.24,9.6,61.7
山田真里,2012-02,トヨタ車体クインシーズ,21,12,19,2,21,28,12,1,42.9,39.3,1,1,0,2,49,1,2,20,109,63,0,15,100.0,0.57,0.1,11.2,57.8
山田真里,2012-03,トヨタ車体クインシーズ,21,1,6,0,6,0,0,0,,,0,0,0,0,6,0,2,3,10,8,0,0,,0.0,0.0,4.2,80.0
