名前,チーム,背番号,月,出場数,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
山村宏太,サントリーサンバーズ,1,4,4,0.0,6,4,0,66.7,66.7,0,0,0,3,17,0,0,3,0,0,0,7,,1.0,0.75,4.4,
岡本秀明,豊田合成トレフェルサ,13,4,3,0.0,0,0,0,,,0,0,0,0,5,1,2,1,0,0,0,1,,0.0,0.0,15.0,
岩田正之,パナソニックパンサーズ,7,4,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
岸本一馬,パナソニックパンサーズ,1,4,2,0.0,7,5,1,71.4,57.1,0,0,0,3,6,0,1,4,17,9,0,8,,2.5,1.5,12.5,52.9
島野俊一,豊田合成トレフェルサ,19,4,4,0.0,0,0,0,,,0,0,0,1,15,0,0,2,0,0,0,1,,0.0,0.25,3.3,
川村慎二,パナソニックパンサーズ,8,4,4,0.0,5,1,0,20.0,20.0,0,0,0,0,9,0,2,0,26,22,0,1,,0.25,0.0,-5.6,84.6
川浦博昭,豊田合成トレフェルサ,9,4,4,0.0,18,11,0,61.1,61.1,0,0,0,2,19,0,0,6,0,0,0,13,,2.75,0.5,7.9,
掛川厚志,東レアローズ,6,4,1,0.0,0,0,0,,,0,0,0,0,0,0,0,0,1,1,0,0,,0.0,0.0,,100.0
木原丈裕,サントリーサンバーズ,12,4,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
村上龍介,サントリーサンバーズ,13,4,1,0.0,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
松永理生,パナソニックパンサーズ,15,4,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
枩田優介,パナソニックパンサーズ,13,4,1,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
柴田恭平,東レアローズ,3,4,3,0.0,12,8,0,66.7,66.7,0,0,0,0,7,0,3,0,7,6,0,8,,2.67,0.0,-10.7,85.7
栗原圭介,サントリーサンバーズ,6,4,4,0.0,1,1,0,100.0,100.0,0,0,0,1,12,0,2,4,0,0,0,2,,0.25,0.25,4.2,
桑田鎮典,サントリーサンバーズ,9,4,1,0.0,0,0,0,,,0,0,0,0,4,0,0,1,3,1,0,0,,0.0,0.0,6.2,33.3
森佑之,豊田合成トレフェルサ,11,4,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,20,11,0,0,,0.0,0.0,,55.0
森田亜貴斗,パナソニックパンサーズ,12,4,4,0.0,15,7,1,46.7,40.0,0,0,0,1,20,0,1,3,3,2,0,8,,1.75,0.25,2.5,66.7
津曲勝利,サントリーサンバーズ,11,4,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,15,11,0,0,,0.0,0.0,,73.3
田辺修,東レアローズ,2,4,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,17,11,0,0,,0.0,0.0,,64.7
甲斐祐之,豊田合成トレフェルサ,6,4,4,0.0,13,10,1,76.9,69.2,1,0,0,2,17,0,4,4,37,23,0,12,0.0,2.5,0.5,0.0,62.2
盛重龍,豊田合成トレフェルサ,1,4,4,0.0,31,16,4,51.6,38.7,7,3,1,0,11,0,2,2,21,14,0,16,42.9,4.0,0.0,0.0,66.7
笠原紀久,東レアローズ,5,4,4,0.0,10,6,0,60.0,60.0,0,0,0,2,14,0,1,8,45,31,0,8,,1.5,0.5,12.5,68.9
篠田歩,東レアローズ,17,4,4,0.0,7,4,0,57.1,57.1,0,0,0,3,18,0,2,9,0,0,0,7,,1.0,0.75,9.7,
荻野正二,サントリーサンバーズ,10,4,4,0.0,15,5,3,33.3,13.3,4,1,2,0,17,1,1,6,35,13,0,6,25.0,1.25,0.0,13.2,37.1
諸隈直樹,豊田合成トレフェルサ,3,4,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
越川優,サントリーサンバーズ,7,4,4,0.0,30,14,1,46.7,43.3,10,8,0,4,14,0,6,4,12,6,0,18,80.0,3.5,1.0,-3.6,50.0
近藤茂,東レアローズ,4,4,3,0.0,0,0,0,,,0,0,0,0,3,0,0,0,0,0,0,0,,0.0,0.0,0.0,
鈴木寛史,サントリーサンバーズ,2,4,2,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
阿部裕太,東レアローズ,9,4,4,0.0,2,2,0,100.0,100.0,0,0,0,4,8,0,2,3,0,0,0,6,,0.5,1.0,3.1,
高杉洋平,東レアローズ,8,4,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
高橋和人,豊田合成トレフェルサ,15,4,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
高橋幸造,豊田合成トレフェルサ,21,4,1,0.0,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
齋藤信治,東レアローズ,7,4,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
