得点,失点,+/-,L-B,状況,番号,選手,交代番号,交代選手,相手状況,相手番号,相手選手,相手交代番号,相手交代選手
6,3,3,Lead,,,,,,,22,高梨,,
6,3,3,Lead,,,,,,アタック成功:,22,高梨,,
6,4,2,Lead,,,,,,,得点,,,
6,4,2,Lead,,,,,,サーブミス,11,傳田,,
7,4,3,Lead,,得点,,,,,,,,
7,4,3,Lead,サーブミス,3,小野,,,,,,,
7,5,2,Lead,,,,,,,得点,,,
7,5,2,Lead,,,,,,サーブ,5,前田,,
7,5,2,Lead,レシーブ成功(優),10,藤中,,,,,,,
7,5,2,Lead,アタック成功:,12,塩田,,,,,,,
8,5,3,Lead,,得点,,,,,,,,
8,5,3,Lead,,テクニカルタイムアウト,,,,,,,,
8,5,3,Lead,サーブ,19,栗山,,,,,,,
8,5,3,Lead,,,,,,レシーブ成功(良),22,高梨,,
8,5,3,Lead,,,,,,,22,高梨,,
8,5,3,Lead,アタック成功:,9,大宅,,,,,,,
9,5,4,Lead,,得点,,,,,,,,
9,5,4,Lead,サーブ,19,栗山,,,,,,,
9,5,4,Lead,,,,,,レシーブ成功(優),22,高梨,,
9,5,4,Lead,,,,,,アタック成功:,22,高梨,,
9,6,3,Lead,,,,,,,得点,,,
9,6,3,Lead,,,,,,サーブ,22,高梨,,
9,6,3,Lead,レシーブ成功(優),10,藤中,,,,,,,
9,6,3,Lead,アタック成功:,10,藤中,,,,,,,
10,6,4,Lead,,得点,,,,,,,,
10,6,4,Lead,サーブ,8,柳田,,,,,,,
10,6,4,Lead,,,,,,レシーブ成功(優),24,小川,,
10,6,4,Lead,,,,,,アタック成功:,6,近,,
10,7,3,Lead,,,,,,,得点,,,
10,7,3,Lead,,,,,,サーブミス,6,近,,
11,7,4,Lead,,得点,,,,,,,,
11,7,4,Lead,サーブ,12,塩田,,,,,,,
11,7,4,Lead,,,,,,レシーブ成功(良),22,高梨,,
11,7,4,Lead,,,,,,アタック成功:,3,クレク,,
11,8,3,Lead,,,,,,,得点,,,
11,8,3,Lead,,,,,,サーブ,3,クレク,,
11,8,3,Lead,レシーブ成功(優),8,柳田,,,,,,,
11,8,3,Lead,アタック成功:,19,栗山,,,,,,,
12,8,4,Lead,,得点,,,,,,,,
12,8,4,Lead,サーブミス,9,大宅,,,,,,,
12,9,3,Lead,,,,,,,得点,,,
12,9,3,Lead,,,,,,サーブ,1,山田,,
12,9,3,Lead,レシーブ成功(良),1,鶴田,,,,,,,
12,9,3,Lead,,19,栗山,,,,,,,
12,9,3,Lead,,,,,,,22,高梨,,
12,9,3,Lead,,19,栗山,,,,,,,
12,9,3,Lead,,,,,,,22,高梨,,
12,9,3,Lead,ブロック成功,3,小野,,,,,,,
13,9,4,Lead,,得点,,,,,,,,
13,9,4,Lead,サーブ,10,藤中,,,,,,,
13,9,4,Lead,,,,,,レシーブ成功(優),1,山田,,
13,9,4,Lead,,,,,,,11,傳田,,
13,9,4,Lead,アタック成功:,19,栗山,,,,,,,
14,9,5,Lead,,得点,,,,,,,,
14,9,5,Lead,,,,,,,タイムアウト,,,
14,9,5,Lead,サーブ,10,藤中,,,,,,,
14,9,5,Lead,,,,,,レシーブ成功(良),22,高梨,,
14,9,5,Lead,,,,,,,3,クレク,,
14,9,5,Lead,ブロック成功,8,柳田,,,,,,,
15,9,6,Lead,,得点,,,,,,,,
15,9,6,Lead,サーブ,10,藤中,,,,,,,
15,9,6,Lead,,,,,,レシーブ成功(優),1,山田,,
15,9,6,Lead,,,,,,アタック成功:,22,高梨,,
15,10,5,Lead,,,,,,,得点,,,
15,10,5,Lead,,,,,,サーブ,11,傳田,,
15,10,5,Lead,レシーブ成功(良),8,柳田,,,,,,,
15,10,5,Lead,,8,柳田,,,,,,,
15,10,5,Lead,,,,,,ブロック成功,5,前田,,
15,11,4,Lead,,,,,,,得点,,,
15,11,4,Lead,,,,,,サーブミス,11,傳田,,
16,11,5,Lead,,得点,,,,,,,,
16,11,5,Lead,,テクニカルタイムアウト,,,,,,,,
16,11,5,Lead,サーブ,3,小野,,,,,,,
16,11,5,Lead,,,,,,レシーブ成功(優),6,近,,
16,11,5,Lead,,,,,,,22,高梨,,
16,11,5,Lead,,12,塩田,,,,,,,
16,11,5,Lead,,,,,,アタック成功:,3,クレク,,
16,12,4,Lead,,,,,,,得点,,,
16,12,4,Lead,,,,,,サーブ,5,前田,,
16,12,4,Lead,レシーブ失敗,10,藤中,,,,,,,
16,12,4,Lead,,19,栗山,,,,,,,
16,12,4,Lead,,,,,,アタック成功:,22,高梨,,
16,13,3,Lead,,,,,,,得点,,,
16,13,3,Lead,,,,,,サーブ,5,前田,,
16,13,3,Lead,レシーブ失敗,10,藤中,,,,,,,
16,13,3,Lead,,,,,,,22,高梨,,
16,13,3,Lead,,8,柳田,,,,,,,
16,13,3,Lead,,19,栗山,,,,,,,
16,13,3,Lead,アタック失敗,19,栗山,,,,,,,
16,13,3,Lead,,チャレンジ失敗,,,,,,,,
16,14,2,Lead,,,,,,,得点,,,
16,14,2,Lead,,,,,,サーブ,5,前田,,
16,14,2,Lead,レシーブ失敗,8,柳田,,,,,,,
16,14,2,Lead,,,,,,,3,クレク,,
16,14,2,Lead,アタック成功:,8,柳田,,,,,,,
17,14,3,Lead,,得点,,,,,,,,
17,14,3,Lead,サーブ,19,栗山,,,,,,,
17,14,3,Lead,,,,,,レシーブ成功(優),1,山田,,
17,14,3,Lead,,,,,,アタック成功:,22,高梨,,
17,15,2,Lead,,,,,,,得点,,,
17,15,2,Lead,,,,,,サーブ,22,高梨,,
17,15,2,Lead,レシーブ成功(優),10,藤中,,,,,,,
17,15,2,Lead,,8,柳田,,,,,,,
17,15,2,Lead,,,,,,アタック成功:,3,クレク,,
17,16,1,Lead,,,,,,,得点,,,
17,16,1,Lead,,タイムアウト,,,,,,,,
17,16,1,Lead,,,,,,サーブ,22,高梨,,
17,16,1,Lead,レシーブ成功(優),10,藤中,,,,,,,
17,16,1,Lead,アタック成功:,19,栗山,,,,,,,
18,16,2,Lead,,得点,,,,,,,,
18,16,2,Lead,ノータッチエース,8,柳田,,,,,,,
18,16,2,Lead,,,,,,,チャレンジ失敗,,,
19,16,3,Lead,,得点,,,,,,,,
19,16,3,Lead,サーブ,8,柳田,,,,,,,
19,16,3,Lead,,,,,,レシーブ失敗,1,山田,,
19,16,3,Lead,,,,,,,3,クレク,,
19,16,3,Lead,,,,,,,1,山田,,
19,16,3,Lead,,10,藤中,,,,,,,
19,16,3,Lead,,,,,,アタック成功:,3,クレク,,
19,17,2,Lead,,,,,,,得点,,,
19,17,2,Lead,,,,,,サーブ,6,近,,
19,17,2,Lead,レシーブ失敗,10,藤中,,,,,,,
19,17,2,Lead,,,,,,,3,クレク,,
19,17,2,Lead,,,,,,アタック成功:,3,クレク,,
19,18,1,Lead,,,,,,,得点,,,
19,18,1,Lead,,,,,,サーブミス,6,近,,
20,18,2,Lead,,得点,,,,,,,,
20,18,2,Lead,メンバー交代:,IN:15,喜入,OUT:12,塩田,,,,,
20,18,2,Lead,サービスエース,15,喜入,,,,,,,
20,18,2,Lead,,,,,,レシーブ失敗,22,高梨,,
21,18,3,Lead,,得点,,,,,,,,
21,18,3,Lead,サーブ,15,喜入,,,,,,,
21,18,3,Lead,,,,,,レシーブ成功(優),22,高梨,,
21,18,3,Lead,,,,,,アタック成功:,3,クレク,,
21,19,2,Lead,,,,,,,得点,,,
21,19,2,Lead,メンバー交代:,IN:12,塩田,OUT:15,喜入,,,,,
21,19,2,Lead,,,,,,サーブ,3,クレク,,
21,19,2,Lead,レシーブ失敗,10,藤中,,,,,,,
21,19,2,Lead,,10,藤中,,,,,,,
21,19,2,Lead,アタック成功:,3,小野,,,,,,,
22,19,3,Lead,,得点,,,,,,,,
22,19,3,Lead,サーブ,9,大宅,,,,,,,
22,19,3,Lead,,,,,,レシーブ成功(優),24,小川,,
22,19,3,Lead,,,,,,,11,傳田,,
22,19,3,Lead,,19,栗山,,,,,,,
22,19,3,Lead,,,,,,アタック成功:,3,クレク,,
22,20,2,Lead,,,,,,,得点,,,
22,20,2,Lead,,,,,,サーブミス,1,山田,,
23,20,3,Lead,,得点,,,,,,,,
23,20,3,Lead,メンバー交代:,IN:20,西田,OUT:10,藤中,,,,,
23,20,3,Lead,サーブ,20,西田,,,,,,,
23,20,3,Lead,,,,,,レシーブ成功(優),24,小川,,
23,20,3,Lead,,,,,,,22,高梨,,
23,20,3,Lead,アタック失敗,8,柳田,,,,,,,
23,21,2,Lead,,,,,,,得点,,,
23,21,2,Lead,メンバー交代:,IN:10,藤中,OUT:20,西田,,,,,
23,21,2,Lead,,,,,,メンバー交代:,IN:21,永露,OUT:11,傳田
23,21,2,Lead,,,,,,サーブ,21,永露,,
23,21,2,Lead,レシーブ成功(良),1,鶴田,,,,,,,
23,21,2,Lead,アタック成功:,19,栗山,,,,,,,
24,21,3,Lead,,得点,,,,,,,,
24,21,3,Lead,,,,,,メンバー交代:,IN:11,傳田,OUT:21,永露
24,21,3,Lead,サービスエース,3,小野,,,,,,,
24,21,3,Lead,,,,,,レシーブ失敗,22,高梨,,
25,21,4,Lead,,得点,,,,,,,,
