名前,年月,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
荻野正二,2010-01,サントリーサンバーズ,10,8,9,19,7,0,36.8,36.8,0,0,0,1,12,2,1,1,31,18,0,10,,0.78,0.11,16.7,58.1
荻野正二,2010-02,サントリーサンバーズ,10,16,3,0,0,0,,,0,0,0,0,0,0,0,0,5,3,0,0,,0.0,0.0,,60.0
荻野正二,2010-03,サントリーサンバーズ,10,18,4,2,1,0,50.0,50.0,0,0,0,0,0,0,0,0,3,3,0,1,,0.25,0.0,,100.0
菅直哉,2009-12,JTサンダーズ,15,36,8,4,1,1,25.0,0.0,0,0,0,3,27,0,1,4,0,0,0,4,,0.12,0.38,2.8,
菅直哉,2010-01,JTサンダーズ,15,7,15,5,3,0,60.0,60.0,0,0,0,11,45,2,1,4,1,0,0,16,,0.2,0.73,6.1,0.0
菅直哉,2010-02,JTサンダーズ,15,16,26,4,1,1,25.0,0.0,0,0,0,15,81,0,0,12,4,0,0,16,,0.04,0.58,3.7,0.0
菅直哉,2010-03,JTサンダーズ,15,18,23,5,4,1,80.0,60.0,0,0,0,9,85,0,0,18,0,0,0,13,,0.17,0.39,5.3,
西尾太作,2009-12,堺ブレイザーズ,16,72,19,64,33,6,51.6,42.2,27,14,2,3,31,1,5,8,17,7,0,37,51.9,1.74,0.16,5.6,41.2
西尾太作,2010-01,堺ブレイザーズ,16,8,20,65,31,4,47.7,41.5,18,9,1,1,36,1,4,9,22,15,0,33,50.0,1.55,0.05,6.2,68.2
西尾太作,2010-02,堺ブレイザーズ,16,12,20,176,75,20,42.6,31.2,76,29,12,8,71,5,10,18,0,0,0,88,38.2,3.75,0.4,9.9,
西尾太作,2010-03,堺ブレイザーズ,16,18,24,204,97,14,47.5,40.7,74,40,4,5,86,2,13,20,13,6,0,104,54.1,4.04,0.21,4.4,46.2
角田辰徳,2009-12,東レアローズ,16,72,11,56,25,3,44.6,39.3,6,3,0,5,39,0,4,5,48,25,0,30,50.0,2.27,0.45,0.6,52.1
角田辰徳,2010-01,東レアローズ,16,8,16,43,18,4,41.9,32.6,4,1,1,2,35,0,4,8,32,19,0,20,25.0,1.12,0.12,2.9,59.4
角田辰徳,2010-02,東レアローズ,16,16,4,4,3,0,75.0,75.0,1,1,0,0,1,0,0,1,0,0,0,3,100.0,0.75,0.0,25.0,
角田辰徳,2010-03,東レアローズ,16,18,16,94,38,7,40.4,33.0,15,7,1,2,32,0,1,8,38,17,0,40,46.7,2.38,0.12,5.5,44.7
谷村孝,2009-12,パナソニックパンサーズ,18,72,7,8,3,0,37.5,37.5,2,2,0,1,9,0,0,4,10,7,0,4,100.0,0.43,0.14,11.1,70.0
谷村孝,2010-01,パナソニックパンサーズ,18,8,23,84,36,5,42.9,36.9,5,2,2,5,69,1,7,6,157,104,0,42,40.0,1.57,0.22,1.1,66.2
谷村孝,2010-02,パナソニックパンサーズ,18,16,16,8,7,0,87.5,87.5,0,0,0,0,9,1,3,0,31,18,0,8,,0.44,0.0,2.8,58.1
谷村孝,2010-03,パナソニックパンサーズ,18,18,18,12,5,0,41.7,41.7,2,1,0,0,27,1,3,6,55,38,0,6,50.0,0.28,0.0,6.5,69.1
越谷章,2009-12,東レアローズ,10,72,21,53,31,2,58.5,54.7,7,4,0,1,39,0,9,12,65,51,0,32,57.1,1.48,0.05,1.9,78.5
越谷章,2010-01,東レアローズ,10,8,27,94,48,6,51.1,44.7,10,8,1,4,69,3,9,16,97,79,0,55,80.0,1.78,0.15,6.9,81.4
越谷章,2010-02,東レアローズ,10,16,17,43,22,4,51.2,41.9,1,0,1,2,39,2,4,14,65,47,0,26,0.0,1.29,0.12,11.5,72.3
越谷章,2010-03,東レアローズ,10,18,12,12,7,2,58.3,41.7,1,0,0,1,21,1,4,4,20,14,0,9,0.0,0.58,0.08,4.8,70.0
辻裕作,2009-12,FC東京,2,72,11,0,0,0,,,0,0,0,0,0,0,0,0,80,53,0,0,,0.0,0.0,,66.2
辻裕作,2010-01,FC東京,2,7,6,0,0,0,,,0,0,0,0,0,0,0,0,31,18,0,0,,0.0,0.0,,58.1
辻裕作,2010-02,FC東京,2,16,4,0,0,0,,,0,0,0,0,0,0,0,0,20,16,0,0,,0.0,0.0,,80.0
辻裕作,2010-03,FC東京,2,18,6,0,0,0,,,0,0,0,0,0,0,0,0,43,27,0,0,,0.0,0.0,,62.8
近藤茂,2009-12,東レアローズ,4,72,14,4,2,0,50.0,50.0,0,0,0,7,41,2,2,12,1,0,0,11,,0.14,0.5,11.0,0.0
近藤茂,2010-01,東レアローズ,4,8,11,2,1,0,50.0,50.0,0,0,0,5,27,0,2,8,1,0,0,6,,0.09,0.45,5.6,0.0
近藤茂,2010-02,東レアローズ,4,16,6,0,0,0,,,0,0,0,0,12,0,0,4,0,0,0,0,,0.0,0.0,8.3,
近藤茂,2010-03,東レアローズ,4,18,16,6,5,0,83.3,83.3,0,0,0,6,47,2,5,17,0,0,0,13,,0.31,0.38,10.6,
近裕崇,2010-02,豊田合成トレフェルサ,6,14,16,10,4,2,40.0,20.0,1,1,0,1,15,0,0,5,0,0,0,5,100.0,0.25,0.06,8.3,
近裕崇,2010-03,豊田合成トレフェルサ,6,18,5,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
酒井大祐,2009-12,JTサンダーズ,3,72,20,0,0,0,,,0,0,0,0,0,0,0,0,97,67,0,0,,0.0,0.0,,69.1
酒井大祐,2010-01,JTサンダーズ,3,8,31,0,0,0,,,0,0,0,0,0,0,0,0,189,139,0,0,,0.0,0.0,,73.5
酒井大祐,2010-02,JTサンダーズ,3,16,29,0,0,0,,,0,0,0,0,0,0,0,0,167,119,0,0,,0.0,0.0,,71.3
酒井大祐,2010-03,JTサンダーズ,3,18,23,0,0,0,,,0,0,0,0,0,0,0,0,115,89,0,0,,0.0,0.0,,77.4
重村健太,2009-12,豊田合成トレフェルサ,3,72,20,4,1,1,25.0,0.0,0,0,0,7,58,0,1,15,0,0,0,8,,0.05,0.35,6.0,
重村健太,2010-01,豊田合成トレフェルサ,3,8,18,6,4,1,66.7,50.0,0,0,0,3,57,0,2,13,0,0,0,7,,0.22,0.17,4.8,
重村健太,2010-02,豊田合成トレフェルサ,3,16,6,2,1,0,50.0,50.0,1,0,0,0,10,0,0,5,0,0,0,1,0.0,0.17,0.0,12.5,
重村健太,2010-03,豊田合成トレフェルサ,3,18,7,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,0,,0.0,0.0,25.0,
野中信也,2009-12,FC東京,16,48,10,2,2,0,100.0,100.0,0,0,0,0,6,0,0,0,6,4,0,2,,0.2,0.0,0.0,66.7
野中信也,2010-01,FC東京,16,8,10,10,5,0,50.0,50.0,1,1,0,0,16,0,0,3,24,14,0,5,100.0,0.5,0.0,4.7,58.3
野中信也,2010-02,FC東京,16,6,7,11,9,0,81.8,81.8,0,0,0,0,11,0,1,3,21,15,0,9,,1.29,0.0,4.5,71.4
野中信也,2010-03,FC東京,16,6,1,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,0,,0.0,0.0,25.0,
金井修也,2009-12,堺ブレイザーズ,8,72,21,11,4,0,36.4,36.4,0,0,0,1,81,1,1,14,1,0,0,6,,0.19,0.05,5.2,0.0
金井修也,2010-01,堺ブレイザーズ,8,3,9,5,1,0,20.0,20.0,1,0,0,0,26,1,2,3,0,0,0,2,0.0,0.11,0.0,4.8,
金井修也,2010-03,堺ブレイザーズ,8,6,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
金子隆行,2009-12,サントリーサンバーズ,8,72,18,97,43,3,44.3,41.2,4,2,0,8,56,2,9,13,176,131,0,53,50.0,2.39,0.44,5.4,74.4
金子隆行,2010-01,サントリーサンバーズ,8,8,24,92,36,5,39.1,33.7,2,0,1,7,67,2,11,18,113,95,0,45,0.0,1.5,0.29,5.6,84.1
金子隆行,2010-02,サントリーサンバーズ,8,8,6,14,7,0,50.0,50.0,0,0,0,1,12,0,2,2,19,13,0,8,,1.17,0.17,0.0,68.4
鈴木寛史,2009-12,サントリーサンバーズ,2,72,22,36,15,2,41.7,36.1,0,0,0,7,39,2,15,8,1,1,0,24,,0.68,0.32,0.6,100.0
鈴木寛史,2010-01,サントリーサンバーズ,2,8,21,24,15,2,62.5,54.2,0,0,0,0,20,0,10,4,4,4,0,15,,0.71,0.0,-7.5,100.0
鈴木寛史,2010-02,サントリーサンバーズ,2,16,9,4,2,0,50.0,50.0,0,0,0,0,5,0,3,1,0,0,0,2,,0.22,0.0,-10.0,
鈴木寛史,2010-03,サントリーサンバーズ,2,18,23,59,41,1,69.5,67.8,0,0,0,15,61,2,13,19,1,1,0,58,,1.78,0.65,5.7,100.0
鈴木悠二,2009-12,東レアローズ,18,72,6,11,4,3,36.4,9.1,1,0,1,1,1,0,0,1,3,2,0,5,0.0,0.67,0.17,25.0,66.7
鈴木悠二,2010-01,東レアローズ,18,8,8,3,2,1,66.7,33.3,2,1,1,0,8,0,1,4,0,0,0,2,50.0,0.25,0.0,9.4,
鈴木悠二,2010-02,東レアローズ,18,16,15,2,0,2,0.0,-100.0,0,0,0,0,18,2,3,4,0,0,0,2,,0.0,0.0,12.5,
鈴木悠二,2010-03,東レアローズ,18,18,17,0,0,0,,,0,0,0,0,27,3,7,7,0,0,0,3,,0.0,0.0,11.1,
鎌田智勝,2009-12,FC東京,19,72,22,180,73,16,40.6,31.7,58,30,8,2,64,1,12,17,13,7,0,76,51.7,3.32,0.09,3.5,53.8
鎌田智勝,2010-01,FC東京,19,6,22,158,68,13,43.0,34.8,44,21,3,4,66,2,17,17,16,10,0,74,47.7,3.09,0.18,3.0,62.5
鎌田智勝,2010-02,FC東京,19,16,29,230,95,27,41.3,29.6,45,21,8,6,106,0,17,31,36,15,0,101,46.7,3.28,0.21,3.3,41.7
鎌田智勝,2010-03,FC東京,19,18,13,76,24,7,31.6,22.4,18,3,1,1,34,0,6,11,13,3,0,25,16.7,1.85,0.08,3.7,23.1
長江晃生,2009-12,大分三好ヴァイセアドラー,17,72,11,11,5,1,45.5,36.4,2,2,0,1,20,1,4,5,5,2,0,7,100.0,0.45,0.09,6.2,40.0
長江晃生,2010-01,大分三好ヴァイセアドラー,17,8,31,201,106,18,52.7,43.8,24,10,5,6,129,12,28,28,142,106,0,124,41.7,3.42,0.19,9.3,74.6
長江晃生,2010-02,大分三好ヴァイセアドラー,17,16,31,202,92,12,45.5,39.6,19,10,2,9,129,8,23,42,153,100,0,109,52.6,2.97,0.29,9.9,65.4
長江晃生,2010-03,大分三好ヴァイセアドラー,17,18,16,93,44,11,47.3,35.5,10,3,3,2,58,2,13,25,60,29,0,48,30.0,2.75,0.12,8.6,48.3
阿部篤史,2010-01,FC東京,12,8,28,44,21,2,47.7,43.2,10,5,0,1,13,0,3,2,0,0,0,22,50.0,0.75,0.04,-1.9,
阿部篤史,2010-02,FC東京,12,16,19,44,19,4,43.2,34.1,14,5,2,2,18,1,6,1,0,0,0,22,35.7,1.0,0.11,-1.4,
阿部篤史,2010-03,FC東京,12,18,16,56,21,2,37.5,33.9,26,9,1,1,29,2,8,3,2,0,0,24,34.6,1.31,0.06,2.6,0.0
阿部裕太,2009-12,東レアローズ,9,72,18,9,4,0,44.4,44.4,0,0,0,4,53,1,1,17,0,0,0,9,,0.22,0.22,9.4,
阿部裕太,2010-01,東レアローズ,9,8,26,15,8,0,53.3,53.3,1,1,0,9,89,4,8,22,0,0,0,21,100.0,0.31,0.35,8.4,
阿部裕太,2010-02,東レアローズ,9,16,31,24,16,2,66.7,58.3,0,0,0,16,87,2,13,30,1,0,0,34,,0.52,0.52,7.2,0.0
阿部裕太,2010-03,東レアローズ,9,18,10,9,5,3,55.6,22.2,0,0,0,3,31,0,5,8,1,0,0,8,,0.5,0.3,2.4,0.0
高松卓矢,2010-02,豊田合成トレフェルサ,12,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
高橋和人,2009-12,豊田合成トレフェルサ,15,72,24,131,61,9,46.6,39.7,27,15,4,8,99,9,19,27,178,118,0,78,55.6,2.54,0.33,11.1,66.3
高橋和人,2010-01,豊田合成トレフェルサ,15,8,32,179,92,11,51.4,45.3,36,23,1,5,118,10,28,44,264,178,0,107,63.9,2.88,0.16,11.9,67.4
高橋和人,2010-02,豊田合成トレフェルサ,15,16,29,212,96,21,45.3,35.4,49,16,7,8,107,5,24,38,293,185,0,109,32.7,3.31,0.28,7.9,63.1
高橋和人,2010-03,豊田合成トレフェルサ,15,18,25,144,73,7,50.7,45.8,36,17,3,11,100,6,23,37,240,162,0,90,47.2,2.92,0.44,9.5,67.5
高橋幸造,2009-12,豊田合成トレフェルサ,21,60,11,3,0,0,0.0,0.0,0,0,0,0,24,1,3,3,1,0,0,1,,0.0,0.0,4.2,0.0
高橋幸造,2010-01,豊田合成トレフェルサ,21,8,23,11,6,1,54.5,45.5,1,1,0,2,63,0,6,15,0,0,0,8,100.0,0.26,0.09,3.6,
高橋幸造,2010-02,豊田合成トレフェルサ,21,16,29,9,2,2,22.2,0.0,0,0,0,3,90,2,12,30,2,0,0,7,,0.07,0.1,7.2,0.0
高橋幸造,2010-03,豊田合成トレフェルサ,21,18,25,10,6,0,60.0,60.0,0,0,0,4,88,2,5,32,1,0,0,12,,0.24,0.16,9.9,0.0
