名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
南里くるみ,2020-12,フォレストリーヴズ熊本,7,6,5,1,0,20.0,20.0,0,0,0,1,14,2,1,3,0,0,0,,0.17,0.17,17.9,
古川ほのか,2020-11,GSS東京サンビームズ,10,3,26,9,2,34.6,26.9,0,0,0,0,7,0,1,1,0,0,0,,3.0,0.0,0.0,
古川友,2020-10,千葉エンゼルクロス,20,1,0,0,0,,,0,0,0,0,0,0,0,0,1,0,1,,0.0,0.0,,50.0
古川友,2020-11,千葉エンゼルクロス,20,26,0,0,0,,,0,0,0,0,0,0,0,0,58,29,14,,0.0,0.0,,62.1
古川友,2020-12,千葉エンゼルクロス,20,7,0,0,0,,,0,0,0,0,0,0,0,0,17,8,4,,0.0,0.0,,58.8
古市彩音,2020-11,群馬銀行グリーンウイングス,6,9,15,5,2,33.3,20.0,0,0,0,2,30,0,5,6,1,1,0,,0.56,0.22,0.8,100.0
吉岡みなみ,2020-11,群馬銀行グリーンウイングス,2,5,0,0,0,,,0,0,0,0,0,0,0,0,5,2,1,,0.0,0.0,,50.0
吉岡みなみ,2020-12,群馬銀行グリーンウイングス,2,6,0,0,0,,,0,0,0,0,0,0,0,0,7,6,1,,0.0,0.0,,92.9
吉岡みなみ,2021-02,群馬銀行グリーンウイングス,2,3,0,0,0,,,0,0,0,0,0,0,0,0,5,1,2,,0.0,0.0,,40.0
吉田奈未,2020-10,千葉エンゼルクロス,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
吉田奈未,2020-11,千葉エンゼルクロス,12,6,8,3,0,37.5,37.5,0,0,0,0,7,0,0,0,6,2,1,,0.5,0.0,0.0,41.7
吉田奈未,2020-12,千葉エンゼルクロス,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
名原寧音,2020-10,千葉エンゼルクロス,16,4,0,0,0,,,0,0,0,0,14,0,0,3,0,0,0,,0.0,0.0,5.4,
名原寧音,2020-11,千葉エンゼルクロス,16,29,11,7,0,63.6,63.6,0,0,0,1,105,2,5,20,1,0,0,,0.24,0.03,5.5,0.0
名原寧音,2020-12,千葉エンゼルクロス,16,3,2,0,0,0.0,0.0,0,0,0,1,7,0,0,1,0,0,0,,0.0,0.33,3.6,
和多千里,2020-10,フォレストリーヴズ熊本,10,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,
和多千里,2020-11,フォレストリーヴズ熊本,10,11,0,0,0,,,0,0,0,0,21,0,0,3,0,0,0,,0.0,0.0,3.6,
和多千里,2020-12,フォレストリーヴズ熊本,10,3,2,0,0,0.0,0.0,0,0,0,0,5,0,0,1,0,0,0,,0.0,0.0,5.0,
和田法子,2020-10,フォレストリーヴズ熊本,16,2,7,1,1,14.3,0.0,0,0,0,0,3,0,0,1,0,0,0,,0.5,0.0,8.3,
和田法子,2020-11,フォレストリーヴズ熊本,16,25,123,39,4,31.7,28.5,0,0,0,3,84,2,7,21,3,1,1,,1.56,0.12,6.5,50.0
和田法子,2020-12,フォレストリーヴズ熊本,16,6,54,14,6,25.9,14.8,0,0,0,0,13,0,1,5,0,0,0,,2.33,0.0,7.7,
唐川愛璃,2020-10,JAぎふリオレーナ,17,3,0,0,0,,,0,0,0,0,14,3,0,5,1,0,0,,0.0,0.0,30.4,0.0
唐川愛璃,2020-11,JAぎふリオレーナ,17,27,7,2,0,28.6,28.6,0,0,0,6,89,9,6,24,0,0,0,,0.07,0.22,15.2,
唐川愛璃,2020-12,JAぎふリオレーナ,17,6,0,0,0,,,0,0,0,1,31,3,2,17,0,0,0,,0.0,0.17,21.8,
唐川愛璃,2021-01,JAぎふリオレーナ,17,5,2,0,0,0.0,0.0,0,0,0,0,14,0,1,3,0,0,0,,0.0,0.0,3.6,
土屋智菜実,2020-10,GSS東京サンビームズ,17,1,7,1,1,14.3,0.0,0,0,0,0,1,0,0,0,2,0,1,,1.0,0.0,0.0,25.0
土屋智菜実,2020-11,GSS東京サンビームズ,17,14,96,20,7,20.8,13.5,5,1,1,4,37,1,4,8,81,35,16,20.0,1.43,0.29,5.4,53.1
土岡真央,2020-10,大野石油広島オイラーズ,17,5,0,0,0,,,0,0,0,0,0,0,0,0,8,1,2,,0.0,0.0,,25.0
土岡真央,2020-11,大野石油広島オイラーズ,17,28,0,0,0,,,0,0,0,0,0,0,0,0,50,27,11,,0.0,0.0,,65.0
土岡真央,2020-12,大野石油広島オイラーズ,17,7,0,0,0,,,0,0,0,0,0,0,0,0,11,7,2,,0.0,0.0,,72.7
土岡真央,2021-01,大野石油広島オイラーズ,17,9,0,0,0,,,0,0,0,0,0,0,0,0,14,9,4,,0.0,0.0,,78.6
土岡真央,2021-02,大野石油広島オイラーズ,17,3,0,0,0,,,0,0,0,0,0,0,0,0,11,6,1,,0.0,0.0,,59.1
坂口莉乃,2020-10,大野石油広島オイラーズ,7,5,1,0,0,0.0,0.0,0,0,0,0,18,1,1,1,0,0,0,,0.0,0.0,5.6,
坂口莉乃,2020-11,大野石油広島オイラーズ,7,29,9,5,0,55.6,55.6,0,0,0,7,99,4,1,28,3,0,0,,0.17,0.24,10.9,0.0
坂口莉乃,2020-12,大野石油広島オイラーズ,7,7,1,0,0,0.0,0.0,0,0,0,1,22,0,2,4,0,0,0,,0.0,0.14,2.3,
坂口莉乃,2021-01,大野石油広島オイラーズ,7,9,2,0,0,0.0,0.0,0,0,0,2,26,0,1,11,1,0,0,,0.0,0.22,9.6,0.0
坂口莉乃,2021-02,大野石油広島オイラーズ,7,3,0,0,0,,,0,0,0,0,10,0,1,3,0,0,0,,0.0,0.0,5.0,
坂本陽菜,2020-11,群馬銀行グリーンウイングス,11,25,200,60,7,30.0,26.5,1,0,0,2,105,5,8,38,118,63,19,0.0,2.4,0.08,11.9,61.4
坂本陽菜,2020-12,群馬銀行グリーンウイングス,11,7,34,5,1,14.7,11.8,0,0,0,0,28,1,1,6,36,22,6,,0.71,0.0,8.0,69.4
坂本陽菜,2021-02,群馬銀行グリーンウイングス,11,3,4,2,0,50.0,50.0,0,0,0,0,10,1,0,1,8,4,3,,0.67,0.0,12.5,68.8
城野真衣,2020-11,千葉エンゼルクロス,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
堀ノ内麗,2020-10,フォレストリーヴズ熊本,1,3,18,5,1,27.8,22.2,0,0,0,1,11,1,1,2,0,0,0,,1.67,0.33,11.4,
堀ノ内麗,2020-11,フォレストリーヴズ熊本,1,19,94,26,8,27.7,19.1,0,0,0,3,46,1,2,12,1,1,0,,1.37,0.16,7.6,100.0
堀ノ内麗,2020-12,フォレストリーヴズ熊本,1,6,27,6,1,22.2,18.5,0,0,0,0,18,1,1,5,1,0,1,,1.0,0.0,11.1,50.0
多田遥,2020-10,ブレス浜松,10,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
多田遥,2020-11,ブレス浜松,10,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
多田遥,2021-01,ブレス浜松,10,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
大原萌,2020-11,GSS東京サンビームズ,19,16,0,0,0,,,0,0,0,0,10,1,2,1,12,7,0,,0.0,0.0,7.5,58.3
大原萌,2020-12,GSS東京サンビームズ,19,4,0,0,0,,,0,0,0,0,8,1,0,1,4,0,2,,0.0,0.0,15.6,25.0
