試合日,年月,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2020-10-31,2020-10,大野石油広島オイラーズ,9,,佐藤愛美,4,■,■,■,■,nan,37,15,1,0.40540540540540543,0.3783783783783784,3.75,1,0,0,0.0,2,0.50,14,0,0,4,7.1,0,0,0,-
2020-10-31,2020-10,大野石油広島オイラーズ,10,,山内佑里子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-10-31,2020-10,大野石油広島オイラーズ,12,,駒田愛実,5,■,■,■,■,■,44,15,1,0.3409090909090909,0.3181818181818182,3.00,4,1,0,25.0,1,0.20,7,0,0,2,7.1,40,13,10,45.0
2020-10-31,2020-10,大野石油広島オイラーズ,14,,西田智美,5,■,■,■,■,■,12,5,2,0.4166666666666667,0.25,1.00,0,0,0,-,5,1.00,15,0,0,4,6.7,0,0,0,-
2020-10-31,2020-10,大野石油広島オイラーズ,15,,斉藤有香,1,nan,nan,nan,nan,□,3,2,0,0.6666666666666666,0.6666666666666666,2.00,0,0,0,-,0,-,1,0,0,1,25.0,2,2,0,100.0
2020-10-31,2020-10,大野石油広島オイラーズ,17,L,土岡真央,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,8,1,2,25.0
2020-10-31,2020-10,大野石油広島オイラーズ,18,,濱田彩佳,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-10-31,2020-10,フォレストリーヴズ熊本,1,,堀ノ内麗,3,■,■,■,nan,nan,18,5,1,0.2777777777777778,0.2222222222222222,1.67,0,0,0,-,1,0.33,11,1,1,2,11.4,0,0,0,-
2020-10-31,2020-10,フォレストリーヴズ熊本,2,,大木美沙季,3,■,■,■,nan,nan,24,8,1,0.3333333333333333,0.2916666666666667,2.67,0,0,0,-,1,0.33,14,0,0,1,1.8,0,0,0,-
2020-10-31,2020-10,フォレストリーヴズ熊本,3,,川口美久,3,■,■,■,nan,nan,42,7,1,0.16666666666666666,0.14285714285714285,2.33,0,0,0,-,0,-,11,1,0,0,9.1,33,10,10,45.5
2020-10-31,2020-10,フォレストリーヴズ熊本,4,,柳迫琳々香,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-10-31,2020-10,フォレストリーヴズ熊本,5,,佐木田彩夏,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-10-31,2020-10,フォレストリーヴズ熊本,6,L,松元葵,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-10-31,2020-10,フォレストリーヴズ熊本,7,,南里くるみ,3,■,■,■,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,5,0,1,0,-5.0,0,0,0,-
2020-10-31,2020-10,フォレストリーヴズ熊本,8,,林美鈴,2,nan,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,1,0,1,50.0
2020-10-31,2020-10,フォレストリーヴズ熊本,9,L,河合桃香,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,8,4,1,56.2
