名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
赤阪瑠美,トヨタ車体クインシーズ,8,90,50,14,4,28.0,20.0,7,3,1,0,140,11,16,40,0,0,0,25,42.9,0.16,0.0,12.1,
迫田さおり,東レアローズ,9,100,1167,444,59,38.0,33.0,275,123,19,40,364,9,23,94,3,2,0,493,44.7,4.44,0.4,7.3,66.7
都築有美子,トヨタ車体クインシーズ,1,89,728,233,27,32.0,28.3,15,2,2,46,340,13,23,117,390,276,0,292,13.3,2.62,0.52,10.7,70.8
野口彩佳,岡山シーガルズ,16,32,4,2,0,50.0,50.0,0,0,0,0,19,1,6,0,74,51,0,3,,0.06,0.0,-2.6,68.9
野本梨佳,久光製薬スプリングス,14,2,5,3,0,60.0,60.0,0,0,0,0,2,0,2,0,9,2,0,3,,1.5,0.0,-25.0,22.2
鈴木裕子,デンソーエアリービーズ,6,104,633,244,28,38.5,34.1,0,0,0,28,344,7,29,99,509,337,0,279,,2.35,0.27,7.1,66.2
長岡望悠,久光製薬スプリングス,13,55,108,48,6,44.4,38.9,10,3,2,6,23,1,1,2,25,16,0,55,30.0,0.87,0.11,5.4,64.0
雨堤みなみ,久光製薬スプリングス,11,3,0,0,0,,,0,0,0,0,5,0,0,0,0,0,0,0,,0.0,0.0,0.0,
香野晶子,パイオニアレッドウィングス,23,95,342,114,19,33.3,27.8,1,0,0,20,302,16,24,83,36,31,0,150,0.0,1.2,0.21,10.2,86.1
高木理江,JTマーヴェラス,8,43,247,82,18,33.2,25.9,5,0,0,5,132,4,4,28,265,191,0,91,0.0,1.91,0.12,7.6,72.1
高松未,岡山シーガルズ,13,11,17,3,2,17.6,5.9,0,0,0,1,10,0,0,3,25,12,0,4,,0.27,0.09,7.5,48.0
高橋美帆,パイオニアレッドウィングス,18,1,4,1,0,25.0,25.0,0,0,0,0,4,0,1,0,0,0,0,1,,1.0,0.0,-6.2,
高橋菜穂子,デンソーエアリービーズ,14,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
高田ありさ,東レアローズ,6,95,153,64,7,41.8,37.3,1,0,0,7,207,4,18,49,193,124,0,75,0.0,0.67,0.07,5.7,64.2
鶴田桂子,久光製薬スプリングス,3,95,31,13,0,41.9,41.9,0,0,0,10,310,7,11,75,2,0,0,30,,0.14,0.11,7.4,0.0
