名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
平井香菜子,久光製薬スプリングス,9,105,85,345,154,24,44.6,37.7,0,0,0,49,254,9,15,100,24,20,0,212,,1.81,0.58,11.9,83.3
平松美有紀,トヨタ車体クインシーズ,5,117,101,593,258,28,43.5,38.8,0,0,0,54,284,13,35,63,29,21,0,325,,2.55,0.53,7.0,72.4
座安琴希,久光製薬スプリングス,10,47,10,0,0,0,,,0,0,0,0,0,0,0,0,45,35,0,0,,0.0,0.0,,77.8
引地舞,日立リヴァーレ,6,114,2,1,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,,0.0,0.5,,
戸江真奈,久光製薬スプリングス,18,28,6,0,0,0,,,0,0,0,0,9,0,1,4,8,3,0,0,,0.0,0.0,8.3,37.5
持丸結美子,パイオニアレッドウィングス,16,117,33,55,12,3,21.8,16.4,0,0,0,0,53,0,5,17,85,36,0,12,,0.36,0.0,5.7,42.4
斎田杏,日立リヴァーレ,17,117,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
新鍋理沙,久光製薬スプリングス,3,111,95,751,250,41,33.3,27.8,25,10,2,36,357,19,46,121,469,341,0,305,40.0,2.63,0.38,10.6,72.7
日隈佑,トヨタ車体クインシーズ,7,24,17,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
早坂梢依,JTマーヴェラス,15,117,91,399,113,28,28.3,21.3,4,0,1,25,286,10,18,105,2,0,0,148,0.0,1.24,0.27,11.1,0.0
星野絵美,トヨタ車体クインシーズ,10,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
服部晃佳,パイオニアレッドウィングス,5,117,79,389,116,33,29.8,21.3,1,0,1,12,156,1,9,49,377,200,0,129,0.0,1.47,0.15,7.1,53.1
服部梨花,パイオニアレッドウィングス,12,94,13,27,7,5,25.9,7.4,0,0,0,9,23,0,0,7,1,1,0,16,,0.54,0.69,7.6,100.0
木村美里,東レアローズ,12,117,47,0,0,0,,,0,0,0,0,0,0,0,0,59,29,0,0,,0.0,0.0,,49.2
杉原若葉,東レアローズ,20,22,1,2,1,1,50.0,0.0,0,0,0,0,2,0,0,0,1,0,0,1,,1.0,0.0,0.0,0.0
村田しおり,久光製薬スプリングス,13,54,6,0,0,0,,,0,0,0,0,9,0,0,5,0,0,0,0,,0.0,0.0,13.9,
村田奈都美,岡山シーガルズ,12,71,23,130,39,4,30.0,26.9,0,0,0,1,29,2,4,11,47,23,0,42,,1.7,0.04,12.9,48.9
東万純,岡山シーガルズ,23,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
松浦麻琴,NECレッドロケッツ,5,117,109,32,16,2,50.0,43.8,0,0,0,23,356,7,24,124,4,0,0,46,,0.15,0.21,9.0,0.0
林蓉子,パイオニアレッドウィングス,6,117,39,0,0,0,,,0,0,0,0,57,3,1,16,37,21,0,3,,0.0,0.0,11.8,56.8
柳田光綺,NECレッドロケッツ,21,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
栗原恵,岡山シーガルズ,11,44,42,309,96,20,31.1,24.6,20,5,1,12,78,4,10,24,102,53,0,112,25.0,2.29,0.29,9.6,52.0
梶原雪路,トヨタ車体クインシーズ,11,117,65,0,0,0,,,0,0,0,0,23,1,3,6,170,89,0,1,,0.0,0.0,7.6,52.4
森優紀,東レアローズ,18,29,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
森田結香,岡山シーガルズ,27,40,2,0,0,0,,,0,0,0,0,4,0,0,1,0,0,0,0,,0.0,0.0,6.2,
