名前,年月,チーム,背番号,月,出場数,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
庄司夕起,2006-02,パイオニアレッドウィングス,4,2,4,0.0,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
成田郁久美,2006-02,久光製薬スプリングス,2,2,3,0.0,14,6,2,42.9,28.6,0,0,0,3,8,0,0,2,30,12,0,9,,2.0,1.0,6.2,40.0
木村沙織,2006-02,東レアローズ,17,2,4,0.0,27,9,2,33.3,25.9,0,0,0,0,13,0,1,7,39,23,0,9,,2.25,0.0,11.5,59.0
栗原恵,2006-02,パイオニアレッドウィングス,1,4,7,0.0,71,23,9,32.4,19.7,6,1,1,4,24,2,6,13,20,8,0,29,16.7,3.29,0.57,15.6,40.0
榛澤舞子,2006-02,パイオニアレッドウィングス,9,4,3,0.0,0,0,0,,,0,0,0,0,4,0,0,2,0,0,0,0,,0.0,0.0,12.5,
橋本直子,2006-02,久光製薬スプリングス,17,2,1,0.0,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,0,,0.0,0.0,25.0,
江口理代,2006-02,パイオニアレッドウィングス,17,4,7,0.0,27,12,3,44.4,33.3,0,0,0,0,23,1,2,7,49,16,0,13,,1.71,0.0,9.8,32.7
渡辺真由美,2006-02,久光製薬スプリングス,12,2,1,0.0,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
濱口華菜里,2006-02,東レアローズ,14,2,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,20,11,0,0,,0.0,0.0,,55.0
芝田安希,2006-02,東レアローズ,4,2,2,0.0,2,1,0,50.0,50.0,0,0,0,2,0,0,0,0,2,0,0,3,,0.5,1.0,,0.0
荒木絵里香,2006-02,東レアローズ,13,2,4,0.0,20,6,2,30.0,20.0,0,0,0,2,14,0,1,8,0,0,0,8,,1.5,0.5,12.5,
荒木麻里,2006-02,パイオニアレッドウィングス,19,4,1,0.0,0,0,0,,,0,0,0,0,0,0,0,0,3,1,0,0,,0.0,0.0,,33.3
落合真理,2006-02,久光製薬スプリングス,3,2,3,0.0,21,9,2,42.9,33.3,2,0,0,2,10,0,0,8,7,4,0,11,0.0,3.0,0.67,20.0,57.1
西脇万里子,2006-02,東レアローズ,5,2,4,0.0,27,9,0,33.3,33.3,0,0,0,4,16,1,2,8,1,0,0,14,,2.25,1.0,15.6,0.0
足立留美,2006-02,武富士バンブー,5,4,8,0.0,79,29,4,36.7,31.6,2,0,0,0,34,5,1,10,47,17,0,34,0.0,3.62,0.0,21.3,36.2
野田昌代,2006-02,久光製薬スプリングス,1,2,1,0.0,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
鈴木洋美,2006-02,武富士バンブー,3,4,7,0.0,1,1,0,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,1,,0.14,0.0,,
青木絢子,2006-02,久光製薬スプリングス,6,2,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
高橋牧子,2006-02,パイオニアレッドウィングス,22,2,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
鶴田桂子,2006-02,久光製薬スプリングス,10,2,3,0.0,1,1,0,100.0,100.0,0,0,0,0,18,0,2,9,0,0,0,1,,0.33,0.0,9.7,
