名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率
金丸晃大,ジェイテクトSTINGS,2,60,175,83,19,47.4,36.6,0,0,0,60,197,4,11,53,8,5,0,,1.4,1.0,7.4
金子健太郎,富士通カワサキレッドスピリッツ,2,14,0,0,0,,,0,0,0,0,16,0,4,3,0,0,0,,0.0,0.0,-1.6
門田卓,トヨタ自動車サンホークス,12,38,93,31,8,33.3,24.7,0,0,0,18,99,1,3,30,8,3,0,,0.8,0.5,7.8
阿部友幸,つくばユナイテッドSunGAIA,19,60,193,83,18,43.0,33.7,8,2,1,14,218,1,8,51,283,208,0,25.0,1.4,0.2,5.4
阿部篤史,FC東京,12,49,448,242,35,54.0,46.2,181,89,24,22,194,8,51,51,1,0,0,49.2,4.9,0.4,4.1
飯塚俊彦,東京ヴェルディ,14,56,473,221,20,46.7,42.5,101,50,8,33,236,9,32,72,26,12,0,49.5,3.9,0.6,8.1
高取諒平,FC東京,11,4,2,0,0,0.0,0.0,0,0,0,0,3,0,1,1,0,0,0,,0.0,0.0,0.0
高橋洋史,東京ヴェルディ,6,18,1,1,0,100.0,100.0,0,0,0,0,32,0,1,6,0,0,0,,0.1,0.0,3.9
鬼頭浩幸,ジェイテクトSTINGS,18,22,5,3,1,60.0,40.0,0,0,0,1,23,0,2,5,1,0,0,,0.1,0.0,3.3
齋藤義人,大同特殊鋼レッドスター,14,15,0,0,0,,,0,0,0,0,24,0,0,10,0,0,0,,0.0,0.0,10.4
