名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
山本将平,11,JTサンダーズ,18,22,151,62,14,41.1,31.8,20,10,3,5,67,4,20,15,183,74,54,71,50.0,2.8,0.2,4.1,55.2
山本将平,12,JTサンダーズ,18,17,118,52,18,44.1,28.8,23,10,6,4,55,3,10,17,117,57,27,59,43.5,3.1,0.2,8.6,60.3
山本智大,01,FC東京,20,19,0,0,0,,,0,0,0,0,0,0,0,0,26,10,7,0,,0.0,0.0,,51.9
山本智大,10,FC東京,20,3,0,0,0,,,0,0,0,0,0,0,0,0,18,6,7,0,,0.0,0.0,,52.8
山本智大,11,FC東京,20,19,0,0,0,,,0,0,0,0,0,0,0,0,40,17,11,0,,0.0,0.0,,56.2
山本智大,12,FC東京,20,10,0,0,0,,,0,0,0,0,0,0,0,0,17,6,4,0,,0.0,0.0,,47.1
山本湧,01,サントリーサンバーズ,7,3,0,0,0,,,0,0,0,0,3,0,1,1,0,0,0,0,,0.0,0.0,0.0,
山本湧,10,サントリーサンバーズ,7,11,4,1,1,25.0,0.0,0,0,0,1,27,0,3,5,0,0,0,2,,0.1,0.1,1.9,
山本湧,11,サントリーサンバーズ,7,22,9,4,2,44.4,22.2,0,0,0,3,60,3,7,15,1,0,1,10,,0.2,0.1,8.3,50.0
山本湧,12,サントリーサンバーズ,7,11,4,1,0,25.0,25.0,0,0,0,1,37,0,5,4,0,0,0,2,,0.1,0.1,-0.7,
山添信也,01,パナソニックパンサーズ,3,1,0,0,0,,,0,0,0,0,2,0,1,0,0,0,0,0,,0.0,0.0,-12.5,
山添信也,10,パナソニックパンサーズ,3,4,5,1,2,20.0,-20.0,0,0,0,0,16,0,1,3,2,1,1,1,,0.2,0.0,3.1,75.0
山添信也,11,パナソニックパンサーズ,3,4,1,1,0,100.0,100.0,0,0,0,0,2,0,1,0,0,0,0,1,,0.2,0.0,-12.5,
山添信也,12,パナソニックパンサーズ,3,1,3,2,1,66.7,33.3,0,0,0,0,3,0,1,0,1,0,0,2,,2.0,0.0,-8.3,0.0
