名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
町野仁志,02,JTサンダーズ,18,1,1,0,0,0.0,0.0,0,0,0,1,2,0,0,0,3,2,0,1,,0.0,1.0,0.0,66.7
直弘龍治,02,JTサンダーズ,10,7,55,26,5,47.3,38.2,23,15,2,4,27,0,1,6,0,0,0,30,65.2,3.7,0.6,4.6,
直弘龍治,03,JTサンダーズ,10,7,24,12,2,50.0,41.7,5,0,1,1,7,0,1,2,2,1,0,13,0.0,1.7,0.1,3.6,50.0
真鍋政義,02,パナソニックパンサーズ,18,8,0,0,0,,,0,0,0,0,19,0,1,5,2,1,0,0,,0.0,0.0,5.3,50.0
臺光章,02,JTサンダーズ,6,7,0,0,0,,,0,0,0,4,25,0,4,2,0,0,0,4,,0.0,0.6,-2.0,
臺光章,03,JTサンダーズ,6,6,1,1,0,100.0,100.0,0,0,0,1,6,0,1,1,0,0,0,2,,0.2,0.2,0.0,
苅谷淳司,02,JTサンダーズ,3,7,12,10,0,83.3,83.3,0,0,0,8,23,0,2,2,2,1,0,18,,1.4,1.1,0.0,50.0
苅谷淳司,03,JTサンダーズ,3,8,11,5,0,45.5,45.5,0,0,0,6,27,1,4,3,3,1,0,12,,0.6,0.8,2.8,33.3
荻野正二,02,サントリーサンバーズ,10,12,59,19,4,32.2,25.4,12,5,2,4,44,1,3,12,90,54,0,24,41.7,1.6,0.3,7.4,60.0
荻野正二,03,サントリーサンバーズ,10,8,37,20,2,54.1,48.6,7,4,1,0,24,0,2,4,53,38,0,20,57.1,2.5,0.0,2.1,71.7
西田靖宏,02,サントリーサンバーズ,8,9,14,5,1,35.7,28.6,2,1,1,0,13,3,3,5,0,0,0,8,50.0,0.6,0.0,26.9,
西田靖宏,03,サントリーサンバーズ,8,6,0,0,0,,,0,0,0,1,10,2,2,1,0,0,0,3,,0.0,0.2,17.5,
越川優,02,サントリーサンバーズ,7,12,67,27,5,40.3,32.8,19,6,4,5,47,4,11,17,70,32,0,36,31.6,2.2,0.4,11.7,45.7
越川優,03,サントリーサンバーズ,7,8,37,16,5,43.2,29.7,4,0,2,0,29,3,4,9,21,14,0,19,0.0,2.0,0.0,14.7,66.7
酒井大祐,02,JTサンダーズ,15,4,0,0,0,,,0,0,0,0,0,0,0,0,21,12,0,0,,0.0,0.0,,57.1
金井修也,02,堺ブレイザーズ,21,4,0,0,0,,,0,0,0,0,7,0,2,5,0,0,0,0,,0.0,0.0,10.7,
金井修也,03,堺ブレイザーズ,21,2,0,0,0,,,0,0,0,0,3,1,2,0,0,0,0,1,,0.0,0.0,16.7,
飯塚俊彦,02,JTサンダーズ,9,3,9,6,0,66.7,66.7,5,4,0,0,5,0,2,1,0,0,0,6,80.0,2.0,0.0,-5.0,
高山博旭,03,パナソニックパンサーズ,2,1,0,0,0,,,0,0,0,0,3,0,1,1,0,0,0,0,,0.0,0.0,0.0,
