名前,年月,チーム,背番号,月,出場数,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
狩野舞子,2013-04,久光製薬スプリングス,11,4,1,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
田代佳奈美,2013-04,東レアローズ,11,4,3,0.0,0,0,0,,,0,0,0,0,2,0,0,1,0,0,0,0,,0.0,0.0,12.5,
白垣里紗,2013-04,NECレッドロケッツ,9,4,4,0.0,37,6,4,16.2,5.4,12,3,0,1,15,1,1,2,1,1,0,8,25.0,1.5,0.25,8.3,100.0
石井優希,2013-04,久光製薬スプリングス,6,4,3,0.0,37,11,0,29.7,29.7,4,0,0,1,8,0,3,1,13,8,0,12,0.0,3.67,0.33,-6.2,61.5
石橋里紗,2013-04,久光製薬スプリングス,23,4,2,0.0,0,0,0,,,0,0,0,0,8,1,0,6,0,0,0,1,,0.0,0.0,31.2,
石田瑞穂,2013-04,久光製薬スプリングス,22,4,1,0.0,0,0,0,,,0,0,0,0,1,0,0,1,5,2,0,0,,0.0,0.0,25.0,40.0
福田舞,2013-04,岡山シーガルズ,5,4,4,0.0,17,5,0,29.4,29.4,2,1,0,0,6,0,1,3,5,3,0,5,50.0,1.25,0.0,8.3,60.0
秋山美幸,2013-04,NECレッドロケッツ,7,4,3,0.0,2,0,0,0.0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,,0.0,0.0,0.0,
筒井さやか,2013-04,久光製薬スプリングス,20,4,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
筒井視穂子,2013-04,久光製薬スプリングス,7,4,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
荒木絵里香,2013-04,東レアローズ,1,4,3,0.0,10,2,1,20.0,10.0,0,0,0,1,7,0,0,4,0,0,0,3,,0.67,0.33,14.3,
近江あかり,2013-04,NECレッドロケッツ,6,4,4,0.0,27,6,0,22.2,22.2,1,0,0,1,9,0,1,1,19,11,0,7,0.0,1.5,0.25,0.0,57.9
迫田さおり,2013-04,東レアローズ,6,4,3,0.0,51,12,3,23.5,17.6,14,2,1,0,8,0,0,1,0,0,0,12,14.3,4.0,0.0,3.1,
野口彩佳,2013-04,岡山シーガルズ,16,4,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
金子早織,2013-04,NECレッドロケッツ,14,4,2,0.0,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,
長岡望悠,2013-04,久光製薬スプリングス,1,4,3,0.0,26,8,0,30.8,30.8,5,1,0,4,13,1,1,2,0,0,0,13,20.0,2.67,1.33,9.6,
関李香,2013-04,岡山シーガルズ,4,4,2,0.0,6,1,0,16.7,16.7,0,0,0,1,4,0,0,3,0,0,0,2,,0.5,0.5,18.8,
高田ありさ,2013-04,東レアローズ,4,4,3,0.0,30,11,3,36.7,26.7,2,0,1,1,11,1,0,3,28,15,0,13,0.0,3.67,0.33,15.9,53.6
鳥越未玖,2013-04,NECレッドロケッツ,16,4,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,28,17,0,0,,0.0,0.0,,60.7
