名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
片下恭子,2010-04,デンソーエアリービーズ,16,12,0,0,0,,,0,0,0,0,0,0,0,0,33,20,0,0,,0.0,0.0,,60.6
狩野美雪,2010-04,久光製薬スプリングス,7,7,0,0,0,,,0,0,0,0,0,0,0,0,17,13,0,0,,0.0,0.0,,76.5
矢野美子,2010-04,デンソーエアリービーズ,2,12,45,15,3,33.3,26.7,0,0,0,3,49,2,4,16,1,1,0,20,,1.25,0.25,10.2,100.0
石井美樹,2010-04,久光製薬スプリングス,1,12,124,51,3,41.1,38.7,7,3,1,0,49,5,2,14,100,69,0,56,42.9,4.25,0.0,16.3,69.0
石井里沙,2010-04,デンソーエアリービーズ,7,1,3,0,0,0.0,0.0,1,0,0,0,4,0,0,1,3,1,0,0,0.0,0.0,0.0,6.2,33.3
石川友紀,2010-04,JTマーヴェラス,9,7,27,12,2,44.4,37.0,0,0,0,4,15,0,1,2,3,2,0,16,,1.71,0.57,1.7,66.7
石田瑞穂,2010-04,久光製薬スプリングス,22,12,135,40,7,29.6,24.4,14,2,0,0,60,5,8,20,83,49,0,45,14.3,3.33,0.0,13.3,59.0
竹下佳江,2010-04,JTマーヴェラス,7,11,3,0,0,0.0,0.0,0,0,0,3,39,1,1,17,0,0,0,4,,0.0,0.27,12.8,
筒井視穂子,2010-04,久光製薬スプリングス,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
細田絵理,2010-04,デンソーエアリービーズ,4,11,111,32,5,28.8,24.3,0,0,0,2,38,3,3,11,89,53,0,37,,2.91,0.18,13.2,59.6
芝田安希,2010-04,東レアローズ,1,9,12,3,0,25.0,25.0,0,0,0,1,14,0,1,5,17,11,0,4,,0.33,0.11,7.1,64.7
荒木絵里香,2010-04,東レアローズ,4,13,60,20,7,33.3,21.7,0,0,0,7,44,0,2,12,1,0,0,27,,1.54,0.54,5.7,0.0
西脇万里子,2010-04,東レアローズ,2,3,4,3,0,75.0,75.0,0,0,0,1,9,0,0,2,0,0,0,4,,1.0,0.33,5.6,
谷口雅美,2010-04,JTマーヴェラス,2,10,29,7,3,24.1,13.8,9,1,2,2,18,0,2,7,0,0,0,9,11.1,0.7,0.2,6.9,
迫田さおり,2010-04,東レアローズ,14,13,169,56,9,33.1,27.8,28,9,2,4,46,6,5,12,0,0,0,66,32.1,4.31,0.31,16.8,
鈴木裕子,2010-04,デンソーエアリービーズ,20,11,56,19,4,33.9,26.8,0,0,0,3,38,3,2,13,47,29,0,25,,1.73,0.27,15.1,61.7
関李香,2010-04,デンソーエアリービーズ,11,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
高木理江,2010-04,JTマーヴェラス,8,2,8,2,0,25.0,25.0,0,0,0,0,11,0,0,1,17,12,0,2,,1.0,0.0,2.3,70.6
高田ありさ,2010-04,東レアローズ,12,12,0,0,0,,,0,0,0,0,18,0,0,1,20,14,0,0,,0.0,0.0,1.4,70.0
鶴田桂子,2010-04,久光製薬スプリングス,3,12,1,1,0,100.0,100.0,0,0,0,1,21,0,1,4,2,0,0,2,,0.08,0.08,3.6,0.0
黒羽桂子,2010-04,デンソーエアリービーズ,3,5,2,0,0,0.0,0.0,0,0,0,0,14,0,1,6,0,0,0,0,,0.0,0.0,8.9,
