名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブレシーブ成功率
北村將,近畿クラブスフィーダ,4,8,0,0,0,,,0,0,0,0,14,0,0,4,7.1,6,2,3,0,,0.0,0.0,58.3
南本大貴,奈良ドリーマーズ,18,10,1,1,0,100.0,100.0,0,0,0,0,28,0,0,8,7.1,1,1,0,1,,0.1,0.0,100.0
吉岡佳徳,千葉ZELVA,10,14,2,2,0,100.0,100.0,0,0,0,1,36,0,0,9,6.2,1,0,0,3,,0.14,0.07,0.0
大原悠,近畿クラブスフィーダ,16,19,22,6,2,27.3,18.2,0,0,0,1,16,2,1,6,20.3,94,59,22,9,,0.32,0.05,74.5
大町和幸,千葉ZELVA,12,5,31,10,1,32.3,29.0,0,0,0,1,20,0,1,6,6.2,21,9,5,11,,2.0,0.2,54.8
守山巧,クボタスピアーズ,14,2,0,0,0,,,0,0,0,0,2,0,1,0,-12.5,0,0,0,0,,0.0,0.0,
寺田晃聖,クボタスピアーズ,10,10,0,0,0,,,0,0,0,0,0,0,0,0,,63,29,23,0,,0.0,0.0,64.3
小磯智紀,近畿クラブスフィーダ,25,3,0,0,0,,,0,0,0,0,13,0,0,6,11.5,0,0,0,0,,0.0,0.0,
山本映樹,近畿クラブスフィーダ,1,2,0,0,0,,,0,0,0,0,6,0,0,0,0.0,0,0,0,0,,0.0,0.0,
山田誠幸,千葉ZELVA,2,13,21,8,0,38.1,38.1,0,0,0,8,21,0,1,4,3.6,1,0,0,16,,0.62,0.62,0.0
岡崎誠,クボタスピアーズ,4,23,135,54,8,40.0,34.1,3,1,0,7,98,4,20,22,4.6,49,19,6,65,33.3,2.35,0.3,44.9
川村幸司,奈良ドリーマーズ,12,14,91,38,10,41.8,30.8,7,1,1,4,55,2,6,12,6.4,84,35,31,44,14.3,2.71,0.29,60.1
市川一樹,千葉ZELVA,9,5,0,0,0,,,0,0,0,0,0,0,0,0,,27,9,10,0,,0.0,0.0,51.9
後藤和志,奈良ドリーマーズ,11,6,28,13,3,46.4,35.7,5,2,2,0,12,0,3,1,-4.2,0,0,0,13,40.0,2.17,0.0,
後藤陸翔,近畿クラブスフィーダ,18,15,69,46,5,66.7,59.4,8,5,1,5,54,0,3,14,5.1,75,37,19,51,62.5,3.07,0.33,62.0
早瀬川雄也,クボタスピアーズ,3,18,0,0,0,,,0,0,0,0,0,0,0,0,,92,43,28,0,,0.0,0.0,62.0
有津翔太,奈良ドリーマーズ,7,21,99,47,5,47.5,42.4,1,0,0,16,61,1,9,20,6.1,2,0,1,64,0.0,2.24,0.76,25.0
本多泰成,近畿クラブスフィーダ,28,14,0,0,0,,,0,0,0,0,1,0,0,0,0.0,70,22,25,0,,0.0,0.0,49.3
本多駿,近畿クラブスフィーダ,11,18,108,48,10,44.4,35.2,31,10,6,6,53,0,2,8,2.8,29,15,8,54,32.3,2.67,0.33,65.5
杉崎大和,千葉ZELVA,20,21,128,44,8,34.4,28.1,29,8,4,5,90,7,21,24,8.6,138,62,51,56,27.6,2.1,0.24,63.4
杉谷祐磨,奈良ドリーマーズ,14,6,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0,
村松俊輔,千葉ZELVA,8,21,207,90,21,43.5,33.3,76,30,12,5,66,2,7,6,2.7,3,2,0,97,39.5,4.29,0.24,66.7
東影夏海,近畿クラブスフィーダ,32,2,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0,
東野朋慶,近畿クラブスフィーダ,0,3,0,0,0,,,0,0,0,0,4,0,1,1,0.0,0,0,0,0,,0.0,0.0,
松浦陣羽,近畿クラブスフィーダ,20,9,0,0,0,,,0,0,0,0,3,0,0,0,0.0,6,4,2,0,,0.0,0.0,83.3
板橋健之,千葉ZELVA,5,12,3,2,0,66.7,66.7,0,0,0,0,26,0,4,2,-1.9,0,0,0,2,,0.17,0.0,
橋本大海,千葉ZELVA,4,21,95,38,8,40.0,31.6,0,0,0,14,80,7,21,19,8.1,3,2,0,59,,1.81,0.67,66.7
江口颯人,近畿クラブスフィーダ,29,7,27,12,2,44.4,37.0,2,1,0,7,16,0,0,3,4.7,1,0,0,19,50.0,1.71,1.0,0.0
江崎闘愛,近畿クラブスフィーダ,6,14,109,52,7,47.7,41.3,43,15,3,3,34,1,12,5,-2.2,1,1,0,56,34.9,3.71,0.21,100.0
河戸俊亮,近畿クラブスフィーダ,3,15,29,13,2,44.8,37.9,1,0,0,4,27,0,0,4,3.7,1,0,0,17,0.0,0.87,0.27,0.0
津崎智之,クボタスピアーズ,13,1,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0,
浅野晶,千葉ZELVA,1,2,17,5,1,29.4,23.5,4,2,0,0,8,0,1,2,3.1,15,6,7,5,50.0,2.5,0.0,63.3
渡邊徹,奈良ドリーマーズ,1,3,0,0,0,,,0,0,0,0,4,0,0,0,0.0,0,0,0,0,,0.0,0.0,
片野坂拓人,奈良ドリーマーズ,16,18,151,63,25,41.7,25.2,24,8,3,2,82,4,15,23,7.3,98,43,31,69,33.3,3.5,0.11,59.7
田中伸哉,クボタスピアーズ,17,7,10,1,2,10.0,-10.0,0,0,0,1,11,0,0,1,2.3,21,17,1,2,,0.14,0.14,83.3
田中誠,クボタスピアーズ,9,20,8,5,1,62.5,50.0,0,0,0,7,65,2,3,13,6.9,5,1,0,14,,0.25,0.35,20.0
石渡瑛法,奈良ドリーマーズ,19,21,0,0,0,,,0,0,0,0,0,0,0,0,,140,63,49,0,,0.0,0.0,62.5
碩幸輝,奈良ドリーマーズ,17,17,42,18,1,42.9,40.5,0,0,0,4,44,0,3,6,1.7,29,6,9,22,,1.06,0.24,36.2
福澤直己,千葉ZELVA,11,11,13,3,1,23.1,15.4,3,0,0,0,4,0,0,1,6.2,0,0,0,3,0.0,0.27,0.0,
籠樹,クボタスピアーズ,12,10,0,0,0,,,0,0,0,0,14,1,1,2,8.9,0,0,0,1,,0.0,0.0,
紀之定俊輔,千葉ZELVA,14,1,0,0,0,,,0,0,0,0,1,0,0,0,0.0,0,0,0,0,,0.0,0.0,
羽富琉偉,千葉ZELVA,23,2,0,0,0,,,0,0,0,0,2,0,0,0,0.0,0,0,0,0,,0.0,0.0,
蓑田蓮,クボタスピアーズ,7,10,1,0,0,0.0,0.0,0,0,0,2,19,0,2,0,-2.6,0,0,0,2,,0.0,0.2,
言上真一,奈良ドリーマーズ,2,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
谷口裕太郎,クボタスピアーズ,16,7,23,11,0,47.8,47.8,0,0,0,1,20,0,1,2,1.2,3,2,1,12,,1.57,0.14,83.3
赤松圭介,クボタスピアーズ,2,22,240,123,20,51.2,42.9,83,35,11,6,72,3,12,15,5.2,0,0,0,132,42.2,5.59,0.27,
越智蒼,近畿クラブスフィーダ,24,2,0,0,0,,,0,0,0,0,1,0,0,0,0.0,0,0,0,0,,0.0,0.0,
那須野裕進,近畿クラブスフィーダ,13,13,27,11,0,40.7,40.7,0,0,0,4,35,2,1,5,8.6,2,2,0,17,,0.85,0.31,100.0
野口拓朗,クボタスピアーズ,8,21,94,35,5,37.2,31.9,0,0,0,7,79,0,2,3,0.3,186,97,35,42,,1.67,0.33,61.6
野澤辰義,千葉ZELVA,6,20,0,0,0,,,0,0,0,0,0,0,0,0,,106,49,37,0,,0.0,0.0,63.7
鎌苅翔,クボタスピアーズ,1,23,116,46,5,39.7,35.3,1,0,0,21,76,0,1,8,2.3,14,8,4,67,0.0,2.0,0.91,71.4
阪根彩斗,クボタスピアーズ,6,6,24,11,2,45.8,37.5,3,1,0,1,18,0,1,3,2.8,9,3,2,12,33.3,1.83,0.17,44.4
高橋和希,奈良ドリーマーズ,9,21,49,14,3,28.6,22.4,1,0,0,3,71,4,11,17,7.7,82,48,17,21,0.0,0.67,0.14,68.9
高田晋作,千葉ZELVA,18,18,69,27,4,39.1,33.3,1,0,0,5,44,2,5,8,6.2,108,39,41,34,0.0,1.5,0.28,55.1
齋藤貴大,千葉ZELVA,3,14,46,22,3,47.8,41.3,0,0,0,9,33,2,5,11,10.6,3,3,0,33,,1.57,0.64,100.0
齋藤貴紀,千葉ZELVA,7,17,0,0,0,,,0,0,0,0,30,2,4,12,13.3,0,0,0,2,,0.0,0.0,
