名前,年月,チーム,背番号,月,出場数,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
桑田鎮典,2003-03,サントリーサンバーズ,19,9,3,0.0,21,10,3,47.6,33.3,4,3,0,3,14,2,4,2,17,11,0,15,75.0,3.33,1.0,10.7,64.7
河野裕輔,2003-03,JTサンダーズ,4,9,6,0.0,30,12,3,40.0,30.0,8,3,2,1,16,0,3,4,1,1,0,13,37.5,2.0,0.17,1.6,100.0
津曲勝利,2003-03,サントリーサンバーズ,11,9,11,0.0,0,0,0,,,0,0,0,0,0,0,0,0,67,55,0,0,,0.0,0.0,,82.1
浅倉勇,2003-03,パナソニックパンサーズ,3,9,6,0.0,11,6,2,54.5,36.4,0,0,0,0,7,0,2,1,3,2,0,6,,1.0,0.0,-3.6,66.7
清水雅之,2003-03,サントリーサンバーズ,4,9,8,0.0,0,0,0,,,0,0,0,1,25,0,1,2,0,0,0,1,,0.0,0.12,1.0,
渡邉正堂,2003-03,NECブルーロケッツ,11,9,6,0.0,19,12,1,63.2,57.9,0,0,0,2,10,0,0,0,0,0,0,14,,2.0,0.33,0.0,
牛尾正和,2003-03,パナソニックパンサーズ,10,9,4,0.0,1,1,0,100.0,100.0,0,0,0,0,4,0,1,0,0,0,0,1,,0.25,0.0,-6.2,
直弘龍治,2003-03,JTサンダーズ,10,9,9,0.0,35,11,4,31.4,20.0,11,3,3,4,20,0,1,4,2,1,0,15,27.3,1.22,0.44,3.8,50.0
真鍋政義,2003-03,パナソニックパンサーズ,18,9,9,0.0,6,5,0,83.3,83.3,0,0,0,1,37,1,2,4,0,0,0,7,,0.56,0.11,4.1,
竹内実,2003-03,NECブルーロケッツ,6,9,9,0.0,42,13,3,31.0,23.8,5,1,2,4,35,2,5,2,64,50,0,19,20.0,1.44,0.44,3.6,78.1
細川延由,2003-03,NECブルーロケッツ,2,9,8,0.0,7,2,1,28.6,14.3,1,0,0,0,13,0,3,1,12,7,0,2,0.0,0.25,0.0,-3.8,58.3
脇戸新之助,2003-03,NECブルーロケッツ,9,9,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
臺光章,2003-03,JTサンダーズ,6,9,9,0.0,0,0,0,,,0,0,0,1,20,0,2,0,0,0,0,1,,0.0,0.11,-2.5,
苅谷淳司,2003-03,JTサンダーズ,3,9,6,0.0,8,4,0,50.0,50.0,0,0,0,3,16,0,3,1,0,0,0,7,,0.67,0.5,-3.1,
荻野正二,2003-03,サントリーサンバーズ,10,9,8,0.0,23,11,4,47.8,30.4,1,1,0,6,30,1,2,2,56,50,0,18,100.0,1.38,0.75,3.3,89.3
菊地洋之,2003-03,NECブルーロケッツ,7,3,3,0.0,3,2,0,66.7,66.7,0,0,0,1,6,0,0,1,0,0,0,3,,0.67,0.33,4.2,
西澤吉邦,2003-03,パナソニックパンサーズ,7,9,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
西田靖宏,2003-03,サントリーサンバーズ,8,9,4,0.0,27,14,2,51.9,44.4,8,5,1,0,12,0,4,4,0,0,0,14,62.5,3.5,0.0,0.0,
足立和弘,2003-03,NECブルーロケッツ,17,6,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
鎌田修,2003-03,NECブルーロケッツ,14,3,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
青木一平,2003-03,NECブルーロケッツ,10,9,9,0.0,33,20,2,60.6,54.5,0,0,0,5,26,0,0,1,0,0,0,25,,2.22,0.56,1.0,
