名前,年月,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
大川愛海,2021-02,トヨタ車体クインシーズ,22,2,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
大竹里歩,2021-02,デンソーエアリービーズ,5,0,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
大野果歩,2021-02,東レアローズ,2,3,0,1,3,12,5,0,41.7,41.7,0,0,0,3,8,0,0,2,0,0,0,8,,1.67,1.0,6.2,
奥村麻依,2021-02,デンソーエアリービーズ,13,0,3,0,3,9,3,1,33.3,22.2,0,0,0,1,9,2,0,2,2,0,1,6,,1.0,0.33,27.8,25.0
孫田菜奈,2021-02,ヴィクトリーナ姫路,12,3,2,1,5,50,15,2,30.0,26.0,0,0,0,0,22,0,1,12,38,5,6,15,,3.0,0.0,12.5,21.1
宇賀神みずき,2021-02,岡山シーガルズ,5,3,0,1,3,3,2,0,66.7,66.7,0,0,0,2,9,0,0,0,0,0,0,4,,0.67,0.67,0.0,
宮下遥,2021-02,岡山シーガルズ,14,3,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
宮地佳乃,2021-02,ヴィクトリーナ姫路,8,3,2,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小島満菜美,2021-02,NECレッドロケッツ,16,2,3,0,5,0,0,0,,,0,0,0,0,0,0,0,0,14,6,4,0,,0.0,0.0,,57.1
小島絢野,2021-02,久光スプリングス,24,0,3,0,1,2,2,0,100.0,100.0,0,0,0,0,3,0,1,1,0,0,0,2,,2.0,0.0,0.0,
小川愛里奈,2021-02,東レアローズ,8,3,0,1,3,12,7,0,58.3,58.3,0,0,0,0,8,0,1,1,1,0,1,7,,2.33,0.0,0.0,50.0
