名前,年月,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
中村郁弥,2016-02,近畿クラブスフィーダ,26,3,2,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
中田雄大,2015-11,近畿クラブスフィーダ,12,3,1,1,4,2,0,0,0.0,0.0,0,0,0,1,21,0,0,7,0,0,0,1,,0.0,0.25,8.3,
中田雄大,2015-12,近畿クラブスフィーダ,12,0,3,0,3,0,0,0,,,0,0,0,0,7,0,0,2,0,0,0,0,,0.0,0.0,7.1,
中田雄大,2016-01,近畿クラブスフィーダ,12,8,9,2,15,4,3,0,75.0,75.0,0,0,0,2,59,3,4,15,0,0,0,8,,0.2,0.13,9.7,
中田雄大,2016-02,近畿クラブスフィーダ,12,6,9,2,12,6,2,0,33.3,33.3,0,0,0,2,45,1,1,14,1,0,0,5,,0.17,0.17,9.4,0.0
中谷光,2015-11,VC長野トライデンツ,25,6,2,2,2,0,0,0,,,0,0,0,0,4,0,0,2,0,0,0,0,,0.0,0.0,12.5,
中谷光,2015-12,VC長野トライデンツ,25,12,0,4,3,0,0,0,,,0,0,0,0,2,0,0,1,0,0,0,0,,0.0,0.0,12.5,
中谷光,2016-01,VC長野トライデンツ,25,12,4,4,9,0,0,0,,,0,0,0,0,12,0,1,6,0,0,0,0,,0.0,0.0,10.4,
中谷光,2016-02,VC長野トライデンツ,25,10,3,3,9,0,0,0,,,0,0,0,0,21,1,4,7,0,0,0,1,,0.0,0.0,8.3,
中野壮一朗,2015-11,千葉ZELVA,13,4,6,1,10,35,13,4,37.1,25.7,0,0,0,9,21,1,6,3,1,1,0,23,,1.3,0.9,1.2,100.0
中野壮一朗,2015-12,千葉ZELVA,13,6,5,2,8,25,9,1,36.0,32.0,0,0,0,4,17,0,1,7,2,2,0,13,,1.12,0.5,8.8,100.0
中野壮一朗,2016-01,千葉ZELVA,13,7,14,2,18,53,22,0,41.5,41.5,0,0,0,7,45,0,7,17,9,4,0,29,,1.22,0.39,5.6,44.4
中野壮一朗,2016-02,千葉ZELVA,13,12,11,3,22,58,18,3,31.0,25.9,0,0,0,10,66,0,1,25,10,7,0,28,,0.82,0.45,9.1,70.0
丹下雅行,2015-11,奈良ドリーマーズ,8,3,9,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
丹下雅行,2016-01,奈良ドリーマーズ,8,5,17,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
丹下雅行,2016-02,奈良ドリーマーズ,8,5,10,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
久堀雄世,2015-11,奈良ドリーマーズ,14,3,9,0,12,23,9,0,39.1,39.1,0,0,0,5,47,0,3,8,4,2,0,14,,0.75,0.42,2.7,50.0
久堀雄世,2015-12,奈良ドリーマーズ,14,4,6,1,10,39,14,2,35.9,30.8,0,0,0,5,20,0,5,8,1,1,0,19,,1.4,0.5,3.8,100.0
久堀雄世,2016-01,奈良ドリーマーズ,14,5,17,1,22,64,20,11,31.2,14.1,0,0,0,9,50,0,5,17,5,2,0,29,,0.91,0.41,6.0,40.0
久堀雄世,2016-02,奈良ドリーマーズ,14,6,16,1,10,12,3,2,25.0,8.3,0,0,0,0,12,2,1,5,0,0,0,5,,0.3,0.0,25.0,
今村雄登,2015-11,兵庫デルフィーノ,8,6,3,2,9,6,4,0,66.7,66.7,0,0,0,4,26,0,6,7,1,0,0,8,,0.44,0.44,1.0,0.0
今村雄登,2015-12,兵庫デルフィーノ,8,3,3,1,6,4,2,0,50.0,50.0,0,0,0,1,24,2,0,8,0,0,0,5,,0.33,0.17,16.7,
今村雄登,2016-01,兵庫デルフィーノ,8,10,7,3,15,6,3,0,50.0,50.0,0,0,0,0,51,2,5,20,1,1,0,5,,0.2,0.0,11.3,100.0
今村雄登,2016-02,兵庫デルフィーノ,8,5,15,1,18,7,4,0,57.1,57.1,0,0,0,2,46,1,5,11,2,1,0,7,,0.22,0.11,5.4,50.0
今田善仁,2015-11,きんでんトリニティーブリッツ,4,8,5,2,3,0,0,0,,,0,0,0,0,4,0,0,1,0,0,0,0,,0.0,0.0,6.2,
今田善仁,2015-12,きんでんトリニティーブリッツ,4,9,0,3,3,1,1,0,100.0,100.0,0,0,0,0,6,0,2,4,0,0,0,1,,0.33,0.0,8.3,
今田善仁,2016-02,きんでんトリニティーブリッツ,4,6,0,2,2,1,1,0,100.0,100.0,0,0,0,1,6,0,0,3,0,0,0,2,,0.5,0.5,12.5,
伊藤優介,2015-11,東京トヨペットグリーンスパークル,1,3,4,1,4,5,2,0,40.0,40.0,1,0,0,4,14,1,0,5,18,6,0,7,0.0,0.5,1.0,16.1,33.3
伊藤優介,2015-12,東京トヨペットグリーンスパークル,1,1,12,0,11,21,5,2,23.8,14.3,1,0,0,5,23,1,3,10,60,24,0,11,0.0,0.45,0.45,12.0,40.0
伊藤優介,2016-01,東京トヨペットグリーンスパークル,1,5,18,0,23,42,11,1,26.2,23.8,0,0,0,4,68,4,5,24,81,36,0,19,,0.48,0.17,12.9,44.4
伊藤優介,2016-02,東京トヨペットグリーンスパークル,1,4,16,1,20,89,30,10,33.7,22.5,0,0,0,8,56,0,3,23,101,42,0,38,,1.5,0.4,8.9,41.6
内園徹,2015-11,きんでんトリニティーブリッツ,9,8,5,2,9,0,0,0,,,0,0,0,0,16,0,1,7,1,1,0,0,,0.0,0.0,9.4,100.0
内園徹,2015-12,きんでんトリニティーブリッツ,9,9,0,3,4,0,0,0,,,0,0,0,0,5,0,1,1,1,0,0,0,,0.0,0.0,0.0,0.0
内園徹,2016-01,きんでんトリニティーブリッツ,9,16,4,5,13,0,0,0,,,0,0,0,0,18,1,3,9,1,1,0,1,,0.0,0.0,13.9,100.0
内園徹,2016-02,きんでんトリニティーブリッツ,9,18,2,6,15,0,0,0,,,0,0,0,0,19,0,4,9,12,8,0,0,,0.0,0.0,6.6,66.7
冷水亮,2015-11,千葉ZELVA,21,4,6,1,10,0,0,0,,,0,0,0,0,0,0,0,0,57,43,0,0,,0.0,0.0,,75.4
冷水亮,2015-12,千葉ZELVA,21,6,5,2,11,0,0,0,,,0,0,0,0,0,0,0,0,71,50,0,0,,0.0,0.0,,70.4
冷水亮,2016-01,千葉ZELVA,21,7,14,2,21,0,0,0,,,0,0,0,0,0,0,0,0,108,77,0,0,,0.0,0.0,,71.3
冷水亮,2016-02,千葉ZELVA,21,12,11,3,23,0,0,0,,,0,0,0,0,0,0,0,0,143,102,0,0,,0.0,0.0,,71.3
前田泰樹,2015-11,近畿クラブスフィーダ,21,3,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
前田泰樹,2016-01,近畿クラブスフィーダ,21,3,5,1,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
前田泰樹,2016-02,近畿クラブスフィーダ,21,6,4,2,5,2,0,0,0.0,0.0,0,0,0,1,2,0,0,0,0,0,0,1,,0.0,0.2,0.0,
勝将哉,2015-12,近畿クラブスフィーダ,6,0,3,0,3,9,3,0,33.3,33.3,0,0,0,0,8,0,2,1,9,3,0,3,,1.0,0.0,-3.1,33.3
勝将哉,2016-01,近畿クラブスフィーダ,6,11,11,3,17,136,58,9,42.6,36.0,13,6,1,3,68,6,15,19,38,23,0,67,46.2,3.41,0.18,10.3,60.5
勝将哉,2016-02,近畿クラブスフィーダ,6,6,9,2,11,100,48,3,48.0,45.0,14,5,1,3,40,2,13,10,18,8,0,53,35.7,4.36,0.27,3.1,44.4
北村將,2015-11,近畿クラブスフィーダ,20,4,4,1,8,49,22,3,44.9,38.8,0,0,0,0,35,1,1,4,31,21,0,23,,2.75,0.0,5.0,67.7
北村將,2015-12,近畿クラブスフィーダ,20,0,9,0,6,20,7,0,35.0,35.0,0,0,0,0,13,0,0,2,31,18,0,7,,1.17,0.0,3.8,58.1
北村將,2016-01,近畿クラブスフィーダ,20,3,5,1,2,0,0,0,,,0,0,0,0,2,0,0,0,4,1,0,0,,0.0,0.0,0.0,25.0
北村將,2016-02,近畿クラブスフィーダ,20,6,4,2,1,0,0,0,,,0,0,0,0,4,0,0,1,0,0,0,0,,0.0,0.0,6.2,
原田将志,2015-11,兵庫デルフィーノ,3,6,6,2,7,8,2,1,25.0,12.5,0,0,0,2,18,1,4,4,0,0,0,5,,0.29,0.29,5.6,
原田将志,2015-12,兵庫デルフィーノ,3,0,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
原田将志,2016-01,兵庫デルフィーノ,3,13,4,4,3,0,0,0,,,0,0,0,0,4,1,2,0,0,0,0,1,,0.0,0.0,12.5,
原田将志,2016-02,兵庫デルフィーノ,3,2,9,0,3,2,0,1,0.0,-50.0,0,0,0,0,4,0,2,0,0,0,0,0,,0.0,0.0,-12.5,
古家康隆,2015-11,千葉ZELVA,6,4,6,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
古家康隆,2015-12,千葉ZELVA,6,0,3,0,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
古家康隆,2016-01,千葉ZELVA,6,7,14,2,2,0,0,0,,,0,0,0,0,0,0,0,0,3,0,0,0,,0.0,0.0,,0.0
古家康隆,2016-02,千葉ZELVA,6,12,11,3,3,0,0,0,,,0,0,0,0,3,0,0,0,0,0,0,0,,0.0,0.0,0.0,
古牧佑太,2015-11,奈良ドリーマーズ,12,1,6,0,6,6,0,0,0.0,0.0,0,0,0,2,6,0,1,2,0,0,0,2,,0.0,0.33,4.2,
古牧佑太,2015-12,奈良ドリーマーズ,12,4,6,1,4,6,2,1,33.3,16.7,0,0,0,0,2,0,0,2,0,0,0,2,,0.5,0.0,25.0,
古牧佑太,2016-01,奈良ドリーマーズ,12,3,8,1,9,14,6,1,42.9,35.7,0,0,0,2,12,1,2,1,0,0,0,9,,0.67,0.22,6.2,
古牧佑太,2016-02,奈良ドリーマーズ,12,4,7,1,3,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
吉岡佳徳,2015-11,千葉ZELVA,10,4,6,1,5,2,0,0,0.0,0.0,0,0,0,0,14,0,1,3,0,0,0,0,,0.0,0.0,3.6,
吉岡佳徳,2015-12,千葉ZELVA,10,6,5,2,4,0,0,0,,,0,0,0,0,5,0,0,3,0,0,0,0,,0.0,0.0,15.0,
吉岡佳徳,2016-01,千葉ZELVA,10,7,11,2,5,2,0,0,0.0,0.0,0,0,0,1,9,0,1,4,1,0,0,1,,0.0,0.2,8.3,0.0
吉岡佳徳,2016-02,千葉ZELVA,10,9,7,2,16,4,1,0,25.0,25.0,0,0,0,1,67,0,3,20,0,0,0,2,,0.06,0.06,6.3,
吉田政俊,2015-11,兵庫デルフィーノ,15,6,6,2,12,25,8,2,32.0,24.0,0,0,0,6,54,5,8,14,3,3,0,19,,0.67,0.5,12.0,100.0
吉田政俊,2015-12,兵庫デルフィーノ,15,0,3,0,2,2,0,0,0.0,0.0,0,0,0,0,6,0,1,3,0,0,0,0,,0.0,0.0,8.3,
吉田政俊,2016-01,兵庫デルフィーノ,15,13,7,4,17,40,18,3,45.0,37.5,0,0,0,8,54,4,5,16,1,1,0,30,,1.06,0.47,12.5,100.0
吉田政俊,2016-02,兵庫デルフィーノ,15,2,15,0,13,15,6,0,40.0,40.0,0,0,0,2,18,0,4,6,2,0,0,8,,0.46,0.15,2.8,0.0
塩大地,2015-11,きんでんトリニティーブリッツ,6,8,5,2,13,44,25,4,56.8,47.7,0,0,0,14,27,1,1,0,4,3,0,40,,1.92,1.08,2.8,75.0
塩大地,2015-12,きんでんトリニティーブリッツ,6,9,0,3,8,28,16,3,57.1,46.4,0,0,0,9,26,0,4,7,0,0,0,25,,2.0,1.12,2.9,
塩大地,2016-01,きんでんトリニティーブリッツ,6,16,4,5,19,60,29,3,48.3,43.3,0,0,0,10,49,2,5,10,1,1,0,41,,1.53,0.53,6.6,100.0
塩大地,2016-02,きんでんトリニティーブリッツ,6,18,2,6,18,61,39,2,63.9,60.7,0,0,0,13,58,1,7,14,6,3,0,53,,2.17,0.72,4.7,50.0
壇亮太,2015-11,兵庫デルフィーノ,17,6,0,2,6,22,16,0,72.7,72.7,0,0,0,8,13,0,3,7,0,0,0,24,,2.67,1.33,7.7,
壇亮太,2015-12,兵庫デルフィーノ,17,3,3,1,6,17,11,1,64.7,58.8,0,0,0,3,18,1,5,7,0,0,0,15,,1.83,0.5,8.3,
壇亮太,2016-01,兵庫デルフィーノ,17,3,3,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
壇亮太,2016-02,兵庫デルフィーノ,17,5,12,1,12,35,14,7,40.0,20.0,0,0,0,3,23,0,4,4,3,2,0,17,,1.17,0.25,0.0,66.7
多田将希,2015-11,VC長野トライデンツ,20,6,2,2,8,0,0,0,,,0,0,0,0,17,0,1,4,0,0,0,0,,0.0,0.0,4.4,
多田将希,2015-12,VC長野トライデンツ,20,12,0,4,11,4,2,0,50.0,50.0,1,0,0,0,24,0,1,9,1,0,0,2,0.0,0.18,0.0,8.3,0.0
多田将希,2016-01,VC長野トライデンツ,20,18,4,6,20,9,5,0,55.6,55.6,0,0,0,0,45,0,3,7,1,1,0,5,,0.25,0.0,2.2,100.0
多田将希,2016-02,VC長野トライデンツ,20,16,3,5,18,8,3,0,37.5,37.5,0,0,0,0,44,0,2,8,2,0,0,3,,0.17,0.0,3.4,0.0
大井手脩輔,2015-11,千葉ZELVA,29,4,6,1,3,5,0,1,0.0,-20.0,1,0,1,0,5,0,1,0,19,10,0,0,0.0,0.0,0.0,-5.0,52.6
大井手脩輔,2015-12,千葉ZELVA,29,6,5,2,6,8,1,0,12.5,12.5,0,0,0,0,11,2,1,3,9,6,0,3,,0.17,0.0,22.7,66.7
大井手脩輔,2016-01,千葉ZELVA,29,7,11,2,8,23,6,3,26.1,13.0,0,0,0,1,18,1,2,3,21,12,0,8,,0.75,0.12,6.9,57.1
大井手脩輔,2016-02,千葉ZELVA,29,12,11,3,20,55,16,6,29.1,18.2,0,0,0,1,61,4,16,19,88,47,0,21,,0.8,0.05,7.8,53.4
大原悠,2015-11,近畿クラブスフィーダ,16,3,1,1,4,0,0,0,,,0,0,0,0,0,0,0,0,26,19,0,0,,0.0,0.0,,73.1
大原悠,2015-12,近畿クラブスフィーダ,16,0,3,0,3,0,0,0,,,0,0,0,0,0,0,0,0,19,11,0,0,,0.0,0.0,,57.9
大原悠,2016-01,近畿クラブスフィーダ,16,8,9,2,17,0,0,0,,,0,0,0,0,0,0,0,0,114,74,0,0,,0.0,0.0,,64.9
大原悠,2016-02,近畿クラブスフィーダ,16,9,10,3,19,0,0,0,,,0,0,0,0,0,0,0,0,128,87,0,0,,0.0,0.0,,68.0
大澤満,2015-11,東京トヨペットグリーンスパークル,9,3,1,1,4,0,0,0,,,0,0,0,0,0,0,0,0,26,21,0,0,,0.0,0.0,,80.8
大澤満,2015-12,東京トヨペットグリーンスパークル,9,1,9,0,10,0,0,0,,,0,0,0,0,0,0,0,0,75,39,0,0,,0.0,0.0,,52.0
大澤満,2016-01,東京トヨペットグリーンスパークル,9,4,9,0,13,0,0,0,,,0,0,0,0,0,0,0,0,71,41,0,0,,0.0,0.0,,57.7
大澤満,2016-02,東京トヨペットグリーンスパークル,9,4,4,1,8,0,0,0,,,0,0,0,0,0,0,0,0,54,29,0,0,,0.0,0.0,,53.7
大町和幸,2015-11,千葉ZELVA,12,4,6,1,10,63,18,6,28.6,19.0,7,1,2,1,42,4,3,12,53,35,0,23,14.3,1.8,0.1,14.9,66.0
大町和幸,2015-12,千葉ZELVA,12,6,5,2,11,68,29,3,42.6,38.2,4,1,0,1,46,3,5,18,44,31,0,33,25.0,2.64,0.09,13.6,70.5
大町和幸,2016-01,千葉ZELVA,12,7,11,2,17,102,41,6,40.2,34.3,11,3,0,2,70,1,10,19,96,67,0,44,27.3,2.41,0.12,4.6,69.8
大町和幸,2016-02,千葉ZELVA,12,12,11,3,23,210,93,4,44.3,42.4,14,5,1,5,96,4,15,41,82,45,0,102,35.7,4.04,0.22,10.9,54.9
大貫智博,2015-11,東京トヨペットグリーンスパークル,6,3,4,1,7,20,10,1,50.0,45.0,0,0,0,1,32,2,0,4,1,0,0,13,,1.43,0.14,9.4,0.0
大貫智博,2015-12,東京トヨペットグリーンスパークル,6,1,12,0,13,27,7,4,25.9,11.1,0,0,0,2,46,0,1,9,1,0,0,9,,0.54,0.15,4.3,0.0
大貫智博,2016-01,東京トヨペットグリーンスパークル,6,5,18,0,23,59,22,4,37.3,30.5,0,0,0,11,79,0,4,8,0,0,0,33,,0.96,0.48,1.3,
大貫智博,2016-02,東京トヨペットグリーンスパークル,6,4,16,1,20,33,12,4,36.4,24.2,0,0,0,6,70,0,3,13,0,0,0,18,,0.6,0.3,3.6,
大賀惠介,2015-11,きんでんトリニティーブリッツ,5,8,5,2,4,0,0,0,,,0,0,0,0,0,0,0,0,28,22,0,0,,0.0,0.0,,78.6
大賀惠介,2015-12,きんでんトリニティーブリッツ,5,6,0,2,1,0,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,,0.0,0.0,,0.0
大賀惠介,2016-01,きんでんトリニティーブリッツ,5,16,4,5,3,0,0,0,,,0,0,0,0,0,0,0,0,1,1,0,0,,0.0,0.0,,100.0
大賀惠介,2016-02,きんでんトリニティーブリッツ,5,18,2,6,4,0,0,0,,,0,0,0,0,0,0,0,0,19,12,0,0,,0.0,0.0,,63.2
奥長勝之,2015-11,兵庫デルフィーノ,10,6,6,2,11,51,19,2,37.3,33.3,2,1,0,1,38,3,6,6,98,61,0,23,50.0,1.73,0.09,7.9,62.2
奥長勝之,2015-12,兵庫デルフィーノ,10,3,3,1,6,29,12,6,41.4,20.7,1,0,1,1,21,1,3,6,65,40,0,14,0.0,2.0,0.17,8.3,61.5
奥長勝之,2016-01,兵庫デルフィーノ,10,13,7,4,18,71,41,2,57.7,54.9,2,2,0,2,65,3,9,33,135,85,0,46,100.0,2.28,0.11,13.8,63.0
奥長勝之,2016-02,兵庫デルフィーノ,10,1,12,0,12,30,10,8,33.3,6.7,2,0,1,2,29,1,4,8,80,56,0,13,0.0,0.83,0.17,6.9,70.0
小寺秀哉,2016-01,奈良ドリーマーズ,16,0,3,0,3,0,0,0,,,0,0,0,0,3,0,1,0,5,4,0,0,,0.0,0.0,-8.3,80.0
小寺秀哉,2016-02,奈良ドリーマーズ,16,6,16,1,14,0,0,0,,,0,0,0,0,15,0,2,6,4,3,0,0,,0.0,0.0,6.7,75.0
小林哲也,2015-11,VC長野トライデンツ,4,6,2,2,8,55,24,5,43.6,34.5,22,9,5,5,30,5,1,11,0,0,0,34,40.9,3.0,0.62,25.0,
小林哲也,2015-12,VC長野トライデンツ,4,12,0,4,12,88,47,7,53.4,45.5,29,15,4,2,49,4,9,25,1,0,0,53,51.7,3.92,0.17,16.3,0.0
小林哲也,2016-01,VC長野トライデンツ,4,18,4,6,22,122,53,7,43.4,37.7,32,12,3,7,57,3,13,20,0,0,0,63,37.5,2.41,0.32,8.3,
小林哲也,2016-02,VC長野トライデンツ,4,16,3,5,19,153,77,8,50.3,45.1,58,24,5,8,73,8,17,32,1,1,0,93,41.4,4.05,0.42,16.1,100.0
小林洸,2016-01,近畿クラブスフィーダ,8,2,3,0,3,0,0,0,,,0,0,0,0,6,1,0,1,0,0,0,1,,0.0,0.0,20.8,
小林洸,2016-02,近畿クラブスフィーダ,8,6,6,2,10,0,0,0,,,0,0,0,0,16,1,4,7,0,0,0,1,,0.0,0.0,10.9,
小林空,2015-11,近畿クラブスフィーダ,24,7,5,2,11,80,36,11,45.0,31.2,15,5,2,6,53,7,12,18,5,3,0,49,33.3,3.27,0.55,16.0,60.0
小林空,2015-12,近畿クラブスフィーダ,24,0,6,0,6,50,16,4,32.0,24.0,12,5,2,1,20,0,6,5,3,1,0,17,41.7,2.67,0.17,-1.2,33.3
小林空,2016-01,近畿クラブスフィーダ,24,5,6,1,11,58,20,5,34.5,25.9,14,5,2,4,26,0,5,5,0,0,0,24,35.7,1.82,0.36,0.0,
小林空,2016-02,近畿クラブスフィーダ,24,9,7,3,16,104,45,9,43.3,34.6,32,14,2,0,70,4,10,26,1,1,0,49,43.8,2.81,0.0,11.4,100.0
小池和貴,2015-11,VC長野トライデンツ,9,6,2,2,2,6,1,1,16.7,0.0,0,0,0,0,8,0,0,2,5,0,0,1,,0.5,0.0,6.2,0.0
小池和貴,2015-12,VC長野トライデンツ,9,12,0,4,7,29,8,2,27.6,20.7,4,0,2,1,20,0,1,4,5,2,0,9,0.0,1.14,0.14,3.8,40.0
小池和貴,2016-01,VC長野トライデンツ,9,18,4,6,5,9,3,0,33.3,33.3,0,0,0,0,5,0,0,1,10,2,0,3,,0.6,0.0,5.0,20.0
小池和貴,2016-02,VC長野トライデンツ,9,16,3,5,3,5,1,2,20.0,-20.0,1,0,1,0,4,0,1,0,2,1,0,1,0.0,0.33,0.0,-6.2,50.0
小河原拓磨,2015-12,VC長野トライデンツ,15,6,0,2,5,0,0,0,,,0,0,0,0,12,1,1,6,0,0,0,1,,0.0,0.0,18.8,
小野義隆,2015-11,きんでんトリニティーブリッツ,15,8,5,2,7,0,0,0,,,0,0,0,0,19,0,1,1,0,0,0,0,,0.0,0.0,0.0,
小野義隆,2015-12,きんでんトリニティーブリッツ,15,3,0,1,1,0,0,0,,,0,0,0,0,3,0,0,0,0,0,0,0,,0.0,0.0,0.0,
小野義隆,2016-01,きんでんトリニティーブリッツ,15,16,4,5,5,3,2,0,66.7,66.7,0,0,0,1,11,0,1,5,0,0,0,3,,0.4,0.2,9.1,
小野義隆,2016-02,きんでんトリニティーブリッツ,15,12,2,4,5,2,0,0,0.0,0.0,0,0,0,0,9,0,0,2,0,0,0,0,,0.0,0.0,5.6,
小関和樹,2015-11,東京トヨペットグリーンスパークル,13,3,4,1,7,5,3,0,60.0,60.0,0,0,0,0,25,1,4,6,2,0,0,4,,0.43,0.0,6.0,0.0
小関和樹,2015-12,東京トヨペットグリーンスパークル,13,1,12,0,13,5,2,0,40.0,40.0,0,0,0,2,45,1,6,8,2,0,0,5,,0.15,0.15,3.3,0.0
小関和樹,2016-01,東京トヨペットグリーンスパークル,13,5,18,0,23,13,7,2,53.8,38.5,0,0,0,0,77,2,12,19,5,2,0,9,,0.3,0.0,4.9,40.0
小関和樹,2016-02,東京トヨペットグリーンスパークル,13,4,16,1,20,15,5,0,33.3,33.3,0,0,0,3,65,2,6,13,2,0,0,10,,0.25,0.15,5.8,0.0
尾松航洋,2015-11,きんでんトリニティーブリッツ,2,8,5,2,8,7,4,1,57.1,42.9,1,1,0,1,13,0,1,5,0,0,0,5,100.0,0.5,0.12,7.7,
尾松航洋,2015-12,きんでんトリニティーブリッツ,2,9,0,3,6,0,0,0,,,0,0,0,0,9,0,3,6,0,0,0,0,,0.0,0.0,8.3,
尾松航洋,2016-01,きんでんトリニティーブリッツ,2,13,4,4,14,0,0,0,,,0,0,0,0,17,1,3,6,0,0,0,1,,0.0,0.0,10.3,
尾松航洋,2016-02,きんでんトリニティーブリッツ,2,18,2,6,14,0,0,0,,,0,0,0,0,21,1,5,9,0,0,0,1,,0.0,0.0,9.5,
山下博史,2015-11,奈良ドリーマーズ,15,3,9,0,10,0,0,0,,,0,0,0,0,16,0,3,4,0,0,0,0,,0.0,0.0,1.6,
山下博史,2015-12,奈良ドリーマーズ,15,4,6,1,8,0,0,0,,,0,0,0,0,13,0,1,4,0,0,0,0,,0.0,0.0,5.8,
山下博史,2016-01,奈良ドリーマーズ,15,5,14,1,17,0,0,0,,,0,0,0,0,20,0,4,8,0,0,0,0,,0.0,0.0,5.0,
山下博史,2016-02,奈良ドリーマーズ,15,5,10,1,11,0,0,0,,,0,0,0,0,16,0,2,4,0,0,0,0,,0.0,0.0,3.1,
山本寛生,2015-12,きんでんトリニティーブリッツ,16,9,0,3,5,13,10,0,76.9,76.9,1,1,0,0,5,0,1,1,0,0,0,10,100.0,2.0,0.0,0.0,
山本寛生,2016-01,きんでんトリニティーブリッツ,16,13,4,4,9,50,22,3,44.0,38.0,6,2,1,2,30,4,3,17,1,0,0,28,33.3,2.44,0.22,25.0,0.0
山本寛生,2016-02,きんでんトリニティーブリッツ,16,6,1,2,3,10,3,3,30.0,0.0,1,0,0,0,3,0,1,1,0,0,0,3,0.0,1.0,0.0,0.0,
山本慎人,2015-11,近畿クラブスフィーダ,15,3,1,1,3,0,0,0,,,0,0,0,0,9,0,0,4,0,0,0,0,,0.0,0.0,11.1,
山本慎人,2015-12,近畿クラブスフィーダ,15,0,9,0,5,0,0,0,,,0,0,0,0,6,0,1,3,0,0,0,0,,0.0,0.0,8.3,
山本慎人,2016-01,近畿クラブスフィーダ,15,5,5,1,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
山本慎人,2016-02,近畿クラブスフィーダ,15,9,4,3,8,0,0,0,,,0,0,0,0,9,0,2,2,0,0,0,0,,0.0,0.0,0.0,
