名前,チーム,背番号,月,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
杉山嵩樹,VC長野トライデンツ,10,60,42,6,14,3,0,0,0,,,0,0,0,0,0,0,0,0,4,3,0,0,,0.0,0.0,,75.0
村松俊輔,VC長野トライデンツ,19,88,52,9,17,35,97,46,14,47.4,33.0,21,7,7,3,43,5,14,11,4,4,0,54,33.3,1.31,0.09,9.9,100.0
村田峻一,兵庫デルフィーノ,16,84,23,28,7,14,0,0,0,,,0,0,0,0,23,0,7,8,5,2,0,0,,0.0,0.0,1.1,40.0
松元翔太郎,千葉ZELVA,35,49,8,18,2,11,27,10,4,37.0,22.2,9,2,2,1,11,0,0,4,0,0,0,11,22.2,0.91,0.09,9.1,
松島真,奈良ドリーマーズ,3,86,18,45,3,60,38,21,0,55.3,55.3,0,0,0,16,198,6,25,66,2,2,0,43,,0.35,0.27,8.2,100.0
松本敬三,東京トヨペットグリーンスパークル,16,88,13,50,2,63,571,207,54,36.3,26.8,72,15,9,6,185,10,27,61,382,248,0,223,20.8,3.29,0.1,10.0,64.9
松本永志,きんでんトリニティーブリッツ,10,87,51,11,16,58,460,197,40,42.8,34.1,172,57,24,5,216,13,30,85,1,1,0,215,33.1,3.4,0.09,12.4,100.0
松枝寿明,東京トヨペットグリーンスパークル,11,2,0,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
松田祐和,きんでんトリニティーブリッツ,18,36,9,0,3,2,3,2,1,66.7,33.3,0,0,0,1,4,0,0,4,0,0,0,3,,1.0,0.5,25.0,
柿木秀人,奈良ドリーマーズ,10,49,5,15,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
栗木勇,VC長野トライデンツ,7,88,52,9,17,61,366,175,26,47.8,40.7,36,11,7,28,299,32,43,125,351,210,0,235,30.6,2.87,0.46,17.6,59.8
梶野喜宏,近畿クラブスフィーダ,2,75,25,31,8,35,11,6,0,54.5,54.5,0,0,0,3,117,2,2,33,0,0,0,11,,0.17,0.09,8.3,
森啓汰,奈良ドリーマーズ,11,61,8,21,1,12,58,14,3,24.1,19.0,3,2,0,1,43,4,9,17,52,23,0,19,66.7,1.17,0.08,14.0,44.2
森崎健史,VC長野トライデンツ,16,88,52,9,17,61,194,115,10,59.3,54.1,0,0,0,34,202,4,22,64,7,6,0,153,,1.89,0.56,7.2,85.7
森田有智夢,きんでんトリニティーブリッツ,14,38,17,5,5,10,40,17,5,42.5,30.0,9,3,1,4,23,2,6,10,20,12,0,23,33.3,1.7,0.4,13.0,60.0
横山雄大,兵庫デルフィーノ,12,37,15,21,4,30,166,69,19,41.6,30.1,16,6,2,3,112,5,11,41,209,140,0,77,37.5,2.3,0.1,11.2,67.0
橋本淳,東京トヨペットグリーンスパークル,12,88,13,50,2,57,143,59,13,41.3,32.2,0,0,0,38,151,10,30,33,8,5,0,107,,1.04,0.67,7.1,62.5
毛利光生,きんでんトリニティーブリッツ,11,87,51,11,16,56,30,12,1,40.0,36.7,0,0,0,11,198,5,21,50,5,1,0,28,,0.21,0.2,6.2,20.0
池田浩基,VC長野トライデンツ,26,36,22,3,7,10,16,5,3,31.2,12.5,0,0,0,1,18,2,0,7,23,13,0,8,,0.5,0.1,20.8,56.5
河戸俊亮,近畿クラブスフィーダ,3,66,16,22,5,31,62,32,4,51.6,45.2,0,0,0,21,67,1,8,21,3,1,0,54,,1.03,0.68,6.3,33.3
河田浩忠,奈良ドリーマーズ,9,86,15,46,2,59,392,159,46,40.6,28.8,68,20,13,8,207,8,24,79,126,67,0,175,29.4,2.69,0.14,10.5,53.2
浅野晶,千葉ZELVA,17,87,29,36,8,65,478,193,39,40.4,32.2,67,23,13,30,218,7,40,87,233,119,0,230,34.3,2.97,0.46,8.6,51.1
清水久雄,奈良ドリーマーズ,5,87,18,48,3,66,223,73,15,32.7,26.0,3,0,0,11,233,14,26,73,540,336,0,98,0.0,1.11,0.17,11.1,62.2
清水夢斗,近畿クラブスフィーダ,19,38,20,22,6,36,54,22,1,40.7,38.9,0,0,0,29,84,2,9,24,2,0,0,53,,0.61,0.81,6.8,0.0
渡辺大亮,千葉ZELVA,33,55,14,27,4,40,59,35,9,59.3,44.1,2,2,0,6,100,9,26,42,10,7,0,50,100.0,0.88,0.15,13.0,70.0
渡邊徹,奈良ドリーマーズ,1,87,18,48,3,19,14,5,3,35.7,14.3,0,0,0,3,31,0,6,6,4,3,0,8,,0.26,0.16,0.0,75.0
濱本豊,近畿クラブスフィーダ,30,34,18,14,6,24,121,62,6,51.2,46.3,20,10,2,2,86,9,24,38,46,12,0,73,50.0,2.58,0.08,14.5,26.1
片ノ坂亮太,兵庫デルフィーノ,18,36,15,19,4,17,2,0,0,0.0,0.0,0,0,0,0,36,0,4,10,0,0,0,0,,0.0,0.0,4.2,
片桐成基,VC長野トライデンツ,11,66,46,7,15,33,3,2,1,66.7,33.3,0,0,0,2,50,1,1,19,0,0,0,5,,0.06,0.06,11.0,
片渕貴史,近畿クラブスフィーダ,11,46,4,10,1,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
田中佑輔,奈良ドリーマーズ,13,78,9,33,1,3,0,0,0,,,0,0,0,0,4,0,3,0,0,0,0,0,,0.0,0.0,-18.8,
田中寛人,兵庫デルフィーノ,7,26,13,19,4,21,42,13,1,31.0,28.6,0,0,0,6,45,0,2,21,1,1,0,19,,0.62,0.29,10.6,100.0
田中絢人,近畿クラブスフィーダ,27,28,15,8,4,10,0,0,0,,,0,0,0,0,19,1,5,10,0,0,0,1,,0.0,0.0,11.8,
田渕慎一郎,兵庫デルフィーノ,14,86,27,31,8,58,0,0,0,,,0,0,0,0,0,0,0,0,318,237,0,0,,0.0,0.0,,74.5
田畑翔伍,きんでんトリニティーブリッツ,7,87,51,11,16,57,267,119,20,44.6,37.1,17,7,4,36,176,15,37,64,217,122,0,170,41.2,2.09,0.63,12.4,56.2
白川佑樹,兵庫デルフィーノ,2,86,27,31,8,42,123,42,16,34.1,21.1,34,11,6,0,95,6,13,42,0,0,0,48,32.4,1.0,0.0,13.9,
石原貢,兵庫デルフィーノ,20,30,18,25,5,23,83,34,8,41.0,31.3,33,15,4,3,26,0,1,4,2,0,0,37,45.5,1.48,0.13,2.9,0.0
石田将太,千葉ZELVA,25,54,25,30,7,55,286,129,29,45.1,35.0,25,8,8,39,162,7,30,44,28,20,0,175,32.0,2.35,0.71,6.5,71.4
石田康祐,近畿クラブスフィーダ,7,58,19,20,6,7,0,0,0,,,0,0,0,0,9,0,2,2,0,0,0,0,,0.0,0.0,0.0,
碩幸輝,奈良ドリーマーズ,17,13,6,19,1,25,68,29,5,42.6,35.3,0,0,0,7,61,2,2,16,1,1,0,38,,1.16,0.28,9.0,100.0
福田好秀,きんでんトリニティーブリッツ,8,77,32,6,10,18,12,5,1,41.7,33.3,1,1,0,1,25,2,10,6,6,4,0,8,100.0,0.28,0.06,4.0,66.7
竹永大樹,兵庫デルフィーノ,9,86,27,31,8,53,324,128,37,39.5,28.1,42,20,9,15,189,12,34,64,158,91,0,155,47.6,2.42,0.28,10.3,57.6
篠田学,千葉ZELVA,2,41,13,18,4,19,69,27,1,39.1,37.7,1,1,0,1,57,0,0,9,99,60,0,28,100.0,1.42,0.05,3.9,60.6
米村尊,奈良ドリーマーズ,2,87,18,48,3,66,0,0,0,,,0,0,0,0,0,0,0,0,402,259,0,0,,0.0,0.0,,64.4
米澤寛武,近畿クラブスフィーダ,23,36,17,22,5,39,234,114,17,48.7,41.5,0,0,0,5,116,1,3,34,301,209,0,120,,2.92,0.13,7.5,69.4
米澤晃希,近畿クラブスフィーダ,29,3,3,3,1,3,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
納庄皓仁,兵庫デルフィーノ,5,27,15,21,4,36,143,78,11,54.5,46.9,0,0,0,25,83,1,12,21,9,6,0,104,,2.17,0.69,3.9,66.7
繁田康平,近畿クラブスフィーダ,10,67,21,25,6,30,46,20,4,43.5,34.8,0,0,0,7,63,0,2,24,1,1,0,27,,0.67,0.23,8.7,100.0
茨木兼太,VC長野トライデンツ,17,12,6,0,2,2,2,2,0,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,2,,1.0,0.0,,
荒木優,千葉ZELVA,5,67,19,21,6,32,46,23,3,50.0,43.5,1,0,1,8,93,3,12,29,3,1,0,34,0.0,0.72,0.25,7.8,33.3
藤原裕和,千葉ZELVA,3,77,17,24,5,26,66,36,6,54.5,45.5,0,0,0,15,48,1,6,20,2,2,0,52,,1.38,0.58,9.4,100.0
藤森圭,VC長野トライデンツ,12,34,22,4,7,11,0,0,0,,,0,0,0,0,0,0,0,0,37,23,0,0,,0.0,0.0,,62.2
藤沢友博,VC長野トライデンツ,8,13,6,0,2,2,4,1,0,25.0,25.0,0,0,0,1,1,0,0,0,0,0,0,2,,0.5,0.5,0.0,
西片圭佑,東京トヨペットグリーンスパークル,8,88,13,50,2,63,683,242,54,35.4,27.5,180,61,24,18,228,12,38,77,75,32,0,272,33.9,3.84,0.29,9.5,42.7
道本祥宜,近畿クラブスフィーダ,31,24,0,6,0,2,13,2,5,15.4,-23.1,0,0,0,0,6,0,1,0,10,5,0,2,,1.0,0.0,-4.2,50.0
那須野裕進,近畿クラブスフィーダ,13,31,11,16,3,20,34,18,4,52.9,41.2,0,0,0,5,36,0,0,10,0,0,0,23,,0.9,0.25,6.9,
酒井駿,VC長野トライデンツ,13,82,43,9,14,11,17,7,1,41.2,35.3,0,0,0,2,19,0,1,6,0,0,0,9,,0.64,0.18,6.6,
野口将秀,奈良ドリーマーズ,7,87,18,48,3,66,947,328,79,34.6,26.3,261,90,24,31,231,8,37,61,104,61,0,367,34.5,4.97,0.47,6.1,58.7
野里正幸,兵庫デルフィーノ,11,26,12,3,4,2,0,0,0,,,0,0,0,0,0,0,0,0,3,2,0,0,,0.0,0.0,,66.7
長濱裕,きんでんトリニティーブリッツ,3,87,51,11,16,58,0,0,0,,,0,0,0,0,0,0,0,0,302,190,0,0,,0.0,0.0,,62.9
長田翼,VC長野トライデンツ,24,3,9,3,3,5,0,0,0,,,0,0,0,0,7,0,0,1,0,0,0,0,,0.0,0.0,3.6,
関根翔太,千葉ZELVA,28,68,22,24,7,31,50,16,4,32.0,24.0,6,1,0,2,57,4,17,16,0,0,0,22,16.7,0.52,0.06,6.6,
鳥越裕喜,近畿クラブスフィーダ,14,30,12,12,4,24,187,89,18,47.6,38.0,50,22,7,10,70,2,13,23,2,2,0,101,44.0,3.71,0.42,6.4,100.0
黒木隆生,きんでんトリニティーブリッツ,19,87,51,11,16,60,229,131,10,57.2,52.8,1,1,0,54,179,11,27,51,8,7,0,196,100.0,2.18,0.9,9.5,87.5
