名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
谷村孝,パナソニックパンサーズ,18,35,47,18,2,38.3,34.0,6,0,1,7,69,2,8,6,203,124,0,27,0.0,0.5,0.2,2.2,61.1
越谷章,東レアローズ,10,32,89,32,5,36.0,30.3,4,0,0,3,89,1,14,28,171,122,0,36,0.0,1.0,0.1,5.1,71.3
辻裕作,FC東京,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
近藤茂,東レアローズ,4,51,13,6,1,46.2,38.5,1,0,0,10,166,5,3,69,0,0,0,21,0.0,0.1,0.2,13.0,
近裕崇,豊田合成トレフェルサ,6,59,117,52,9,44.4,36.8,1,0,0,26,185,2,13,54,7,6,0,80,0.0,0.9,0.4,6.6,85.7
迫谷竜児,大分三好ヴァイセアドラー,19,8,0,0,0,,,0,0,0,0,0,0,0,0,50,25,0,0,,0.0,0.0,,50.0
酒井大祐,JTサンダーズ,3,97,0,0,0,,,0,0,0,0,0,0,0,0,510,342,0,0,,0.0,0.0,,67.1
金井修也,堺ブレイザーズ,8,34,12,10,0,83.3,83.3,0,0,0,5,91,2,7,13,0,0,0,17,,0.3,0.1,3.8,
金子隆行,サントリーサンバーズ,8,71,303,124,12,40.9,37.0,14,5,1,18,185,2,23,36,455,333,0,144,35.7,1.7,0.3,2.8,73.2
鈴木寛史,サントリーサンバーズ,2,77,189,99,7,52.4,48.7,0,0,0,53,155,8,45,31,14,11,0,160,,1.3,0.7,2.9,78.6
鈴木悠二,東レアローズ,18,51,62,25,4,40.3,33.9,0,0,0,0,89,4,18,28,52,38,0,29,,0.5,0.0,7.3,73.1
鎌田智勝,FC東京,19,65,349,153,35,43.8,33.8,64,31,10,12,225,9,64,60,208,84,0,174,48.4,2.4,0.2,3.6,40.4
長江晃生,大分三好ヴァイセアドラー,17,81,495,211,65,42.6,29.5,88,31,18,19,277,13,65,76,345,159,0,243,35.2,2.6,0.2,5.7,46.1
阿部篤史,FC東京,12,38,131,77,7,58.8,53.4,33,18,4,3,49,1,16,10,18,10,0,81,54.5,2.0,0.1,-1.0,55.6
阿部裕太,東レアローズ,9,57,31,15,1,48.4,45.2,0,0,0,18,177,2,19,44,2,0,0,35,,0.3,0.3,4.7,0.0
高松卓矢,豊田合成トレフェルサ,12,24,23,12,3,52.2,39.1,3,1,2,1,34,2,16,8,16,11,0,15,33.3,0.5,0.0,0.0,68.8
高橋和人,豊田合成トレフェルサ,15,79,499,237,56,47.5,36.3,130,66,19,21,311,17,65,114,729,496,0,275,50.8,3.0,0.3,9.4,68.0
高橋幸造,豊田合成トレフェルサ,21,45,9,7,0,77.8,77.8,0,0,0,5,124,3,8,33,2,0,0,15,,0.2,0.1,7.5,0.0
高橋貴広,大分三好ヴァイセアドラー,20,27,49,18,6,36.7,24.5,0,0,0,7,76,1,6,26,4,2,0,26,,0.7,0.3,7.9,50.0
高橋賢,サントリーサンバーズ,13,18,0,0,0,,,0,0,0,0,0,0,0,0,124,66,0,0,,0.0,0.0,,53.2
